NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
AT111,-0.044925230959401,-0.05197119306843252,-0.030144741446269774,-0.015246811842328949,110,0.782,0.242,0.915,0.173,1
AT112,-0.045221228489908775,-0.05269124441843523,-0.03062251585507601,-0.015976440624894277,112,0.795,0.235,0.128,0.024,1
AT113,-0.04196028153338298,-0.04946361972771789,-0.028550820253059064,-0.013271767617091972,110,0.745,0.618,0.888,0.409,3
AT121,-0.04412993921058871,-0.0637006051531751,-0.03271071820137704,-0.019376262025128852,109,0.826,0.441,0.864,0.315,2
AT122,-0.038929988601421744,-0.04537834235499666,-0.025446879383573207,-0.013645836105141165,108,0.769,0.122,0.418,0.039,1
AT123,-0.03964051382469993,-0.050855055874509815,-0.026800260102349757,-0.013114265595073116,117,0.735,0.19,0.896,0.125,1
AT124,-0.04369243781011112,-0.0625442634226534,-0.027884902812489974,-0.015620904468057709,105,0.771,0.266,0.749,0.154,1
AT125,-0.05100062509952713,-0.07020939317458146,-0.03611657584322282,-0.01761940081261634,113,0.814,0.261,0.792,0.168,1
AT126,-0.05746149601197482,-0.07784301959899845,-0.04321124877300454,-0.02361987043102804,107,0.832,0.5,0.444,0.185,1
AT127,-0.04407900925481045,-0.05345971116088047,-0.031079025572263094,-0.02050722985067588,112,0.848,0.257,0.688,0.15,1
AT130,-0.05619897048897005,-0.06649565233956428,-0.045369941633970345,-0.02321589436143291,111,0.874,0.284,0.01,0.002,1
AT211,-0.03559780853768035,-0.046716547529101565,-0.024723376980844043,-0.012806049394913983,114,0.737,0.222,0.401,0.066,1
AT212,-0.02627290750064927,-0.037778279405579436,-0.02126349444596682,-0.009674972512340771,115,0.626,0.243,0.724,0.11,1
AT213,-0.029830887775723607,-0.039551591119720494,-0.024763082216080423,-0.010248277269916322,117,0.675,0.475,0.856,0.274,2
AT221,-0.03472615128001718,-0.04284833468156565,-0.024954143382559687,-0.01371363035342967,107,0.785,0.286,0.305,0.068,1
AT222,-0.030556696258398023,-0.04790060760134389,-0.02018496818581026,-0.008529069483113987,112,0.652,0.842,0.895,0.491,3
AT223,-0.03384070771289609,-0.03895037383063452,-0.02388883951400477,-0.011160543378753655,112,0.679,0.36,0.707,0.173,1
AT224,-0.034780221927313185,-0.039709023528516255,-0.02424429213196023,-0.012093234062236016,109,0.725,0.175,0.819,0.104,1
AT225,-0.03283306585459745,-0.04482241163880303,-0.025749862870883794,-0.010079601315319466,110,0.718,0.517,0.379,0.141,1
AT226,-0.02519729567089954,-0.032987489321613495,-0.020042546362928574,-0.010385562296064316,106,0.632,0.839,0.99,0.525,3
AT311,-0.025225193886206646,-0.03353286043592868,-0.01928042844982441,-0.008845680264327038,113,0.619,0.193,0.594,0.071,1
AT312,-0.03444909433408004,-0.05394346375490882,-0.019514967881155913,-0.0072570541550601485,109,0.606,0.443,0.782,0.21,2
AT313,-0.05355327934158216,-0.09836066730383344,-0.0300890143209112,-0.01247805121740268,109,0.706,0.434,0.86,0.264,2
AT314,-0.04042474987452808,-0.06742022323241717,-0.021021981650657127,-0.009405495436464864,108,0.62,0.579,0.803,0.288,2
AT315,-0.029655062594845384,-0.04823077348019354,-0.01887045573334694,-0.009226663439289056,108,0.611,0.858,0.837,0.439,3
AT321,-0.025170047042476405,-0.035066290168941264,-0.0198089403993786,-0.00902861808945571,116,0.621,0.726,0.684,0.308,2
AT322,-0.025161277037109932,-0.03711211406995307,-0.02052674681678611,-0.007059774735038398,110,0.636,0.929,0.986,0.583,3
AT323,-0.033592868126366485,-0.04966879547120695,-0.026846524787730315,-0.012760522333114602,110,0.745,0.238,0.554,0.098,1
AT331,-0.0471389051267899,-0.0688506016043166,-0.038441947796561564,-0.013519833711487269,99,0.747,0.426,0.947,0.301,2
AT332,-0.031994019072992805,-0.04817670959194129,-0.025208494417304453,-0.011367613904744767,128,0.711,0.09,0.13,0.008,1
AT333,-0.027458523908954147,-0.0371401845885276,-0.023081171416089792,-0.012551706966115378,112,0.714,1.0,1.0,0.714,4
AT334,-0.0408120857202424,-0.05772119383730649,-0.029437047075870887,-0.01286662939295304,114,0.746,0.271,0.422,0.085,1
AT335,-0.025570383252826574,-0.03682029147635105,-0.02297056864978747,-0.01216093833582374,108,0.722,1.0,0.986,0.712,4
AT341,-0.038030671962748265,-0.052879561255755964,-0.025585633074715113,-0.0115554982664437,118,0.737,1.0,0.807,0.595,3
AT342,-0.03971413487293561,-0.05448945387039329,-0.029016634316361582,-0.013739653373209065,112,0.804,0.231,0.694,0.129,1
