NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
AT111,-0.05951331481887851,-0.08239629218653716,-0.03481246546795586,-0.014118648421259827,101,0.743,0.389,0.764,0.221,2
AT112,-0.06453607471411431,-0.10730506470248802,-0.03557129681466269,-0.01240909194554982,96,0.708,0.157,0.109,0.012,1
AT113,-0.057545051960068434,-0.09241520668477088,-0.030415105142468025,-0.014796981151327692,99,0.747,0.682,0.518,0.264,2
AT121,-0.043085911442562644,-0.061449474926280556,-0.032265071665551426,-0.013491075981083397,122,0.73,0.425,0.616,0.191,1
AT122,-0.04853781798748798,-0.0756002881879964,-0.03386613679793735,-0.011789149439613848,99,0.727,0.091,0.333,0.022,1
AT123,-0.04150881668120372,-0.05926058110411175,-0.03287543479321012,-0.01225349070506949,121,0.702,0.169,0.807,0.096,1
AT124,-0.047121750327463886,-0.07965808974976618,-0.021012884753979135,-0.009541080407813003,111,0.631,0.346,0.654,0.143,1
AT125,-0.0587246425216679,-0.10130075046029026,-0.029275289371455668,-0.012383333453902568,113,0.708,0.27,0.657,0.126,1
AT126,-0.06495907472826144,-0.10356977094499056,-0.03915633598987482,-0.015370655150335796,107,0.766,0.344,0.327,0.086,1
AT127,-0.0565961055537151,-0.0862744017170303,-0.03819094273277846,-0.012886952140285773,100,0.73,0.211,0.616,0.095,1
AT130,-0.06458073792234229,-0.09733503887807121,-0.0441606509574617,-0.014539353064078745,111,0.748,0.29,0.01,0.002,1
AT211,-0.039314075592536614,-0.05500737421090128,-0.03038053796484574,-0.01373087078471105,116,0.724,0.164,0.342,0.041,1
AT212,-0.029039359985067886,-0.03974159420817472,-0.02024095152210217,-0.008875690560131154,122,0.615,0.18,0.557,0.062,1
AT213,-0.03617847317925196,-0.047210342571247246,-0.023285449078320898,-0.009860529035170118,116,0.647,0.718,0.564,0.262,2
AT221,-0.044251505724908116,-0.07259896205679923,-0.024718521561156954,-0.013945347451005806,106,0.736,0.188,0.218,0.03,1
AT222,-0.036999127160032244,-0.059118529377868684,-0.019358961032370562,-0.006477597138391879,107,0.598,0.99,0.704,0.417,3
AT223,-0.0398036787840674,-0.05464615770150524,-0.0290650465113853,-0.012992450467787926,109,0.706,0.588,0.384,0.159,1
AT224,-0.04266565246716418,-0.06581131529540643,-0.022642166481842335,-0.011285888102326787,111,0.712,0.183,0.563,0.073,1
AT225,-0.043863412324468,-0.07644160547816936,-0.021457649895167314,-0.010252396619219747,105,0.648,0.862,0.22,0.123,1
AT226,-0.032577732253783395,-0.04598897079147913,-0.02078320049651774,-0.009371876257570966,106,0.632,1.0,0.969,0.612,4
AT311,-0.033469690959731284,-0.04883310326304977,-0.023987539186943373,-0.009536649032667738,111,0.613,0.15,0.388,0.036,1
AT312,-0.04041731616391446,-0.06533106393494424,-0.02199425699604047,-0.009320155524956408,112,0.589,0.363,0.667,0.143,1
AT313,-0.056006691458396166,-0.10796537623213512,-0.02463099996964345,-0.01260205467613339,118,0.678,0.398,0.68,0.183,1
AT314,-0.04518545735894572,-0.07770030264043501,-0.02278317080598537,-0.0065700644748243634,107,0.598,0.921,0.519,0.286,2
AT315,-0.03378343922976295,-0.05608403466687267,-0.018252275576695984,-0.006915736762866027,113,0.575,0.928,0.661,0.353,2
AT321,-0.03099393872871265,-0.04413903277330307,-0.019911897706620902,-0.008794507040185405,120,0.592,0.992,0.137,0.08,1
AT322,-0.03187440008198929,-0.04530857894902858,-0.02231579945759483,-0.0077361170366691875,112,0.625,1.0,0.939,0.587,3
AT323,-0.03861290696678165,-0.06345372380117778,-0.026189992785688364,-0.01261452677114847,112,0.661,0.244,0.435,0.07,1
AT331,-0.05586337059018196,-0.07706918742986474,-0.05605557555590026,-0.027830993098124174,102,0.804,0.375,0.797,0.24,2
AT332,-0.04011151571875828,-0.05574856356736536,-0.028762436500267836,-0.014325471140393065,122,0.746,0.076,0.021,0.001,1
AT333,-0.0324308075020517,-0.04729074408004912,-0.020454893151175838,-0.00985218700506638,120,0.617,1.0,1.0,0.617,4
AT334,-0.05119196256951864,-0.06969086584483827,-0.04307542051934639,-0.023077329843312667,105,0.867,0.239,0.327,0.068,1
AT335,-0.03306441184941252,-0.052271396058746186,-0.022154296834910676,-0.009246700926468232,109,0.651,1.0,0.942,0.613,4
AT341,-0.04859249949697732,-0.06197814369621889,-0.03763770536594212,-0.022413356340120247,108,0.833,1.0,0.681,0.567,3
AT342,-0.05613034805853898,-0.0827928904507681,-0.039707348474392036,-0.01724631082971195,98,0.776,0.22,0.58,0.099,1
