NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
BG311,-0.1649540184637983,-0.2556600812720724,-0.10961950041841521,-0.05295057430365631,65,0.877,1.0,0.519,0.455,3
BG312,-0.09853380155314513,-0.1706480869391462,-0.06908736879689688,-0.02860267563782399,92,0.783,0.877,0.883,0.606,4
BG313,-0.05736070037240862,-0.08235526319725726,-0.048933311782670005,-0.024148473416656262,64,0.75,1.0,0.541,0.406,3
BG314,-0.06348244099129431,-0.0788892669482683,-0.051296665626773374,-0.026714722389141653,104,0.76,0.901,0.321,0.22,2
BG315,-0.03650259513174048,-0.0446446079783973,-0.025260896009155518,-0.01642933192904825,113,0.504,1.0,0.196,0.099,1
BG321,-0.05608579794414095,-0.07459604552034674,-0.03834194792637605,-0.015863632857633467,103,0.621,1.0,0.395,0.245,2
BG322,-0.16380904237721353,-0.20523666477495928,-0.10869516589966302,-0.06039697849562646,66,0.894,1.0,0.472,0.422,3
BG323,-0.39126200688326196,-0.4994387571646154,-0.36827833823300793,-0.2598396682837457,39,0.897,0.877,0.43,0.338,2
BG324,-0.3424288979223089,-0.49780936954338156,-0.3082787639675258,-0.12379017978848833,42,0.929,0.492,0.842,0.385,2
BG325,-0.046058287801354535,-0.05570228979826135,-0.031904374150154874,-0.011872081302243468,96,0.583,0.578,0.142,0.048,1
BG331,-0.20591940842268672,-0.2823624733551998,-0.1760261940251076,-0.11162150669737927,62,0.968,1.0,0.585,0.566,3
BG332,-0.06439478316665856,-0.09521373007799269,-0.043339513784568476,-0.020780652116842383,106,0.66,0.851,0.704,0.395,2
BG333,-0.09867555705964648,-0.12200407828005465,-0.08079126403743707,-0.04178604369927215,93,0.925,1.0,1.0,0.925,5
BG334,-0.1138829823959828,-0.13792824352879499,-0.09404715648594025,-0.059238501408662325,98,0.939,1.0,0.772,0.725,4
BG341,-0.05652608040572914,-0.07543307452335087,-0.03830783695401947,-0.01891020047920555,85,0.659,0.704,0.371,0.172,1
BG342,-0.07605123952859405,-0.09605225036112758,-0.05545967318380038,-0.022873473148741996,106,0.726,0.709,0.5,0.257,2
BG343,-0.058144286859817644,-0.07724860694724682,-0.03748473015159948,-0.01692221226658122,83,0.651,1.0,0.01,0.007,1
BG344,-0.11854606815151968,-0.18406873821291656,-0.0719732061796221,-0.030552274093782975,85,0.8,0.857,0.492,0.337,2
BG411,-0.0894318169801014,-0.11881013286684794,-0.059094215659447405,-0.03525742378850442,89,0.809,1.0,0.591,0.478,3
BG412,-0.010821596064680236,-0.013562590968635666,-0.007745051304004871,-0.004730020498147649,16,0.062,1.0,0.595,0.037,1
BG413,-0.04092297029127682,-0.05487598341707886,-0.03183836938772627,-0.01469647820102816,106,0.613,0.898,0.221,0.122,1
BG414,-0.0629622733429907,-0.07597495886663008,-0.045075698939578815,-0.020077329346908458,102,0.667,0.386,0.684,0.176,1
BG415,-0.6008886488709433,-0.7609821902054683,-0.43299076060290315,-0.3026602296037438,26,0.962,0.478,0.58,0.267,2
BG421,-0.07538406039561067,-0.1044738219811103,-0.05386515785299341,-0.020576164935846197,89,0.697,1.0,0.621,0.433,3
BG422,-0.058578380719193024,-0.0802606094171578,-0.03852174163774193,-0.015815052068449815,65,0.631,0.825,0.475,0.247,2
BG423,-0.1913542203953622,-0.27925904391508405,-0.14062816466792702,-0.065296832809652,56,0.911,0.868,0.015,0.012,1
BG424,-0.32203300883289093,-0.4342941076562481,-0.3433611441173971,-0.03821166212156646,50,0.78,0.931,0.792,0.575,3
BG425,-1.0554194854660213,-1.6606302158941073,-0.7120591859296725,-0.4696334087250546,18,1.0,1.0,0.861,0.861,5
