NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
CH011,-0.05499223294383244,-0.07507620614536686,-0.04135607417649485,-0.022728555696071073,94,0.851,1.0,0.891,0.758,4
CH012,-0.055115439880193504,-0.07339355600655732,-0.04091314209852291,-0.019747378486752495,100,0.83,0.753,0.771,0.482,3
CH013,-0.06198162939007446,-0.08723050690730574,-0.050992701208041294,-0.022581376746670098,96,0.906,0.772,0.766,0.536,3
CH021,-0.034531226046747396,-0.04529197734055705,-0.026143536192672318,-0.013084062024880307,113,0.743,0.178,0.821,0.109,1
CH022,-0.041909911206887314,-0.05712751912627154,-0.03212097780943892,-0.0171604847381912,112,0.768,0.518,0.311,0.124,1
CH023,-0.03442748218001773,-0.043833271551479744,-0.02433026693036723,-0.012840367472259577,122,0.738,0.565,0.821,0.342,2
CH024,-0.04264723500706157,-0.05665770438115051,-0.030667594938694892,-0.015115457221827187,108,0.778,0.018,0.054,0.001,1
CH025,-0.03770956306403516,-0.046550473741193504,-0.03184156008613867,-0.01418680979465805,122,0.77,0.126,0.813,0.079,1
CH031,-0.032041386685080546,-0.044480134788573385,-0.021543910940212997,-0.012304525615681974,117,0.701,0.524,0.957,0.352,2
CH032,-0.03442748218001773,-0.043833271551479744,-0.02433026693036723,-0.012840367472259577,122,0.738,0.639,0.829,0.391,2
CH033,-0.0400960707448014,-0.05544725658261172,-0.028068705578622694,-0.016103611407678083,116,0.836,0.799,0.572,0.382,2
CH040,-0.035576142672220194,-0.04262392716380489,-0.02802303185599842,-0.014535263081893224,115,0.8,0.87,0.979,0.681,4
CH051,-0.04425113206100857,-0.05961140636123318,-0.033031926768531644,-0.016772601534725012,117,0.838,0.62,0.768,0.399,2
CH052,-0.03968683221743523,-0.05276158575299374,-0.02938411892358057,-0.01655920128706975,118,0.805,0.682,0.871,0.478,3
CH053,-0.04706995972915109,-0.05984042022912813,-0.03983526236403992,-0.021931883188525104,101,0.851,0.189,0.937,0.151,1
CH054,-0.04706995972915109,-0.05984042022912813,-0.03983526236403992,-0.021931883188525104,101,0.851,0.835,0.865,0.615,4
CH055,-0.05355668080312261,-0.0709678318894143,-0.04161676883298195,-0.022834071025353744,102,0.824,0.388,0.913,0.292,2
CH056,-0.045371795953049715,-0.06515955142330651,-0.03754439835671994,-0.020427654952138018,122,0.852,0.165,0.01,0.001,1
CH057,-0.03703492123156728,-0.044215902168437876,-0.028617972416655906,-0.0188482943257047,111,0.847,0.871,0.938,0.692,4
CH061,-0.03143824744475642,-0.04173619669467756,-0.02389588380399728,-0.013452357500975284,111,0.748,0.68,0.815,0.415,3
CH062,-0.03681331152994539,-0.04897305489382622,-0.03268546278834933,-0.016787894108449584,133,0.82,1.0,0.754,0.618,4
CH063,-0.034239371824244906,-0.042827746162495205,-0.027489895747832442,-0.014404475750883041,113,0.761,1.0,1.0,0.761,4
CH064,-0.03619551444625227,-0.0498504151532765,-0.028098537708890904,-0.012441080656697821,111,0.721,0.301,0.753,0.163,1
CH065,-0.030083352312484546,-0.04019469254291236,-0.021745037244517568,-0.010328991646979731,125,0.672,0.748,0.948,0.477,3
CH066,-0.03897324266601281,-0.04778549878288856,-0.030047028755451774,-0.018213664929895387,103,0.883,0.561,0.871,0.431,3
CH070,-0.046750742262510504,-0.07167403259633862,-0.039977851819628124,-0.019788793831939138,125,0.888,0.627,0.802,0.447,3
