NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
CZ010,-0.055521664051862346,-0.08385854530462186,-0.026868046953760952,-0.013571703378670528,100,0.69,1.0,1.0,0.69,4
CZ020,-0.050382433966587405,-0.08830464379016001,-0.023672807328707617,-0.008634880795155266,106,0.585,1.0,0.809,0.473,3
CZ031,-0.072815468137233,-0.14672688706438336,-0.02654620444650831,-0.008700678656515515,99,0.576,0.6,0.811,0.28,2
CZ032,-0.06017312830605612,-0.09760665833101817,-0.04141863284691949,-0.013547877672250606,95,0.695,0.542,0.83,0.313,2
CZ041,-0.06610258027335915,-0.1126213021219712,-0.04238218322381018,-0.013576505751778913,91,0.692,0.89,0.772,0.475,3
CZ042,-0.0596969970856999,-0.10572036917050841,-0.029857863458722194,-0.009270852100229317,96,0.635,0.67,0.01,0.004,1
CZ051,-0.06584349676852864,-0.11357563096496097,-0.04545666328975316,-0.014775723261020099,96,0.698,0.827,0.56,0.323,2
CZ052,-0.06552000512115182,-0.11560453509735656,-0.038815409783806966,-0.014314185650155343,105,0.705,1.0,0.999,0.704,4
CZ053,-0.05000838019538483,-0.08029474486866035,-0.030213579327406002,-0.01333756504193087,108,0.648,0.896,0.801,0.465,3
CZ063,-0.0676147077039983,-0.138721810002909,-0.023003226071695637,-0.008319859503345012,98,0.592,0.489,0.657,0.19,1
CZ064,-0.0627801769887617,-0.10693168884908749,-0.033589974714781395,-0.00980520307914375,94,0.66,0.804,0.201,0.107,1
CZ071,-0.07556839601898971,-0.13212067276346942,-0.04651998071590324,-0.015139662603126243,86,0.709,1.0,0.792,0.562,3
CZ072,-0.06064532595661428,-0.09848475278030014,-0.03579433989115663,-0.010810346338701647,96,0.708,0.665,0.082,0.039,1
CZ080,-0.05935993282640238,-0.1049634047436189,-0.03685125560364883,-0.016790034136073394,105,0.743,0.952,0.933,0.66,4
