NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
DE111,-28.59695074081728,-28.59695074081728,-28.59695074081728,-28.59695074081728,1,1.0,0.611,0.946,0.578,3
DE112,-0.20385607057517047,-0.29890154048490625,-0.24027667145221596,-0.05908906856481276,55,0.818,0.923,0.206,0.156,1
DE113,-0.021067752263738443,-0.026661433158519487,-0.020416433915023763,-0.011713855620354697,12,0.083,0.619,0.894,0.046,1
DE114,0.0,0.0,0.0,0.0,0,0.05,0.135,0.983,0.007,1
DE115,-24.6584993788846,-24.6584993788846,-24.6584993788846,-24.6584993788846,1,1.0,0.358,0.994,0.356,2
DE116,-0.31169508827006587,-0.3568952702516876,-0.30930082184991764,-0.24362536411388466,41,0.829,0.377,0.986,0.308,2
DE117,-33.778319394922256,-33.778319394922256,-33.778319394922256,-33.778319394922256,1,1.0,0.227,1.0,0.227,2
DE118,-0.23984688953341,-0.33245299383866356,-0.28321174875086214,-0.21963151890716343,51,0.824,0.733,1.0,0.604,4
DE119,-30.184812461728225,-30.184812461728225,-30.184812461728225,-30.184812461728225,1,1.0,1.0,1.0,1.0,5
DE11A,-0.17800108262634484,-0.2751857862995433,-0.19984593465425646,-0.034767750398886285,60,0.733,0.234,1.0,0.172,1
DE11B,-0.042186705368321184,-0.042186705368321184,-0.042186705368321184,-0.042186705368321184,1,1.0,0.267,1.0,0.267,2
DE11C,0.0,0.0,0.0,0.0,0,0.05,0.194,1.0,0.01,1
DE11D,0.0,0.0,0.0,0.0,0,0.05,0.147,0.978,0.007,1
DE121,-24.94999965991962,-24.94999965991962,-24.94999965991962,-24.94999965991962,1,1.0,0.514,0.962,0.494,3
DE122,-4.564598969815761,-4.707043738052341,-3.947929299024488,-3.8054845307879095,4,1.0,0.96,0.693,0.665,4
DE123,-0.019563947293610436,-0.028832488785295218,-0.010120651826190478,-0.005573758068215674,3,0.333,0.456,0.99,0.15,1
DE124,-0.5101015341614918,-0.757579488523417,-0.4326718348211964,-0.1981992134430421,28,0.929,0.458,0.964,0.41,3
DE125,-3.1103215509214657,-4.061830794914635,-2.919940205265358,-1.876339180517233,6,1.0,0.515,0.995,0.512,3
DE126,-6.289771707145708,-7.462363034822603,-6.914746195625302,-5.42966762370861,3,1.0,0.454,0.968,0.439,3
DE127,-2.089657490067582,-2.5906352364457863,-1.5886685111725647,-1.0315953968486238,8,1.0,0.525,0.749,0.393,2
DE128,-0.4707272887817705,-0.6403548508054211,-0.4037239206901195,-0.3473796444927603,31,0.968,0.468,0.994,0.45,3
DE129,-29.72571537384845,-29.72571537384845,-29.72571537384845,-29.72571537384845,1,1.0,0.495,0.973,0.482,3
DE12A,-0.03215893929074621,-0.040304476932456784,-0.02384647707572602,-0.011770917249299653,79,0.329,0.597,0.932,0.183,1
DE12B,-0.09959976689356137,-0.15887358322248357,-0.0744989790462102,-0.035662539410509515,85,0.729,0.113,0.789,0.065,1
