NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
DK011,-0.03992193025823577,-0.05883187107763651,-0.0251460896323457,-0.014792845201860416,120,0.767,1.0,0.709,0.544,3
DK012,-0.03992193025823577,-0.05883187107763651,-0.0251460896323457,-0.014792845201860416,120,0.767,1.0,0.109,0.084,1
DK013,-0.031094079150125083,-0.0437395483612425,-0.021487914179588955,-0.014059232579582482,116,0.75,0.947,0.994,0.706,4
DK014,-0.025969730129190967,-0.03566079141628038,-0.01911520361031801,-0.009770176445731285,110,0.645,1.0,0.479,0.309,2
DK021,-0.03911141701272462,-0.06014332958899734,-0.023249775498438797,-0.012914322967124735,111,0.685,1.0,0.988,0.677,4
DK022,-0.029538015194961454,-0.03862938593560714,-0.02181388273501314,-0.011224387096562441,126,0.675,1.0,0.8,0.54,3
DK031,-0.032885539090857736,-0.04229645236804658,-0.024325684405409748,-0.012956102663506705,122,0.721,1.0,1.0,0.721,4
DK032,-0.042505514176597425,-0.054018651398226196,-0.02863909754274572,-0.016109833693902884,110,0.818,0.934,0.999,0.763,4
DK041,-0.036581732428394347,-0.04698627072777531,-0.029234066704536966,-0.01472231793943409,116,0.767,0.779,0.01,0.006,1
DK042,-0.032485866617905784,-0.045771355498197976,-0.02516054757202122,-0.013458657627491042,122,0.713,1.0,0.902,0.643,4
DK050,-0.029163154539000848,-0.03905046895607933,-0.020619021493713363,-0.010430617978347288,119,0.681,0.88,0.259,0.155,1
