NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
DK011,-0.04562668652163121,-0.0616467647597322,-0.027130909536787547,-0.01177998033525368,106,0.717,1.0,0.671,0.481,3
DK012,-0.04562668652163121,-0.0616467647597322,-0.027130909536787547,-0.01177998033525368,106,0.717,1.0,0.01,0.007,1
DK013,-0.03309738017235768,-0.04469827078954754,-0.020949050864115307,-0.01254240062078147,112,0.714,1.0,0.994,0.71,4
DK014,-0.028007672148898228,-0.0384731819235244,-0.01815641188710971,-0.00846815392733901,111,0.631,1.0,0.42,0.265,2
DK021,-0.039261893199645785,-0.053287332019662084,-0.025592380761586785,-0.009491785749657568,112,0.705,1.0,0.987,0.696,4
DK022,-0.03306754718165914,-0.04207798006284233,-0.022398621790740498,-0.011817995072050873,115,0.713,1.0,0.796,0.568,3
DK031,-0.03888842802629933,-0.04969536862072951,-0.02646318124565327,-0.014948149282962958,106,0.774,1.0,1.0,0.774,4
DK032,-0.04506915853217955,-0.06015504181407895,-0.03172856819998876,-0.015664014792929178,105,0.81,1.0,0.999,0.809,5
DK041,-0.0384541245955863,-0.04954100732810367,-0.02619280770809535,-0.01358833576133967,110,0.755,1.0,0.013,0.01,1
DK042,-0.036818404546086654,-0.05382776462259647,-0.025507681080046446,-0.011276541055871161,109,0.706,1.0,0.881,0.622,4
DK050,-0.03296040568147739,-0.04289432367707961,-0.023312605975608934,-0.011532910830739249,108,0.713,1.0,0.234,0.167,1
