NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
DEE01,-0.05123359445082143,-0.06947914912157638,-0.038515248039966046,-0.018176457209319423,106,0.604,0.61,0.592,0.218,2
DEE02,-0.054509935626185994,-0.07927262935694318,-0.042562403908448065,-0.020188371295309752,100,0.63,0.359,0.431,0.097,1
DEE03,-0.05083415089917872,-0.07504140738378758,-0.03610568390041025,-0.014259164698149654,101,0.564,0.299,0.983,0.166,1
DEE04,-0.0491344564236381,-0.0713639648810477,-0.03738085894110164,-0.012700454188518647,95,0.537,0.358,1.0,0.192,1
DEE05,-0.04411594144359665,-0.06120377187939745,-0.02941676095932124,-0.01379675634493872,104,0.49,0.69,0.822,0.278,2
DEE06,-0.0478691425366237,-0.0727843349813998,-0.03531688507538999,-0.01035009753106078,97,0.536,0.647,0.723,0.251,2
DEE07,-0.045996147430174564,-0.06124538657268275,-0.03267664616186947,-0.011022867686528373,105,0.514,1.0,0.775,0.398,2
DEE08,-0.03920951675110829,-0.06121290315028349,-0.027274678205031246,-0.011893056329274338,106,0.425,0.676,0.962,0.276,2
DEE09,-22.70567480570998,-22.70567480570998,-22.70567480570998,-22.70567480570998,1,1.0,1.0,0.01,0.01,1
DEE0A,-29.81380811618263,-29.81380811618263,-29.81380811618263,-29.81380811618263,1,1.0,1.0,0.575,0.575,3
DEE0B,-29.602755800483873,-29.602755800483873,-29.602755800483873,-29.602755800483873,1,1.0,0.73,0.672,0.491,3
DEE0C,-26.38669140400355,-26.38669140400355,-26.38669140400355,-26.38669140400355,1,1.0,1.0,0.547,0.547,3
DEE0D,-27.14061145675497,-27.14061145675497,-27.14061145675497,-27.14061145675497,1,1.0,1.0,0.842,0.842,5
DEE0E,-0.4693644530774273,-0.6310734772305199,-0.3134144091766331,-0.1794258238673721,27,0.815,1.0,0.197,0.161,1
EE001,-0.01967040966711337,-0.026783862097392298,-0.014564329687652252,-0.009992067200832311,32,0.156,1.0,0.243,0.038,1
EE004,0.0,0.0,0.0,0.0,0,0.05,1.0,0.735,0.037,1
EE008,0.0,0.0,0.0,0.0,0,0.05,1.0,0.405,0.02,1
EE009,0.0,0.0,0.0,0.0,0,0.05,1.0,0.424,0.021,1
EE00A,-0.013997727296666767,-0.018873453313269263,-0.014186804585397821,-0.005278826468517761,11,0.091,0.695,0.197,0.012,1
