NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
DEE01,-0.06278367411774106,-0.08809514067679787,-0.04650076376578697,-0.017659138019546484,101,0.634,0.695,0.807,0.356,2
DEE02,-0.06625566905596166,-0.09552321826878954,-0.05364279951170435,-0.02523281627818259,92,0.663,0.559,0.677,0.251,2
DEE03,-0.06702188055236687,-0.11096984317515335,-0.03821083372644957,-0.019010432972107808,90,0.544,0.525,0.983,0.281,2
DEE04,-0.06330042606466055,-0.11223132589799059,-0.03261126929614448,-0.012382943548220074,87,0.506,0.497,0.949,0.239,2
DEE05,-0.059826487257419125,-0.10482401292405075,-0.03804390809799122,-0.015200711340413668,91,0.571,0.886,0.893,0.452,3
DEE06,-0.06615283900800871,-0.11620219637381915,-0.04225186371969772,-0.016744165671777115,84,0.548,0.572,0.887,0.278,2
DEE07,-0.06384105084127042,-0.12225609645067229,-0.03493295876859075,-0.01464702907212358,87,0.54,1.0,1.0,0.54,3
DEE08,-0.049172511097359164,-0.08175832855335492,-0.030221586754821155,-0.014820013899377317,101,0.485,0.553,0.819,0.22,2
DEE09,-5.71292502238703,-7.294556913103909,-4.853492644695436,-3.271860753978557,4,1.0,1.0,0.01,0.01,1
DEE0A,-29.901348029622724,-29.901348029622724,-29.901348029622724,-29.901348029622724,1,1.0,0.583,0.82,0.478,3
DEE0B,-29.759019803281873,-29.759019803281873,-29.759019803281873,-29.759019803281873,1,1.0,0.716,0.569,0.407,3
DEE0C,-26.477560356203544,-26.477560356203544,-26.477560356203544,-26.477560356203544,1,1.0,0.694,0.623,0.432,3
DEE0D,-27.216651616238465,-27.216651616238465,-27.216651616238465,-27.216651616238465,1,1.0,1.0,0.99,0.99,5
DEE0E,-0.695583379453016,-0.8385748468505516,-0.46639848154111513,-0.2571582872936238,19,0.947,0.968,0.89,0.816,5
EE001,-0.010592786909013741,-0.012845118960619031,-0.008216513185968857,-0.005199152592328483,34,0.05,1.0,0.834,0.042,1
EE004,0.0,0.0,0.0,0.0,0,0.05,0.989,0.985,0.049,1
EE008,0.0,0.0,0.0,0.0,0,0.05,0.837,0.931,0.039,1
EE009,0.0,0.0,0.0,0.0,0,0.05,0.982,0.321,0.016,1
EE00A,-0.0032080812654979164,-0.005027547820230553,-0.002856652294871394,-0.001037185740138757,4,0.05,0.518,0.313,0.008,1
