NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
EL301,-0.14902485630774884,-0.17755699698694338,-0.1161700703046535,-0.06472491909385114,99,0.939,0.211,0.034,0.007,1
EL302,-0.14902485630774884,-0.17755699698694338,-0.1161700703046535,-0.06472491909385114,99,0.939,0.195,0.011,0.002,1
EL303,-0.14902485630774884,-0.17755699698694338,-0.1161700703046535,-0.06472491909385114,99,0.939,1.0,0.878,0.824,5
EL304,-0.14902485630774884,-0.17755699698694338,-0.1161700703046535,-0.06472491909385114,99,0.939,0.56,0.916,0.482,3
EL305,-0.12611622496514938,-0.14930494000226482,-0.0865306744034394,-0.05051699968370865,100,0.89,0.666,0.644,0.382,2
EL306,-0.14164442769467947,-0.17298197855379605,-0.10637726975577869,-0.06415322619988487,100,0.95,0.408,0.955,0.37,2
EL307,-0.09660686703579917,-0.11361192607114062,-0.07100140760375684,-0.03626568386082519,102,0.824,0.824,0.903,0.613,4
EL411,-0.12954877990075772,-0.1699346929606393,-0.09058587697604964,-0.046675238859703955,100,0.82,0.297,0.012,0.003,1
EL412,-0.11070508323815251,-0.15667860406870052,-0.07237967414454241,-0.030164133881309736,98,0.755,0.488,0.641,0.236,2
EL413,-0.10770998278546379,-0.13920859514278283,-0.06920581369837395,-0.03327902323345311,102,0.824,0.802,0.959,0.634,4
EL421,-0.10087196764932621,-0.13017716553797315,-0.06833732926970165,-0.03427989542870142,95,0.789,0.53,0.958,0.401,3
EL422,-0.09430044054684468,-0.10737475741978943,-0.06040234650075004,-0.030089012959214963,102,0.755,0.242,0.044,0.008,1
EL431,-0.1289019501337616,-0.1463067727117523,-0.08468557267547325,-0.04232778121598839,92,0.859,1.0,0.93,0.799,4
EL432,-0.12100536229896008,-0.1453792054226492,-0.09247793558794484,-0.035511488488245244,96,0.771,0.817,0.879,0.554,3
EL433,-0.12392151442837936,-0.14580835935493466,-0.07968413606030703,-0.04218135366397664,86,0.837,0.912,0.881,0.673,4
EL434,-0.15205091256560158,-0.17714764157080326,-0.09969971419338321,-0.048990286352209436,78,0.859,0.787,1.0,0.676,4
EL511,-0.10011970197642543,-0.12674375691967033,-0.07987830843040586,-0.041166952127709905,118,0.822,0.436,0.643,0.23,2
EL512,-0.12144554488453274,-0.1430038417436726,-0.084261308754596,-0.04839289834512877,100,0.86,0.336,0.924,0.267,2
EL513,-0.11387311513677749,-0.15480356772302373,-0.0795124898907009,-0.049685113208936454,112,0.884,0.761,0.642,0.432,3
EL514,-0.1075344228853316,-0.12783201993747215,-0.07616466405346517,-0.03651881175047615,105,0.829,0.239,0.922,0.183,1
EL515,-0.12985007849209254,-0.1598929769570026,-0.08450276965722336,-0.04023345892784205,94,0.83,0.32,0.01,0.003,1
EL521,-0.1227491246381924,-0.1517371524379764,-0.08678290943656983,-0.05068030432174763,105,0.886,0.217,0.935,0.18,1
EL522,-0.12939396767350445,-0.16144719843707048,-0.09025239896561306,-0.047424386799996165,109,0.853,0.213,0.046,0.008,1
EL523,-0.12785199937526964,-0.16216610368270917,-0.09073916841262958,-0.05001649247759773,109,0.89,0.361,0.898,0.289,2
EL524,-0.12869095528545443,-0.15269159056864123,-0.0879043898803889,-0.056420330706443124,105,0.886,0.412,0.854,0.312,2
EL642,-0.10782392062976748,-0.1288215707675212,-0.07164754387379105,-0.038397572433110615,107,0.822,1.0,0.922,0.758,4
EL643,-0.0966659280078005,-0.12326311610152146,-0.06986535392757298,-0.04372200005043583,103,0.816,0.271,0.01,0.002,1
EL644,-0.10023922293335294,-0.12201027713678422,-0.06402046324489899,-0.04000510898407454,111,0.838,0.441,0.963,0.356,2
EL645,-0.09494545974277355,-0.10402102649648912,-0.06525036272646156,-0.03755693059704387,114,0.807,0.906,0.877,0.641,4
EL651,-0.0956013738362114,-0.10269253244239902,-0.07028198838013046,-0.04244502963196896,111,0.829,0.356,0.767,0.226,2
EL652,-0.12288151152266238,-0.1584624266053981,-0.09205383044396481,-0.05496820534243077,100,0.91,0.823,0.927,0.694,4
EL653,-0.09571965129161873,-0.11748541042257687,-0.0652003184151899,-0.044329698627502315,106,0.887,0.433,0.365,0.14,1
EL525,-0.11553374489746794,-0.14520706942629188,-0.07990656028714668,-0.0368296822269473,109,0.807,0.372,0.999,0.3,2
EL526,-0.10239727833494933,-0.11880700939132521,-0.06956213789433448,-0.04047188973250088,110,0.882,0.294,0.921,0.239,2
EL527,-0.09378372692622547,-0.10593670576554012,-0.06730588261446238,-0.041079010351445275,115,0.87,0.412,0.936,0.335,2
EL531,-0.10539959440580277,-0.1280904202485792,-0.06568572001257356,-0.037391565548650266,102,0.804,0.909,0.01,0.007,1
EL532,-0.09330039037775248,-0.11535022197213757,-0.06161724633029403,-0.02932198442166385,113,0.743,0.5,0.922,0.343,2
EL533,-0.110499388631417,-0.14307344433404218,-0.0775070342752607,-0.03259446358427666,107,0.766,0.699,0.01,0.005,1
EL541,-0.09573743892459705,-0.13381213235746858,-0.07141295825756426,-0.037075966799801324,103,0.825,0.241,0.094,0.019,1
EL542,-0.09582580005827734,-0.13555931548456202,-0.06503067136042186,-0.034391275070534175,108,0.759,0.484,0.063,0.023,1
EL543,-0.08771781960142702,-0.11568119870372201,-0.05833250987607749,-0.028303067372267354,115,0.739,0.843,0.858,0.535,3
EL611,-0.09508513474408462,-0.116918436479321,-0.06784109215281238,-0.0381550905519151,102,0.794,0.591,0.943,0.443,3
EL612,-0.10314207765949863,-0.1396580454143094,-0.07358255694396496,-0.03547816176466665,115,0.783,0.323,0.955,0.242,2
EL613,-0.10134426870758667,-0.11538373771657383,-0.08029991857088296,-0.03901619694796944,104,0.827,1.0,0.01,0.008,1
EL621,-0.08440537536803323,-0.09998328970088563,-0.06862641341280007,-0.038238734473347066,113,0.814,1.0,0.01,0.008,1
EL622,-0.09473174831494852,-0.12183728268187874,-0.06563749580863158,-0.024855281177517317,111,0.721,0.694,0.01,0.005,1
EL623,-0.08773160524263235,-0.10556461074642824,-0.06993792140671873,-0.03481840526331422,108,0.796,0.424,0.362,0.122,1
EL624,-0.08682061950670686,-0.10914910354416821,-0.06854951661197317,-0.03374136962601833,110,0.791,0.805,0.01,0.006,1
EL631,-0.10601457188394373,-0.13048944765316206,-0.07767537388415456,-0.0545783378324996,97,0.814,0.584,0.01,0.005,1
EL632,-0.10649779536062667,-0.12601951233326725,-0.08068743015360218,-0.048391708402045125,103,0.874,0.424,0.366,0.136,1
EL633,-0.1043896207210569,-0.12706821000852997,-0.08175995053690097,-0.04846046863855706,105,0.867,0.416,0.393,0.142,1
EL641,-0.1121849126562374,-0.13768278775790171,-0.082360218650979,-0.06012565277584909,109,0.89,0.419,0.369,0.138,1
