NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
EL301,-0.20079056925449196,-0.2984358215605032,-0.15807858434282127,-0.06118410207434326,63,0.889,0.414,0.01,0.004,1
EL302,-0.20079056925449196,-0.2984358215605032,-0.15807858434282127,-0.06118410207434326,63,0.889,0.284,0.02,0.005,1
EL303,-0.20079056925449196,-0.2984358215605032,-0.15807858434282127,-0.06118410207434326,63,0.889,0.721,0.603,0.387,2
EL304,-0.20079056925449196,-0.2984358215605032,-0.15807858434282127,-0.06118410207434326,63,0.889,0.592,0.558,0.294,2
EL305,-0.18745411662671832,-0.2540468030015664,-0.11674613657499426,-0.05925015276376483,61,0.902,0.638,0.626,0.36,2
EL306,-0.19921887977148797,-0.2899713904667081,-0.1632465931396224,-0.065830548569329,66,0.879,0.338,0.13,0.039,1
EL307,-0.10788100182566805,-0.14198720616559757,-0.07515412394025235,-0.03970718521968864,85,0.812,0.195,0.379,0.06,1
EL411,-0.2503706260948546,-0.23846552472783383,-0.09369441903735601,-0.05399921643118682,48,0.896,0.503,0.958,0.432,3
EL412,-0.12162578987401883,-0.18647365704356045,-0.08804262956539963,-0.043877070215083386,79,0.873,0.635,0.37,0.205,2
EL413,-0.14100785635221086,-0.2160592794150885,-0.09446893010074608,-0.043621981055424565,69,0.913,0.893,0.442,0.36,2
EL421,-0.12252964659355588,-0.1694703057105213,-0.08055886553033048,-0.039633238474028804,78,0.833,0.76,0.407,0.258,2
EL422,-0.13337603440253715,-0.1756893914639866,-0.08019910776253418,-0.04327585433530513,67,0.866,0.287,0.651,0.162,1
EL431,-0.22063801413564707,-0.3094356791106545,-0.15835927727510993,-0.056798074622346775,53,0.887,1.0,0.77,0.683,4
EL432,-0.1693219307791403,-0.25473823713467575,-0.1296254551546882,-0.038221104402786255,70,0.814,0.657,0.538,0.288,2
EL433,-0.1815284548185829,-0.2607594052699523,-0.13784876554403727,-0.07303323859904842,59,0.881,0.839,0.494,0.365,2
EL434,-0.2470584674789088,-0.26391931374968414,-0.19204681552369401,-0.0969933507948102,48,0.938,0.965,0.342,0.31,2
EL511,-0.13881325628834967,-0.19598025785436438,-0.11764752048293386,-0.058783047179707976,77,0.909,0.635,0.439,0.253,2
EL512,-0.13874982622956533,-0.17841330514584033,-0.10189740755219699,-0.04531761806839383,77,0.883,0.285,0.431,0.108,1
EL513,-0.16293393687016391,-0.2247234972518405,-0.13190760537762475,-0.06317967663137768,73,0.959,0.635,0.264,0.161,1
EL514,-0.1237600711761752,-0.12632303809260675,-0.08702339779893635,-0.05274361582672947,83,0.88,0.296,0.333,0.087,1
