NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
FI193,0.0,0.0,0.0,0.0,0,0.05,0.302,0.785,0.012,1
FI194,-0.019621125426704848,-0.029836981379562283,-0.014739446272170588,-0.006843866080852172,60,0.083,0.829,0.967,0.067,1
FI195,-18.891377181289425,-18.891377181289425,-18.891377181289425,-18.891377181289425,1,1.0,0.647,0.916,0.593,3
FI196,-19.585800547587354,-19.585800547587354,-19.585800547587354,-19.585800547587354,1,1.0,0.815,0.947,0.772,4
FI197,-0.9917637638270366,-1.31799815613382,-0.6273214727351638,-0.31469359323969137,13,0.923,0.219,0.686,0.139,1
FI1B1,-0.011623339941313128,-0.014294627267942879,-0.008655399974829881,-0.00598411264820013,4,0.05,0.604,0.907,0.027,1
FI1C1,-32.34822756129392,-32.34822756129392,-32.34822756129392,-32.34822756129392,1,1.0,0.97,0.928,0.9,5
FI1C2,-27.342694725673905,-27.342694725673905,-27.342694725673905,-27.342694725673905,1,1.0,1.0,1.0,1.0,5
FI1C3,-28.5690172697423,-28.5690172697423,-28.5690172697423,-28.5690172697423,1,1.0,0.663,0.927,0.615,4
FI1C4,0.0,0.0,0.0,0.0,0,0.05,1.0,0.772,0.039,1
FI1C5,-3.8470595912208916,-4.0378249425878785,-3.3295353164945922,-3.1387699651276053,4,1.0,1.0,0.978,0.978,5
FI1D1,-0.008179958644641525,-0.010521671757474652,-0.0058314881724829985,-0.00457868890627999,7,0.05,0.067,0.258,0.001,1
FI1D2,0.0,0.0,0.0,0.0,0,0.05,0.072,0.546,0.002,1
FI1D3,0.0,0.0,0.0,0.0,0,0.05,0.138,0.416,0.003,1
FI1D5,-4.322573256360862,-7.195815931797312,-4.067837085181015,-1.1945944097445655,4,1.0,0.036,0.01,0.0,0
FI1D7,0.0,0.0,0.0,0.0,0,0.05,0.361,0.576,0.01,1
FI1D8,-0.007482276847122934,-0.010090879331595044,-0.00587136489535592,-0.005432064998023084,9,0.05,0.464,0.547,0.013,1
FI1D9,0.0,0.0,0.0,0.0,0,0.05,0.224,0.642,0.007,1
FI200,-20.061229646571107,-20.061229646571107,-20.061229646571107,-20.061229646571107,1,1.0,0.243,0.733,0.178,1
