NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
FI193,0.0,0.0,0.0,0.0,0,0.05,0.357,0.883,0.016,1
FI194,-0.01225079329305045,-0.014049852636257871,-0.00873816076703783,-0.0034877337990616465,49,0.05,0.671,0.99,0.033,1
FI195,-3.3952328552848434,-5.447909901361722,-3.1316329973617703,-0.8093532651367181,5,1.0,0.685,0.963,0.66,4
FI196,-5.9537251393298405,-8.515102514080551,-3.3298920182707223,-2.0804312040495714,3,1.0,0.919,0.982,0.902,5
FI197,-0.27808716679508,-0.33969573190288094,-0.2291477941456602,-0.06253169242790473,39,0.872,0.23,0.816,0.164,1
FI1B1,-0.01094190827061714,-0.014807380782801518,-0.008309984225969305,-0.006586835605925927,7,0.05,0.665,0.97,0.032,1
FI1C1,-31.62930152134215,-31.62930152134215,-31.62930152134215,-31.62930152134215,1,1.0,1.0,0.979,0.979,5
FI1C2,-26.127658712539283,-26.127658712539283,-26.127658712539283,-26.127658712539283,1,1.0,1.0,1.0,1.0,5
FI1C3,-27.4244561783459,-27.4244561783459,-27.4244561783459,-27.4244561783459,1,1.0,0.657,0.965,0.634,4
FI1C4,-0.008506493803063776,-0.008506493803063776,-0.008506493803063776,-0.008506493803063776,1,0.05,1.0,0.933,0.047,1
FI1C5,-0.4289810160838743,-0.5416461510699139,-0.3633456298575116,-0.30831869468698303,31,0.935,1.0,0.992,0.928,5
FI1D1,-0.007481669836465199,-0.008017083379422559,-0.006589983081616828,-0.0038284206927652925,9,0.05,0.047,0.294,0.001,1
FI1D2,0.0,0.0,0.0,0.0,0,0.05,0.086,0.731,0.003,1
FI1D3,0.0,0.0,0.0,0.0,0,0.05,0.181,0.578,0.005,1
FI1D5,-1.0724929804543948,-1.0545344715897087,-0.43406443427513036,-0.18859801211131283,14,1.0,0.042,0.01,0.0,0
FI1D7,0.0,0.0,0.0,0.0,0,0.05,0.43,0.73,0.016,1
FI1D8,-0.012536981421645813,-0.017315848013782283,-0.006332528706760286,-0.0018699505198085582,5,0.05,0.771,0.856,0.033,1
FI1D9,0.0,0.0,0.0,0.0,0,0.05,0.364,0.76,0.014,1
FI200,-2.6015710311805447,-1.5503003848890937,-0.8571417797542229,-0.44079667674847267,7,1.0,0.233,0.858,0.2,1
