NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
HR021,-0.5718689003735616,-0.7032891084935056,-0.472344967881012,-0.32472246767949287,24,0.875,1.0,1.0,0.875,5
HR022,-12.307477601945697,-18.05186805682248,-12.307477601945697,-6.563087147068915,2,1.0,0.635,0.252,0.16,1
HR023,-29.515264808344043,-29.515264808344043,-29.515264808344043,-29.515264808344043,1,1.0,0.857,0.01,0.009,1
HR024,-0.4103794857116586,-0.439240221187788,-0.3747252292297857,-0.3035758467612822,37,0.919,0.547,0.076,0.038,1
HR025,-0.2914078101256094,-0.390692703973049,-0.3444649920988945,-0.16253814755934737,51,0.765,0.476,0.722,0.263,2
HR026,-4.649927581595373,-7.273041954873635,-3.7500468631050703,-1.5213109672143608,6,1.0,0.611,0.727,0.444,3
HR027,-0.014602551433682498,-0.01964864548358953,-0.01550305533694784,-0.009863742314914598,12,0.05,0.709,0.742,0.026,1
HR028,-0.2926519882916419,-0.4268186143737341,-0.38555678513756014,-0.03101371707483043,56,0.732,0.87,0.983,0.626,4
HR031,0.0,0.0,0.0,0.0,0,0.05,0.922,0.892,0.041,1
HR032,-0.04059493331240489,-0.061976299864819465,-0.03338628117388564,-0.0171234377865889,46,0.413,0.439,0.454,0.082,1
HR033,-0.09398656236324776,-0.1363486572809459,-0.08939382358004525,-0.06719351477747476,50,0.8,0.493,0.391,0.154,1
HR034,-0.07787085032127261,-0.10918327039959932,-0.08155565613931988,-0.04668283155099935,45,0.822,1.0,0.504,0.414,3
HR035,-0.12746457514816908,-0.1640442656594291,-0.12448410043825686,-0.09531944779657886,44,0.909,0.532,0.429,0.207,2
HR036,-0.026285465439670832,-0.036482202047846385,-0.027930921684492082,-0.009027797250394928,27,0.185,0.939,0.506,0.088,1
HR037,-0.04878414531442632,-0.059439839081813994,-0.047044429733467216,-0.027919186443632275,43,0.605,0.631,0.85,0.324,2
HR050,-4.864944167875008,-5.049392750279496,-2.2758902156567986,-2.09144163325231,4,1.0,0.721,0.739,0.533,3
HR061,-24.375121183066533,-24.375121183066533,-24.375121183066533,-24.375121183066533,1,1.0,0.847,0.763,0.646,4
HR062,-0.5337396948679527,-0.7649958964889778,-0.3747410172891652,-0.2878495594822702,26,0.962,1.0,0.887,0.853,5
HR063,-0.01835104558534124,-0.03088297662849867,-0.014644107227190768,-0.005340271625966418,31,0.097,0.764,0.294,0.022,1
HR064,-23.201556695650396,-23.201556695650396,-23.201556695650396,-23.201556695650396,1,1.0,0.617,0.538,0.332,2
HR065,-0.039584991205469267,-0.05605682201181807,-0.026970112985978744,-0.015911169217377133,119,0.311,0.893,0.827,0.23,2
