NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
LT011,-0.010538391062544195,-0.014211293787636515,-0.008005798339115166,-0.0033815642092158557,31,0.194,1.0,0.423,0.082,1
LT021,-0.01579502105428589,-0.019038600079868122,-0.014787225805119856,-0.0051840441170087235,41,0.317,0.409,0.199,0.026,1
LT022,-0.011353941237128639,-0.013900729693259797,-0.005459710273948181,-0.003661273638205812,29,0.241,0.378,0.752,0.069,1
LT023,-0.012267346016412408,-0.017591066954228712,-0.011628071408197018,-0.004936213751434059,10,0.2,1.0,0.453,0.091,1
LT024,-0.02930161426407904,-0.04023077160284601,-0.020451416972785286,-0.008966631348708544,115,0.557,1.0,1.0,0.557,3
LT025,-0.12376843678721097,-0.19520703000517745,-0.10997898924200869,-0.0330188819635116,62,0.871,1.0,0.852,0.742,4
LT026,-0.18693776066303003,-0.24141024729659555,-0.139821753821871,-0.07215359788175538,47,0.915,1.0,0.915,0.837,5
LT027,-0.22558250646840558,-0.291104459044063,-0.18010961718236013,-0.06565652639813851,46,0.935,1.0,0.186,0.174,1
LT028,-0.5827547595814533,-0.7177223793891068,-0.5562471886377197,-0.2659606360196553,21,1.0,1.0,0.01,0.01,1
LT029,-0.01964831461043919,-0.02787965571049134,-0.014980081596581086,-0.005551753938213702,89,0.461,1.0,0.961,0.443,3
