NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
NL111,-0.015301647363117843,-0.021790032753192932,-0.00859566888638754,-0.00542172436191753,24,0.167,0.472,0.999,0.079,1
NL112,-27.306420417423855,-27.306420417423855,-27.306420417423855,-27.306420417423855,1,1.0,0.417,0.967,0.403,3
NL113,-0.06411153290322381,-0.1062617133977412,-0.03412348399156653,-0.012786201591785649,96,0.479,0.554,0.632,0.168,1
NL124,-0.006242617294823465,-0.003771015329237648,-0.003605389373484321,-0.0031453492780025285,5,0.05,0.939,0.753,0.035,1
NL125,-0.3115279198065863,-0.35566548472721937,-0.26655384886585676,-0.06631121757380981,45,0.778,0.383,0.981,0.292,2
NL126,-0.02941381774414473,-0.03982027424298592,-0.01965423883815884,-0.010244682434363741,63,0.302,0.394,0.966,0.115,1
NL131,-0.2824876938758476,-0.3669473946896203,-0.26415226486890014,-0.08636681289310925,51,0.804,0.274,0.985,0.217,2
NL132,-1.7957503742347403,-2.7435966856251497,-1.0291158665120965,-0.7842070893822382,10,1.0,0.369,0.991,0.366,2
NL133,-28.394824598589544,-28.394824598589544,-28.394824598589544,-28.394824598589544,1,1.0,1.0,1.0,1.0,5
NL211,-0.03945510143694774,-0.05969931031385815,-0.02455247639824503,-0.0075604611883545525,86,0.384,0.472,0.993,0.18,1
NL212,-22.08193444780721,-22.08193444780721,-22.08193444780721,-22.08193444780721,1,1.0,0.323,0.979,0.316,2
NL213,-0.7294446895254124,-0.869854622651161,-0.4590193435407541,-0.4167562945000816,24,0.917,0.159,0.958,0.14,1
NL221,-0.01451013453717039,-0.014505905110824982,-0.005258643548233087,-0.0043965891975943526,5,0.2,0.29,0.891,0.052,1
NL224,-0.031013932087902398,-0.04191996038987829,-0.02627585455373299,-0.007885960994592012,67,0.284,0.145,0.958,0.039,1
NL225,-0.019864776285505776,-0.027213705116259326,-0.01180499145189941,-0.008485955037949048,3,0.333,0.206,0.881,0.06,1
NL226,0.0,0.0,0.0,0.0,0,0.05,0.27,0.931,0.013,1
NL230,-0.061937208871977754,-0.10770572676369775,-0.0511442662248849,-0.013616061458423475,67,0.567,0.239,0.981,0.133,1
NL310,-0.017474906983028043,-0.02528620129406697,-0.011756370825602243,-0.004882246150779725,12,0.083,0.463,0.705,0.027,1
NL321,-0.019997054320710573,-0.02511671886507135,-0.015359842891592864,-0.0076444440168685224,24,0.208,0.178,0.662,0.025,1
NL323,-0.04327645910377093,-0.06239230085918,-0.0382218499694091,-0.018895612320397544,50,0.56,0.033,0.617,0.011,1
NL324,-0.23535371719409365,-0.31281587995124766,-0.22583476015125065,-0.0627523643326815,50,0.84,0.111,0.471,0.044,1
NL325,-0.372662676763692,-0.37633338591569976,-0.299895378078316,-0.0650802992036371,38,0.816,1.0,0.01,0.008,1
NL327,-23.573368224261955,-23.573368224261955,-23.573368224261955,-23.573368224261955,1,1.0,0.068,0.185,0.013,1
NL328,-25.496248284441922,-25.496248284441922,-25.496248284441922,-25.496248284441922,1,1.0,0.063,0.467,0.029,1
NL329,-0.11686061129025081,-0.2005027994807436,-0.14078596120489162,-0.017020978701546445,69,0.594,0.084,0.729,0.036,1
NL332,-6.673372397113712,-7.746202126187082,-4.748493948130558,-4.638103443548764,3,1.0,0.16,0.899,0.144,1
NL333,-10.213953940245275,-10.588116905173559,-10.213953940245275,-9.83979097531699,2,1.0,0.082,0.857,0.07,1
NL337,-0.22164857816347097,-0.3155218687120702,-0.24722944316360035,-0.06139627015775103,58,0.828,0.419,0.977,0.339,2
NL33A,-1.0196224054360465,-1.4665323503829077,-0.8851432461561006,-0.44056088988293046,17,0.941,0.415,0.995,0.389,2
NL33B,-0.12944051437423468,-0.23583594265769803,-0.057858908925601374,-0.021478759901960947,84,0.619,0.432,0.99,0.265,2
NL33C,-0.0202529009087314,-0.029109040883342947,-0.013516005240848984,-0.005793879703165141,47,0.17,0.386,0.97,0.064,1
NL341,-0.03925081199947175,-0.057378782602099464,-0.02666049209146317,-0.013356785830432556,64,0.453,0.558,1.0,0.253,2
NL342,-0.02680615447475231,-0.037169736423860504,-0.020900337409192102,-0.01043936946515863,50,0.28,0.335,0.977,0.092,1
NL411,-0.01173668836492443,-0.01138512166400739,-0.009334526394368822,-0.0037579937037008544,20,0.05,0.5,0.995,0.025,1
NL412,-0.013579591354016693,-0.01863488207354729,-0.009322981756820774,-0.005433501634350005,23,0.05,0.6,0.958,0.029,1
NL413,-20.254553564705876,-20.254553564705876,-20.254553564705876,-20.254553564705876,1,1.0,1.0,0.944,0.944,5
NL414,-0.06043435604313609,-0.09719863202306558,-0.0367329785575015,-0.01190475350442983,80,0.5,1.0,0.923,0.462,3
NL421,-0.10131386474262886,-0.1757230559395082,-0.09786467490492567,-0.02030960944912945,75,0.667,0.886,0.969,0.573,3
NL422,-0.3145904423953264,-0.3515340806403937,-0.327962501156461,-0.2427619431977079,41,0.829,0.394,0.983,0.321,2
NL423,-0.393688878456219,-0.418199267427458,-0.39378210228564126,-0.33690219861825443,40,0.875,0.28,0.517,0.127,1
