NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
NO020,0.0,0.0,0.0,0.0,0,0.05,0.137,0.934,0.006,1
NO060,0.0,0.0,0.0,0.0,0,0.05,0.731,0.958,0.035,1
NO071,-0.005573090072244984,-0.006706096819181093,-0.0031213919264951803,-0.0017915961184939823,11,0.05,0.383,0.804,0.015,1
NO074,0.0,0.0,0.0,0.0,0,0.05,1.0,0.983,0.049,1
NO081,-37.032755625460695,-37.032755625460695,-37.032755625460695,-37.032755625460695,1,1.0,0.033,0.913,0.03,1
NO082,-27.072258019687553,-27.072258019687553,-27.072258019687553,-27.072258019687553,1,1.0,0.326,0.801,0.261,2
NO091,-28.389606700468303,-28.389606700468303,-28.389606700468303,-28.389606700468303,1,1.0,0.069,0.01,0.001,1
NO092,-0.014021555646049615,-0.018524161905649802,-0.012332666704296369,-0.004365001616205438,52,0.05,0.63,0.966,0.03,1
NO0A1,-23.925165149469585,-23.925165149469585,-23.925165149469585,-23.925165149469585,1,1.0,1.0,1.0,1.0,5
NO0A2,-0.02739327043617727,-0.04222263229391465,-0.02140337864218769,-0.0065740167844503036,4,0.25,0.19,0.798,0.038,1
NO0A3,-19.53305919271878,-19.53305919271878,-19.53305919271878,-19.53305919271878,1,1.0,0.073,0.423,0.031,1
