NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
PT16F,-0.1466903499379138,-0.18311130958145477,-0.09937326413174606,-0.03819612576324401,94,0.809,1.0,0.989,0.8,4
PT16G,-0.15200040937419299,-0.1923863313522433,-0.11562427169924863,-0.05004991903478448,92,0.87,1.0,0.991,0.862,5
PT16H,-0.1820781751208283,-0.2809541695302368,-0.13044347441906134,-0.05593908734362324,87,0.828,1.0,1.0,0.828,5
PT16I,-0.15195213342909067,-0.19038706130206814,-0.11709016186911023,-0.0411054725312911,89,0.809,0.558,0.876,0.395,2
PT16J,-0.17077980755312527,-0.26518683393496745,-0.13237085244966285,-0.041297618785146824,87,0.828,0.771,0.97,0.619,4
PT170,-0.16512247538441027,-0.2135701639810566,-0.12502431680008896,-0.04289320061400942,91,0.813,1.0,0.914,0.743,4
PT181,-0.17206663169811778,-0.23915174433712458,-0.11236906030616509,-0.0429511652935774,86,0.791,0.7,0.602,0.333,2
PT184,-0.15817405301428092,-0.22647660727742858,-0.12409135848560898,-0.04274054715533155,89,0.809,0.763,0.71,0.438,3
PT185,-0.16395970723752354,-0.19769005531452405,-0.1138117318040841,-0.04669606723453889,90,0.844,0.71,0.728,0.436,3
PT186,-0.18230533972902835,-0.2648471995240146,-0.11963217330805757,-0.049856632548632165,87,0.816,0.548,0.896,0.401,3
PT187,-0.15905401094807206,-0.21218344136758033,-0.10992487599872598,-0.04295706253255457,93,0.828,1.0,0.01,0.008,1
PT111,-0.11531081522884577,-0.15150567369086665,-0.0732027036836195,-0.03215660807495102,106,0.736,0.339,0.89,0.222,2
PT112,-0.1335244469285621,-0.18129484363009993,-0.0957771708688008,-0.05050098995955979,96,0.844,0.666,0.974,0.547,3
PT119,-0.12887619459728436,-0.18415231758057435,-0.08803693666499708,-0.03464954616972556,102,0.784,0.933,0.996,0.729,4
PT11A,-0.15336308530658727,-0.19935518754550086,-0.11596856036512175,-0.06254370526405306,89,0.899,0.366,0.994,0.327,2
PT11B,-0.15385054351182395,-0.21921654578658187,-0.106939089357773,-0.039017979960639784,93,0.806,1.0,0.647,0.521,3
PT11C,-0.14998636307610583,-0.2079368782888355,-0.11885681637732179,-0.05144439544398265,92,0.913,0.572,0.972,0.508,3
PT11D,-0.17550619509964754,-0.24915807832928538,-0.13288438445157727,-0.04906832085688315,87,0.874,0.88,0.699,0.538,3
PT11E,-0.16976760209372413,-0.24273241492924105,-0.11767740308171444,-0.048141551997526705,91,0.824,1.0,0.814,0.671,4
PT150,-0.19766930806441532,-0.2916931359391718,-0.12780276290122855,-0.043741892689712805,79,0.81,0.724,0.898,0.527,3
PT16B,-0.14775737547234183,-0.16904838207098907,-0.10701474050261645,-0.04635168956344027,96,0.802,0.933,0.893,0.668,4
PT16D,-0.15734021113595775,-0.21192438451903545,-0.11319692233203868,-0.058746548499935096,88,0.886,0.993,0.906,0.797,4
PT16E,-0.15282938265682522,-0.23376992468130542,-0.11063831051928066,-0.05573338207464108,89,0.888,0.909,0.701,0.566,3
