NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
PT111,-0.021684347642500615,-0.034467975099442785,-0.013242224204516817,-0.006384799275727828,87,0.276,0.47,0.936,0.121,1
PT112,-0.2808151508524907,-0.36190794879707766,-0.18103178389324423,-0.08727342350627403,45,0.911,0.508,0.911,0.422,3
PT119,-0.7011455586901106,-1.112003585994093,-0.516541848876761,-0.38930141113977235,29,1.0,0.78,0.989,0.771,4
PT11A,-0.03944674013776615,-0.05930949262394237,-0.023535881102245,-0.009537079989577153,125,0.448,0.266,0.322,0.038,1
PT11B,-0.09889684453115699,-0.13842735583457194,-0.06495995880967988,-0.021607360216101594,91,0.681,0.296,0.053,0.011,1
PT11C,-0.016846758332372154,-0.02123463926596878,-0.011944408990843893,-0.005678324890045482,67,0.179,0.743,0.83,0.11,1
PT11D,-0.03160092207424083,-0.04538850933886569,-0.02537331383197639,-0.013226670829541057,57,0.404,0.878,0.755,0.268,2
PT11E,-0.28872640922530407,-0.421670999828904,-0.2803310620661421,-0.12713468804912303,54,0.889,0.721,0.569,0.365,2
PT150,-0.8916986940816465,-1.3554112744451352,-0.4371191695149403,-0.1799672915020719,20,0.95,0.912,0.157,0.136,1
PT16B,-6.537462098464137,-8.30682982057686,-2.595432489178112,-0.8260647670653893,4,1.0,0.4,0.096,0.038,1
PT16D,-1.4718885799551469,-2.3730770195685293,-1.0900124269948037,-0.5474437269081253,16,1.0,1.0,1.0,1.0,5
PT16E,-0.09768224994510064,-0.1343416931166414,-0.06683484397163797,-0.03097884893897444,84,0.762,0.349,0.027,0.007,1
PT16F,-0.8846828734601839,-1.2955434858711086,-0.5846770418390923,-0.28374711504436445,20,0.9,0.219,0.222,0.044,1
PT16G,-0.03328332606794005,-0.042809958854079136,-0.022550911029627172,-0.01326950100943928,91,0.407,0.588,0.937,0.224,2
PT16H,-0.04466989081143128,-0.056411380297377335,-0.03732790536068661,-0.02115823940112988,83,0.651,0.136,0.162,0.014,1
PT16I,-8.57063338156594,-12.688682740905328,-0.9279292446914795,-0.6312319537893216,3,1.0,1.0,0.183,0.183,1
PT16J,-0.07261318914422465,-0.10133251017013488,-0.05243648486663147,-0.02767926253379667,86,0.709,0.335,0.858,0.204,2
PT170,-28.889284623579446,-28.889284623579446,-28.889284623579446,-28.889284623579446,1,1.0,0.979,0.01,0.01,1
PT181,-0.3630554995091535,-0.470749187120804,-0.27155352760623847,-0.0889641813158194,44,0.841,0.705,0.804,0.477,3
PT184,-0.02354993967568395,-0.03533123316314959,-0.011575279597218938,-0.006945978169613621,88,0.284,0.669,0.465,0.088,1
PT185,-0.027949102243893843,-0.034562305858337077,-0.02135523533250214,-0.011957734843363241,76,0.382,0.566,0.523,0.113,1
PT186,-0.05933251885704604,-0.06676824245290948,-0.04738093467240723,-0.02485899569910638,92,0.674,0.648,0.468,0.204,2
PT187,-0.15627920369502263,-0.25487985734211327,-0.0874839843908838,-0.04310131339574902,66,0.818,1.0,0.253,0.207,2
