NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
RS110,-0.7215620101865168,-0.8636078875097105,-0.5277830220090274,-0.2933262730516834,20,0.95,1.0,0.53,0.503,3
RS121,-0.045860226619808445,-0.08116440556964605,-0.03941470137352085,-0.007446914219027198,64,0.609,1.0,0.509,0.31,2
RS122,-0.02158948878228863,-0.03327581600488774,-0.018123844023959446,-0.009123878201667955,74,0.419,1.0,0.491,0.206,2
RS123,-0.17126384923698235,-0.2521138952883924,-0.12484053391673704,-0.07862277934173115,58,0.931,0.731,0.01,0.007,1
RS124,-6.83734779002015,-8.450435539296242,-7.739611573798036,-5.675391932633001,3,1.0,1.0,0.917,0.917,5
RS125,-0.25236461172285024,-0.3298002620819845,-0.26475301932024337,-0.12195618452749835,49,0.959,0.869,0.795,0.663,4
RS126,-0.025510187577096163,-0.03353795621317072,-0.017393065592185546,-0.00811573293029477,105,0.324,0.243,0.521,0.041,1
RS127,-0.016392155418045264,-0.023665590211184067,-0.012328215126943693,-0.005150908785364564,39,0.231,0.497,0.692,0.079,1
RS211,-0.021775570989771658,-0.03246372864402855,-0.020991290572372867,-0.008567520469382202,24,0.375,1.0,0.472,0.177,1
RS212,-0.06204471307012783,-0.10294540863475854,-0.035775985581296424,-0.011879664394336038,100,0.56,0.995,0.823,0.459,3
RS213,-0.30802867222211394,-0.3324328995217892,-0.29379472598557355,-0.10238537615001436,42,0.929,0.692,1.0,0.643,4
RS214,-0.37688931731261743,-0.4912407197324273,-0.34204587502899503,-0.22246953483857357,35,0.914,0.959,0.971,0.851,5
RS215,-0.2582839005229078,-0.379062395038568,-0.22799641890679118,-0.09225084785516022,46,0.978,0.75,0.587,0.431,3
RS216,-0.024380244444578016,-0.03361559787740221,-0.01837267295487143,-0.008011772131849058,105,0.371,1.0,1.0,0.371,2
RS217,-0.04369334296653935,-0.06693695692332871,-0.03284317598945233,-0.013126437284235758,103,0.621,0.531,0.631,0.208,2
RS218,-0.5501776143135707,-0.7660898124114252,-0.37913188125229946,-0.2322217072235309,25,1.0,1.0,0.935,0.935,5
RS221,-0.018884266324279173,-0.026065644439512113,-0.013668413508639256,-0.005301665927447037,51,0.294,0.726,0.445,0.095,1
RS222,-0.07928321231889435,-0.11846614088160774,-0.04798873949600673,-0.017345602524080635,96,0.677,0.751,0.873,0.444,3
RS223,-0.05023955458247993,-0.0715230712491984,-0.028043341755761522,-0.012505892932566723,118,0.551,0.863,0.892,0.424,3
RS224,-0.45392888577920526,-0.5069399408537615,-0.3593348546718471,-0.23359256734371653,30,1.0,1.0,0.964,0.964,5
RS225,-1.1775819921108248,-1.5289568094800259,-0.9900691745333268,-0.43367044067023985,14,1.0,1.0,0.56,0.56,3
RS226,-0.020730338653789617,-0.030621207758714568,-0.01502386035257296,-0.006690040753200493,88,0.295,1.0,0.202,0.06,1
RS227,-0.07250989364884057,-0.11414504414932744,-0.04038580564985728,-0.014652328809458466,106,0.651,1.0,0.55,0.358,2
RS228,-0.08400952600878979,-0.13687201926015122,-0.04649546216941706,-0.02191035867839295,101,0.683,0.482,0.01,0.003,1
RS229,-0.1173014784967202,-0.20521418136430636,-0.08477602648836,-0.03298285906775018,78,0.808,0.647,0.77,0.403,3
