NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
SI031,-0.26052183822007313,-0.32472774163612106,-0.22079212955000593,-0.08728999116138267,47,0.894,0.743,0.01,0.007,1
SI032,-0.19799003539660995,-0.27693740910192804,-0.15068174850621993,-0.04398086780986485,53,0.792,1.0,0.851,0.674,4
SI033,-1.1310957594950097,-1.7522585840645903,-0.9788795874942753,-0.350953213950721,15,0.933,0.767,0.826,0.591,3
SI034,-20.47514923829518,-20.47514923829518,-20.47514923829518,-20.47514923829518,1,1.0,0.989,0.774,0.765,4
SI035,-0.07447100682616897,-0.12384266475299868,-0.05300362315049911,-0.016599403417971052,75,0.547,0.856,0.869,0.407,3
SI036,-25.479320104010945,-25.479320104010945,-25.479320104010945,-25.479320104010945,1,1.0,0.774,0.37,0.286,2
SI037,-0.12377937709818819,-0.1968000285141152,-0.13805846911812483,-0.025963220524915072,57,0.702,0.904,0.911,0.578,3
SI038,-0.31208819205972044,-0.38349046817603305,-0.33748631921161826,-0.13092517793650246,47,0.83,1.0,0.848,0.704,4
SI041,-0.05105572891640058,-0.08343447241217908,-0.0317411307997874,-0.015195562873356038,78,0.5,0.983,0.832,0.409,3
SI042,0.0,0.0,0.0,0.0,0,0.05,0.346,0.744,0.013,1
SI043,-0.017595927627713465,-0.028346645767828554,-0.0137239254411145,-0.006804748979135683,35,0.229,0.939,1.0,0.215,2
SI044,-0.047767339448039466,-0.07129600261802244,-0.03247970198540465,-0.012787489371325593,87,0.517,1.0,0.949,0.491,3
