NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
TR100,-0.09370483849851585,-0.12268594670895203,-0.07142517074057855,-0.040897960549200696,119,0.824,0.358,0.611,0.18,1
TR211,-0.10583970417990082,-0.14660265064767056,-0.07316926913624229,-0.03975618768116389,109,0.844,0.098,0.665,0.055,1
TR212,-0.10374530869198013,-0.13181709607913047,-0.07919122817648494,-0.04000129295827445,114,0.842,0.224,0.573,0.108,1
TR213,-0.08673443932352073,-0.11499821685081499,-0.06139332958669582,-0.038748991112961116,121,0.818,0.319,0.248,0.065,1
TR221,-0.10664974452311463,-0.13457065096377596,-0.08100761984280211,-0.04174972973301329,104,0.875,0.526,0.392,0.18,1
TR222,-0.10962750945687921,-0.1441450377144096,-0.08546652238664611,-0.03999047413785602,105,0.876,0.568,0.189,0.094,1
TR711,-0.09749364629637534,-0.13248771787198552,-0.07411011514714023,-0.043758541422834585,110,0.864,0.421,0.904,0.329,2
TR712,-0.09794329655623646,-0.12929339162081585,-0.0758636114451374,-0.03978840249222755,112,0.857,0.423,0.558,0.202,2
TR713,-0.09210454613823651,-0.11223769033377146,-0.07263674762574218,-0.0394030550177744,118,0.822,0.225,1.0,0.185,1
TR714,-0.09047715589884792,-0.11145416776883935,-0.07498016089128168,-0.03430415298675836,119,0.849,0.192,0.983,0.16,1
TR715,-0.0998289400345447,-0.12584099658266049,-0.07775302403081898,-0.038772541718081796,112,0.866,0.098,0.748,0.063,1
TR721,-0.08773872573520315,-0.10858779671179408,-0.0662118250883163,-0.041444074267850274,108,0.824,0.404,0.697,0.232,2
TR722,-0.08376119446005788,-0.11422927323200538,-0.05981046272099391,-0.026243282860474546,110,0.745,0.246,0.787,0.144,1
TRB12,-0.09878548461188746,-0.13361645351940069,-0.07548160740052579,-0.031255756952817695,100,0.8,0.586,0.588,0.276,2
TRB13,-0.0979034589966922,-0.14221377272470698,-0.07350242392498632,-0.03310465868799563,98,0.806,0.139,0.572,0.064,1
TRB14,-0.0847340684336543,-0.11409095155327979,-0.06850956283964404,-0.02573966416741101,106,0.745,0.299,0.58,0.129,1
TRB21,-0.09883336336649161,-0.12012724466794011,-0.06437918799215481,-0.030648327678783966,104,0.808,0.222,0.775,0.139,1
TRB22,-0.08551713899586136,-0.11339896726506005,-0.06640058821162162,-0.024855173669547245,112,0.732,0.24,0.251,0.044,1
TRB23,-0.10470322925301734,-0.14085554003417738,-0.0658045760268996,-0.027916296502843517,99,0.768,0.738,0.021,0.012,1
TRB24,-0.1268227227443909,-0.16687087082001156,-0.08568794394556296,-0.03845618484542318,99,0.818,0.528,0.465,0.201,2
TRC11,-0.12461599580064127,-0.17328567229096214,-0.10563012765468244,-0.03603734997410804,94,0.787,0.352,0.437,0.121,1
TRA22,-0.07461590041031164,-0.10615685741022027,-0.05914237171661196,-0.02765300554510531,112,0.759,0.645,0.257,0.126,1
