NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
TR100,-0.07267515391647196,-0.10257834681607474,-0.04929419978935955,-0.02488891878760905,102,0.637,0.516,0.63,0.207,2
TR211,-0.06259376121687199,-0.10287621499788491,-0.03997552747984544,-0.017427959362067195,106,0.585,0.154,0.106,0.01,1
TR212,-0.06680843480531327,-0.08931029837279214,-0.0467244102174789,-0.02603265627148858,110,0.636,0.435,0.529,0.146,1
TR213,-0.04755719530121305,-0.06760002355977353,-0.03634702657848964,-0.018479001643829263,112,0.518,0.567,0.999,0.293,2
TR221,-0.05701729082656211,-0.07423312055115136,-0.04149610028107073,-0.024497278292198575,110,0.618,0.816,0.973,0.491,3
TR222,-0.06473343910017042,-0.08600785540841402,-0.05306054606455575,-0.02400636466698138,98,0.663,1.0,0.508,0.337,2
TR310,-0.06224767266309428,-0.08140521837988418,-0.056663021864102554,-0.03726887636759655,46,0.783,0.798,0.265,0.166,1
TR321,-0.15137190834683667,-0.1877165391673714,-0.1503820511992714,-0.12868388698875052,44,0.932,0.137,0.963,0.123,1
TR322,-0.020613364752163597,-0.025654089725439998,-0.014588615288330858,-0.009005451694933313,67,0.149,1.0,0.751,0.112,1
TR323,-0.08809780946756988,-0.12434476901996742,-0.08994361323258267,-0.057818074225046465,47,0.851,0.605,0.549,0.283,2
TR331,-0.03384680162756806,-0.04221295894614473,-0.022179281904174966,-0.01242469922438124,59,0.356,0.241,0.284,0.024,1
TR332,-0.045829485141949275,-0.062245538506927246,-0.03560730168611714,-0.01709930000920637,126,0.524,0.604,0.941,0.298,2
TR333,-1.3695648352320644,-1.8457126066289713,-1.4679556328094976,-0.5213349261319606,15,1.0,0.395,0.902,0.356,2
TR334,-0.41893673412075805,-0.4826878428097403,-0.44820144255266625,-0.40455153259035775,44,0.977,0.56,0.944,0.516,3
TR411,-0.05940853194043544,-0.08577690728762594,-0.043124756279396576,-0.01822773089004583,105,0.571,0.129,0.87,0.064,1
TR412,-0.06240658725216611,-0.08774913445691693,-0.042208032798508266,-0.016723375469191417,85,0.6,0.149,0.917,0.082,1
TR413,-4.689797715932858,-8.16415504032236,-5.669951766980723,-0.8028921181927993,5,1.0,0.344,0.414,0.142,1
TR421,-0.4095090814394295,-0.5103836935209073,-0.4772717774458276,-0.33183155035784356,48,0.917,0.252,0.809,0.187,1
TR422,-0.24734129951213546,-0.3418607946534563,-0.285775880648965,-0.16588136146038293,54,0.852,0.156,0.808,0.107,1
TR423,-0.3186224389409035,-0.42844444382997604,-0.38218267678046414,-0.2897434735278576,52,0.885,0.798,0.923,0.652,4
TR424,-0.15716103807536475,-0.23731312954658565,-0.16061700221521238,-0.07073306001474354,57,0.842,0.309,0.738,0.192,1
TR425,-0.22161414529420723,-0.3680013910257963,-0.3011099709876429,-0.03402803943509146,70,0.743,0.668,1.0,0.496,3
