NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
UKC11,0.0,0.0,0.0,0.0,0,0.05,0.039,0.503,0.001,1
UKC12,-0.543444771550227,-0.6743217467729543,-0.33795067996028183,-0.16873663174668885,23,0.957,0.756,0.947,0.685,4
UKC13,-31.20568621105866,-31.20568621105866,-31.20568621105866,-31.20568621105866,1,1.0,0.994,0.858,0.853,5
UKC14,0.0,0.0,0.0,0.0,0,0.05,0.258,0.959,0.012,1
UKC21,-0.013961785546808225,-0.018666108578993975,-0.01325114236832886,-0.0054864499047292195,27,0.05,0.321,1.0,0.016,1
UKC22,-22.528203744334075,-22.528203744334075,-22.528203744334075,-22.528203744334075,1,1.0,0.302,0.976,0.295,2
UKC23,-0.028895922063649524,-0.03883297345365201,-0.023081835621551597,-0.010662167107249656,125,0.168,0.451,0.879,0.067,1
UKD11,-0.02610667694349497,-0.03966682018611113,-0.020672065349295644,-0.007208820781730781,62,0.21,0.986,0.98,0.203,2
UKD12,0.0,0.0,0.0,0.0,0,0.05,0.029,0.327,0.0,0
UKD33,-0.14279531228856482,-0.22305245869682583,-0.13902709612660757,-0.02699636002924794,63,0.667,0.966,1.0,0.644,4
UKD34,-0.193957561996165,-0.2696746265866169,-0.22592882376072437,-0.026297589020823013,56,0.696,1.0,0.999,0.695,4
UKD35,-19.71242780407372,-19.71242780407372,-19.71242780407372,-19.71242780407372,1,1.0,0.832,0.992,0.825,5
UKD36,-22.976351820845327,-22.976351820845327,-22.976351820845327,-22.976351820845327,1,1.0,0.229,1.0,0.229,2
UKD37,-0.08759983258060305,-0.13386990613169408,-0.05849407926476121,-0.024668706370135105,81,0.58,0.212,0.991,0.122,1
UKD41,-1.1750119592052537,-1.7918245832133397,-1.1570080178135553,-0.6845004542613806,12,0.917,0.088,0.623,0.05,1
UKD42,-33.68685952028393,-33.68685952028393,-33.68685952028393,-33.68685952028393,1,1.0,0.087,0.881,0.077,1
UKD44,-0.0068886585804420275,-0.009597607728766475,-0.006750600505415358,-0.004041651357090911,4,0.05,0.145,0.911,0.007,1
