NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
AL013,-0.08862311993479663,-0.12175565601096139,-0.06718920260225053,-0.034931976825729044,110,0.791
AL015,-0.09886289762093682,-0.14942630761714862,-0.06926851802584202,-0.031468671848925205,109,0.78
AL014,-0.09738064270512431,-0.13829352157258207,-0.06550382711121382,-0.0255835206621988,110,0.736
AL011,-0.09582395909534307,-0.12801271740213513,-0.06902930165473192,-0.03474134883100005,108,0.787
AL012,-0.09763556334890787,-0.12747391124740848,-0.06518166574224094,-0.034585533402225574,118,0.797
AL021,-0.07863255977938322,-0.10286068256694914,-0.053408995184492075,-0.027082170799508348,117,0.726
AL022,-0.09342885727204871,-0.12676356484114826,-0.06467987348479307,-0.027880280960155913,111,0.739
AL034,-0.09240519180619713,-0.1208946947180264,-0.059557943335924,-0.03204362835935975,110,0.8
AL031,-0.08260010646126971,-0.11122915961346086,-0.0483419753746398,-0.020865035666982695,116,0.681
AL032,-0.09888450001137106,-0.13967936899989034,-0.059198723279275584,-0.029916949458419877,114,0.754
AL035,-0.08714414565065684,-0.10994164922240861,-0.060846492743415144,-0.025966321846089706,114,0.728
AL033,-0.0857998388275005,-0.11697891195368623,-0.055920745478631836,-0.021314917159314398,115,0.687
