NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
AL011,-0.09547490293170346,-0.14040674233616537,-0.058865663629945296,-0.02771565214236857,85,0.706
AL012,-34.22004495911204,-34.22004495911204,-34.22004495911204,-34.22004495911204,1,1.0
AL013,-0.02580645283937645,-0.031810035858499744,-0.021413493241613936,-0.009627378581220194,72,0.319
AL014,-22.8119531683494,-22.8119531683494,-22.8119531683494,-22.8119531683494,1,1.0
AL015,-0.005915593194596678,-0.007064944672495044,-0.0050898652244480164,-0.0039405137465496525,4,0.05
AL021,-0.13748635699406928,-0.18253413765164833,-0.08588988658908735,-0.04489500210560669,71,0.859
AL022,-0.15257750737583994,-0.19880719559156868,-0.103374165004337,-0.04921868378549033,69,0.855
AL031,-1.749693687645638,-2.341751866403653,-0.6594325604839284,-0.38941158637112183,11,0.909
AL032,-0.1808121703891097,-0.2356762339389733,-0.11918634649440213,-0.053159988692887544,62,0.887
AL033,-0.04604113312487463,-0.07039158517975264,-0.035034351619668384,-0.01622334546073087,77,0.558
AL034,-0.10824880481383678,-0.18653781097327016,-0.06757229307075485,-0.0281045633046441,82,0.72
AL035,-0.6080272732946705,-0.6795923775563253,-0.3002469671548176,-0.16108350356594775,24,0.958
