NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
CH011,-0.053462334211850794,-0.08092501405182473,-0.0325465389736081,-0.01412509517820772,99,0.778
CH012,-0.049174654752789704,-0.07216763431043195,-0.03260013262119196,-0.01270083567065641,112,0.741
CH013,-0.0597541850635623,-0.084079916219285,-0.04228713152109445,-0.021119630369784467,103,0.825
CH021,-0.03094181487828276,-0.04261830706049481,-0.02761696805323357,-0.008699726467132558,126,0.651
CH022,-0.03980045892535091,-0.050742755490153016,-0.030214489555515388,-0.011454176137763174,117,0.701
CH023,-0.03412114923334545,-0.05033331094952574,-0.02920371032370788,-0.012299851481902345,125,0.736
CH024,-0.04002303041490503,-0.05819958043591973,-0.026617025091490755,-0.01221772108156401,119,0.714
CH025,-0.04090173246335209,-0.05513497382569901,-0.032007817890920665,-0.014382147956290888,116,0.767
CH031,-0.029292796795869647,-0.04292190096343578,-0.02554011056625409,-0.011139038279977326,126,0.706
CH032,-0.03412114923334545,-0.05033331094952574,-0.02920371032370788,-0.012299851481902345,125,0.736
CH033,-0.03768654176817484,-0.050857100084380887,-0.032162408022472666,-0.015771360110303747,122,0.779
CH040,-0.030951652167084873,-0.04306866209772184,-0.026435171282012976,-0.01578294610475979,122,0.762
CH051,-0.0409707279960076,-0.05331624806742339,-0.027066345039959562,-0.014017379455115931,121,0.785
CH052,-0.03577395666655266,-0.0507505098694553,-0.03170282579791997,-0.015827405403954158,124,0.774
CH053,-0.03946612008092209,-0.059830484861912364,-0.030081587405421096,-0.012447871756204563,109,0.734
CH054,-0.03946612008092209,-0.059830484861912364,-0.030081587405421096,-0.012447871756204563,109,0.734
CH055,-0.04519515389371285,-0.06578038283508725,-0.030087576408287055,-0.016925139960987767,114,0.781
CH056,-0.048393593386881845,-0.06428160434017358,-0.04015269872001403,-0.024395655813138198,115,0.887
CH057,-0.02940150004138058,-0.044160652751312285,-0.021118794949867657,-0.011264256722546748,128,0.719
CH061,-0.031038216752113483,-0.044933241652196025,-0.02331009260359408,-0.010893962185762043,113,0.699
CH062,-0.03882790432529544,-0.05192737193720635,-0.035283044762963386,-0.019228443419962465,129,0.837
CH063,-0.0290077940665292,-0.04338566349762187,-0.022884262622318963,-0.010523996138085662,126,0.698
CH064,-0.03502733286531972,-0.05405193036329502,-0.023033675446916844,-0.009454200229729738,115,0.678
CH065,-0.029035029157786774,-0.0397297618016482,-0.020920658557315997,-0.008715285772463513,129,0.643
CH066,-0.031851699725056436,-0.045616599054902784,-0.025450446414484316,-0.011641031637867796,120,0.7
CH070,-0.0488035062243139,-0.06701054191916582,-0.039695019387890586,-0.019250318314418223,119,0.866
