NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
ES111,-0.10928648187368854,-0.1459200273624679,-0.08194053897069198,-0.04397207153233254,76,0.842
ES112,-0.09128180677974643,-0.10634502818990083,-0.06805238800602254,-0.030567534830273444,89,0.753
ES113,-0.11127895157158152,-0.14593354617464033,-0.08128959235184456,-0.04120497287868009,77,0.831
ES114,-0.09417615695067634,-0.12022428161812893,-0.07010182092089969,-0.027137967787192935,89,0.742
ES120,-0.08744825729243039,-0.133777834805789,-0.06448631017089262,-0.034858222495213254,78,0.795
ES130,-0.1012071531178474,-0.15556764803263956,-0.0770431513454303,-0.028755911510731764,75,0.747
ES211,-0.07138035845884465,-0.08968231370259075,-0.05739850404811513,-0.034498039555933294,111,0.793
ES212,-0.08806256154468005,-0.11673215591551687,-0.07557857944514779,-0.03631075660608374,98,0.806
ES213,-0.09205663834926399,-0.13237897991553726,-0.07424733261594017,-0.03733047250603026,91,0.802
ES220,-0.0939434521116138,-0.12846896108230016,-0.05830467966143018,-0.025045221416477817,81,0.716
ES230,-0.1354705162888835,-0.1728355686260429,-0.0897521617752461,-0.051177610150100236,76,0.868
ES241,-0.1021681909068769,-0.12711032439298867,-0.07376316053176776,-0.03896706679789348,80,0.812
ES242,-0.11991675491013436,-0.15859366639596803,-0.08877954359793466,-0.03837613028064873,87,0.816
ES243,-0.10976049176517291,-0.1353495244818289,-0.084212338155474,-0.03641741310059816,77,0.792
ES300,-0.11179245817694039,-0.14627796791021982,-0.07867855081407142,-0.04026069412204034,89,0.831
ES411,-0.17325765656837816,-0.23284983450616814,-0.12014301751253922,-0.043824216589696485,65,0.831
ES412,-0.11076842196623207,-0.14950190930887675,-0.08442400553659418,-0.04062077803591797,80,0.862
ES413,-0.11779101249025486,-0.1635073616145874,-0.08487321959378523,-0.0392415072523548,77,0.818
ES414,-0.18656888369942295,-0.2467897690327076,-0.1413800922487235,-0.06904151572680065,55,0.927
ES415,-0.2080683844325168,-0.28436525080221997,-0.115194170158558,-0.0442424529738846,56,0.857
ES416,-0.10702518441712183,-0.12655823207215952,-0.07418118565283444,-0.03193783489374726,84,0.786
ES417,-0.14444325451532902,-0.19933566512433898,-0.1062091397978977,-0.05440851058397364,68,0.853
ES418,-0.13314622847355242,-0.16160474215280193,-0.08601959534677237,-0.03984997858532638,74,0.811
ES419,-0.13366890198769973,-0.17876976295003377,-0.07835279083720398,-0.034750474007183924,75,0.773
ES421,0.0,0.0,0.0,0.0,0,0.05
ES422,-0.03399528579131713,-0.05427470419977007,-0.021391233809031875,-0.009993880329392983,54,0.426
ES423,-0.013975508955671677,-0.019183103258416552,-0.014723351736334938,-0.0029577086264313563,8,0.125
ES424,-0.02300551939779022,-0.03130000364044441,-0.013530407920284948,-0.005983465691660232,64,0.266
ES425,-0.07642303708149299,-0.13633593836796154,-0.03969031569108093,-0.011098180867867255,94,0.553
ES431,-0.059859266562861946,-0.08042676073294423,-0.0391655001083136,-0.01880437099702285,108,0.639
ES432,-0.03344564054159505,-0.04669457043552094,-0.03217557253973622,-0.01208522001311765,90,0.556
ES511,-0.43811471745258856,-0.5535397054434288,-0.5138949582682113,-0.41279113969779274,48,0.896
ES512,-0.24935373237827255,-0.4137415787554616,-0.3458796507983677,-0.020131770636076123,67,0.687
ES513,-0.31996927315013196,-0.39313470810143264,-0.3578476974663853,-0.3026016596881507,46,0.913
ES514,-1.0550442187441627,-1.476898433448548,-0.7340904158788409,-0.4080278191053337,27,0.778
ES521,-0.40159964530564984,-0.6502495254772978,-0.29116915698172363,-0.12076097350601751,44,0.909
ES522,-0.3045021582407231,-0.4080925861315266,-0.2832752618231507,-0.06563147839642777,56,0.929
ES523,-0.5137341984144167,-0.6147950915647311,-0.5811143596542896,-0.4975555277371419,46,0.935
ES531,-37.16767264061188,-37.16767264061188,-37.16767264061188,-37.16767264061188,1,1.0
ES532,-4.363167320335425,-3.1281902231958023,-2.465942600414869,-1.8864795881081524,6,1.0
ES533,-35.33784367364135,-35.33784367364135,-35.33784367364135,-35.33784367364135,1,1.0
ES611,-32.18016880394057,-32.18016880394057,-32.18016880394057,-32.18016880394057,1,1.0
ES612,-6.839190341317297,-8.869693104515264,-6.568367629096649,-4.537864865898682,4,1.0
ES613,-0.17881790461279773,-0.26164185298997855,-0.2128173388954788,-0.10700164770150228,53,0.906
ES614,-0.23391957364938695,-0.36639530860450753,-0.29416106578316004,-0.03500799292501085,61,0.754
ES615,-0.28659263057888523,-0.4453707769979014,-0.35239912302091314,-0.021058347940124254,63,0.683
ES616,-0.11396932735240123,-0.1810618259540647,-0.10637092722037153,-0.02564896415418236,64,0.734
ES617,-0.15666250013088043,-0.26264442927226017,-0.16050608581423365,-0.03787276377239696,72,0.833
ES618,-0.20084396132590823,-0.2790072205684647,-0.22774058325976093,-0.12554400336010274,52,0.846
ES620,-0.6473304907226866,-0.9777817435532863,-0.46187365064379665,-0.08664541029481673,29,0.897
