NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
FR101,-0.04329388121493606,-0.05862778919992663,-0.03141671958254466,-0.014437952101968592,102,0.667
FR102,-0.03329162787612947,-0.04586934148742525,-0.021946914138557268,-0.010808194018320168,119,0.521
FR103,-0.038172667978324665,-0.051280195883379814,-0.02854076253219592,-0.014950854668503058,114,0.561
FR104,-0.033560284973686925,-0.04472690283842742,-0.02840469258717628,-0.012940556485239226,119,0.571
FR105,-0.04329388121493606,-0.05862778919992663,-0.03141671958254466,-0.014437952101968592,102,0.667
FR106,-0.04329388121493606,-0.05862778919992663,-0.03141671958254466,-0.014437952101968592,102,0.667
FR107,-0.04329388121493606,-0.05862778919992663,-0.03141671958254466,-0.014437952101968592,102,0.667
FR108,-0.04048486943525961,-0.05245361355407177,-0.03294438971600873,-0.01688972813303386,109,0.697
FRB01,-0.03927491721939711,-0.05330760013542869,-0.02940577684601246,-0.016899652424627966,113,0.602
FRB02,-0.039934463207349724,-0.056292296495516335,-0.03138916173538942,-0.015230370024447049,119,0.63
FRB03,-0.04653896727904509,-0.06558156467692339,-0.03479847025207909,-0.016681039747775663,109,0.679
FRB04,-0.04796334746171055,-0.07026195173985607,-0.03245121851869452,-0.0192120481787051,106,0.708
FRB05,-0.04422487573531942,-0.06004959137362037,-0.03091854914719841,-0.019042962529961995,108,0.667
FRB06,-0.037711717670626775,-0.05582797805014323,-0.02959336760468136,-0.0139180242517544,117,0.624
FRC11,-0.03865478548914529,-0.05077520753597775,-0.03281002218408665,-0.016788942293844585,117,0.684
FRC12,-0.038539532978318934,-0.05171921204749032,-0.028700640406639027,-0.013563245742475952,117,0.607
FRC13,-0.03555459871651723,-0.04543509541705537,-0.028278055806075845,-0.015336712881721727,114,0.623
FRC14,-0.041337787789974094,-0.06346466095776429,-0.027478423038482937,-0.014460018817372284,111,0.631
FRC21,-0.03374938678212379,-0.04753638284588355,-0.026814074489064386,-0.010597797087178045,111,0.586
FRC22,-0.04002626381761036,-0.06036752315332866,-0.030670293529827163,-0.01394092400259116,110,0.682
FRC23,-0.03931237605411574,-0.06056327335374708,-0.02949405201944777,-0.014515526490117942,111,0.622
FRC24,-0.04071229559009028,-0.054016016246495456,-0.03451750522926493,-0.016468211066999323,116,0.664
FRD11,-0.04838231868337317,-0.06711343735741016,-0.04378560862633367,-0.017725031025096996,96,0.677
FRD12,-0.052228512665849894,-0.07374980873571602,-0.039157222304627454,-0.01794850280826743,95,0.705
FRD13,-0.013769350153647315,-0.02046323042207929,-0.008680307426852954,-0.003923723753539528,58,0.241
FRD21,-0.03756844422317352,-0.053473652661184375,-0.02978312147815676,-0.01407887644495324,116,0.638
FRD22,-0.014351460820413383,-0.017958819337139276,-0.009586385933691027,-0.005123050426718973,52,0.192
FRE11,-0.014907471803495982,-0.02185934328529185,-0.01226850694116575,-0.0058901268965065,75,0.267
FRE12,-0.0946463616743755,-0.15075750202326038,-0.07780175353761462,-0.024882185434945928,86,0.767
FRE21,-0.019458786211798085,-0.028125996456222446,-0.014783504309872167,-0.006925218911527736,77,0.403
FRE22,-1.5179378968048272,-2.011351655729356,-1.1429237031668567,-0.9429348049663941,13,1.0
FRE23,-0.10638414262890501,-0.14348344325626905,-0.10368879765669434,-0.045407436765613984,87,0.954
FRF11,-0.06433141127975528,-0.10156082103704397,-0.0449219765461983,-0.013263546770804944,104,0.644
FRF12,-0.3435567837934818,-0.39039074437845406,-0.32046349004467467,-0.18506442602871848,42,1.0
FRF21,-0.04699422570338501,-0.07003952364209877,-0.0450227711896914,-0.02194055583831501,125,0.752
FRF22,-0.13430574921802782,-0.17025788217627763,-0.1238721062504253,-0.08578893702280824,72,0.875
FRF23,-0.040008701501319,-0.05780357697281069,-0.033543289337500976,-0.019088470311897275,125,0.712
FRF24,-0.018300189724453738,-0.02649159153770783,-0.015579325027813375,-0.006777619692933247,97,0.361
FRF31,-0.15447629466243915,-0.20498852364671072,-0.1127648405122224,-0.06172867634332035,62,0.968
FRF32,-0.03349133589985893,-0.0486020945889503,-0.028212335015599527,-0.013381514398977494,114,0.579
FRF33,-0.022649661638382498,-0.03372902644937489,-0.019130455260898033,-0.010944644407732514,84,0.44
FRF34,-0.03736740708681566,-0.054287814809432,-0.02864176175299084,-0.010567978464041746,113,0.619
FRG01,-0.11167831510509096,-0.18395113615316447,-0.1188060213046096,-0.020250063819214674,73,0.726
FRG02,-0.024311573632958532,-0.034702056542724666,-0.01962210355980782,-0.010264135520248272,115,0.478
FRG03,-1.1004012579515074,-1.593058084478313,-0.8944790843187682,-0.4517498284143005,17,1.0
FRG04,-0.4281654935801706,-0.43704923792397543,-0.40776249915289,-0.3625871946919005,37,1.0
FRG05,-0.39077516922144534,-0.40054968407832126,-0.3604019242163126,-0.3341335346600542,37,0.946
FRH01,-0.028259589497899168,-0.039624322313013875,-0.02412524672939606,-0.013006298782423053,85,0.553
FRH02,-0.08688352891436991,-0.1202892400175477,-0.09286419183901407,-0.03556918718998632,59,0.831
FRH03,-0.28440704516677623,-0.33358060190045236,-0.2475553690294938,-0.1319778067973107,46,0.935
FRH04,-0.08971449968578186,-0.1295444087003975,-0.0967786992031962,-0.03780395390669393,62,0.806
FRI11,-0.01461340081879219,-0.018629540940833873,-0.011545493939152123,-0.0034159477811595306,65,0.215
FRI12,-0.04087432850523349,-0.052241492668532605,-0.03474513073178083,-0.015041190062704626,74,0.649
