NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
HU110,-26.615634390645152,-26.615634390645152,-26.615634390645152,-26.615634390645152,1,1.0
HU120,-0.0503370319371721,-0.08435845896796383,-0.028677646494488354,-0.01340256391228351,97,0.505
HU211,-0.059847443784755094,-0.11864374331215993,-0.026065391996904653,-0.009626297332811907,101,0.485
HU212,-4.3533009628976265,-4.739854180921517,-4.4789099778925126,-4.3553634639777945,5,1.0
HU213,-0.05354741964829278,-0.09853760753101909,-0.025573353340726166,-0.009846332510227365,90,0.467
HU221,-0.03925398858320142,-0.053314834608779886,-0.025652518694569162,-0.012538335095782055,106,0.472
HU222,-0.06526961223587735,-0.10128933628363922,-0.043780921754209695,-0.018137160194664298,104,0.644
HU223,-0.11768551672285196,-0.2295706128062122,-0.051787174039688855,-0.016944380405346956,84,0.643
HU231,-0.12400037010662929,-0.254271427752313,-0.034376212809668724,-0.010504867440530153,88,0.511
HU232,-0.048037538632970535,-0.07606076375738577,-0.030507459589084268,-0.009814560725949939,84,0.536
HU233,-0.6267591372558754,-0.7914413575805275,-0.44365262246139703,-0.3216689861617166,26,0.923
HU311,-0.06868067986349612,-0.12028307610676439,-0.03142918841463783,-0.010625998403655867,99,0.535
HU312,-0.05102042276953437,-0.07856776064482143,-0.02938552773631127,-0.013254532227316655,83,0.53
HU313,-0.5142938547658111,-0.7539397719857579,-0.4007859721588881,-0.33392952853373836,31,0.903
HU321,-0.0394425640686798,-0.054425720101493165,-0.03151232121806683,-0.0122685208465001,78,0.538
HU322,-0.09444182914474597,-0.15629745847022455,-0.0641680157418468,-0.016619232637400724,92,0.674
HU323,-0.08116087386379202,-0.1434508360288643,-0.05094290963771769,-0.013987131394710408,93,0.602
HU331,-0.14253163258816137,-0.26641088311267197,-0.11740985187995742,-0.02403554574070786,74,0.716
HU332,-0.11575487420084873,-0.2113725675432745,-0.08884534325738747,-0.023078037993404348,83,0.699
HU333,-0.15304745463544966,-0.25186749996133634,-0.11933709421734474,-0.035199922332026214,72,0.806
