NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
ITC11,-0.07275271071520618,-0.1213889386287571,-0.06187592342624955,-0.026562321996643965,65,0.677
ITC12,-1.5368145622735683,-2.1096610355354297,-0.9692098226474085,-0.6460253431830738,11,1.0
ITC13,-0.06252968218177571,-0.08986625021884347,-0.05561606158591345,-0.022333456629742204,111,0.631
ITC14,-0.014770500534649273,-0.01611695187308554,-0.010813176032782071,-0.006572708824841945,7,0.143
ITC15,-0.027474598706687274,-0.03851466322443205,-0.020815497738373184,-0.008864930476975093,83,0.301
ITC16,-0.02451212060272549,-0.03393959668552904,-0.018783143885968766,-0.008338760321865148,97,0.247
ITC17,-0.13258456841653316,-0.18980027491279094,-0.11505201855654126,-0.048512570716077404,79,0.823
ITC18,-0.03121290470528183,-0.04302108939420209,-0.025109467031107533,-0.011745455984037336,78,0.333
ITC20,-0.03104971202457547,-0.0505712858808474,-0.024536603424423917,-0.0124500373191806,54,0.389
ITC31,-0.5913641354487257,-0.8743411500415257,-0.38606143184444,-0.11537036239382358,26,0.962
ITC32,-0.09205692311134281,-0.13180090408574285,-0.09134355346123281,-0.05020504900251972,91,0.802
ITC33,-0.021613669285697096,-0.027508471170608124,-0.016102928626665555,-0.005815317816004025,87,0.195
ITC34,-0.15600993394356624,-0.18818314228130895,-0.14472132141145616,-0.08834548964886592,70,0.843
ITC41,-0.0826799060974587,-0.122823511679494,-0.078901200432982,-0.0248737354026868,59,0.661
ITC42,-0.12652151175909723,-0.23716483824685447,-0.10153317511877162,-0.013364060485042297,77,0.571
ITC43,-0.446724489366689,-0.5231974129347384,-0.5021842091116395,-0.47558047258204605,45,0.911
ITC44,-0.026908198262715285,-0.033737956847968334,-0.020551470237433166,-0.008086222924655693,43,0.256
ITC46,-0.09852669091188657,-0.15033707951335878,-0.08709830269912111,-0.029427070628345438,60,0.733
ITC47,-0.025593432680044357,-0.034017237094750366,-0.023980627825294976,-0.014184049052061838,36,0.25
ITC48,-0.24949951231691825,-0.3909180573205805,-0.3317672720518387,-0.03379934382656361,60,0.733
ITC49,-0.08695312929980135,-0.1572048689238268,-0.045060362223897074,-0.01967183527408801,111,0.586
ITC4A,-0.037104728360908654,-0.052900987432471624,-0.026175755124248648,-0.01296572531439671,57,0.439
ITC4B,-0.022589676513185247,-0.027910385024195437,-0.012853620851659834,-0.008605617860965555,19,0.211
ITC4C,-0.33287194323458985,-0.41531588309130135,-0.3800578322054334,-0.15780034353954256,49,0.816
ITC4D,-0.10813033330232637,-0.18356158229487057,-0.1186085403774178,-0.018318913141553282,67,0.642
ITF11,-0.013164380379694078,-0.018170097406301027,-0.01210116082918675,-0.0054332562056197,43,0.05
ITF12,-0.18345100649906462,-0.3007437400931612,-0.1801004713375337,-0.04236077542993434,65,0.785
ITF13,-0.3012659237921612,-0.3992351831870682,-0.29190019404355266,-0.08556077139869167,47,0.957
ITF14,-5.285747333226388,-7.214041136302559,-6.815591998452219,-2.6973918204708034,5,1.0
ITF21,-0.07946161434571503,-0.1465688624648182,-0.04367294546990386,-0.011434088234908078,90,0.556
ITF22,-0.08413988270309163,-0.12662899582304918,-0.0549019226254263,-0.014014845547665996,93,0.591
ITF31,-0.024198113424520284,-0.03430427243031199,-0.019232008573905827,-0.009138943192880368,101,0.267
ITF32,-0.026873547863532854,-0.04273663146225142,-0.017668620613795344,-0.0076427813321553895,73,0.301
ITF33,-0.5045078281623634,-0.834001239699645,-0.43285683523114266,-0.20969592363685363,35,0.886
ITF34,-0.3333829649036296,-0.4540785926777492,-0.4028239599976026,-0.06724729266103655,51,0.765
ITF35,-0.03207726519679947,-0.043733072876540574,-0.020901370894298957,-0.011984112579168994,63,0.349
ITF43,-0.11131040114831393,-0.2058951625154337,-0.05697112697835602,-0.021552867315392937,92,0.62
ITF44,-0.04916292183964534,-0.07372458827351536,-0.036963958220375605,-0.013372103890941713,108,0.519
ITF45,-1.16332661624054,-1.7143208611564744,-0.8942456406981384,-0.6078624587693315,20,1.0
ITF46,0.0,0.0,0.0,0.0,0,0.05
ITF47,-0.05422545948204866,-0.07878568112550036,-0.046018671094211094,-0.01728083127134525,100,0.57
ITF48,-1.3345214776301633,-1.8455672869818833,-1.1581691088087278,-0.5899647446471881,18,1.0
ITF51,-0.11580270954651285,-0.16668341649466983,-0.0886922573054996,-0.038216935871534886,85,0.776
ITF52,-0.21139960890672063,-0.33664024163804906,-0.19145670860822614,-0.07657291315549274,66,0.833
ITF61,-0.02008860262962321,-0.02623657811837935,-0.016867746687412394,-0.008163632602517354,89,0.18
ITF62,-0.9465047246767744,-0.7276486881165297,-0.6869714866673997,-0.6714966343981726,29,0.966
ITF63,-0.7042801973767127,-0.650211188011292,-0.6096440127550797,-0.59897029060395,35,0.971
ITF64,-0.3409487496047268,-0.4676633093158906,-0.43526169211270227,-0.12635266411465962,54,0.778
ITF65,-0.2559865408816906,-0.4108732614399816,-0.378691287721728,-0.023006533224824984,66,0.652
ITG11,-4.84720359650368,-5.409472642021354,-3.3152609399813375,-1.0741294747893175,6,1.0
ITG12,-0.2855608267680523,-0.3585071286147118,-0.3390544940613875,-0.2992569988738815,49,0.857
ITG13,-0.3820609048212635,-0.44623916545991865,-0.42530913141366433,-0.38003406310424526,46,0.826
ITG14,-0.285898338880456,-0.4042918587299732,-0.38206501162551254,-0.038870861408244424,58,0.776
ITG15,-5.603354536146531,-7.021963506159875,-5.463455063599955,-2.8159852447302893,5,1.0
ITG16,-27.659449013213827,-27.659449013213827,-27.659449013213827,-27.659449013213827,1,1.0
ITG17,-0.20527465748374146,-0.31289031240207116,-0.2651302150628147,-0.03193340176112357,64,0.734
ITG18,-33.01282510791173,-33.01282510791173,-33.01282510791173,-33.01282510791173,1,1.0
ITG19,-3.886370316270957,-5.513854638159405,-3.1412630206500523,-2.020110069478666,7,1.0
ITG2D,-0.029737616386199636,-0.037686168296159055,-0.026409272643470504,-0.013676262728015198,50,0.28
ITG2E,-0.2345002796146068,-0.31472948786250465,-0.26854865909421577,-0.22062434877175202,52,0.808
ITG2F,-0.48190161309639984,-0.6542293007445702,-0.6165409601181435,-0.027037261260813652,53,0.736
ITG2G,-0.24207597960125696,-0.31695054530361455,-0.2740426033256107,-0.23441126909008053,49,0.837
ITG2H,-0.39066462899060855,-0.5571399600575622,-0.5193984806042355,-0.03441595127597924,56,0.75
ITH10,-0.012536693376232488,-0.017467463674082976,-0.008396531302488588,-0.0028723988297554254,57,0.05
ITH20,-0.04209220348045493,-0.0598080614082405,-0.03538542352193857,-0.019259558627557155,111,0.514
ITH31,-0.09385008231492653,-0.13658226621740938,-0.07782041533858643,-0.04381828200287449,90,0.822
ITH32,-0.1495844473569562,-0.26453871614387886,-0.12953609827187723,-0.041628137694100155,67,0.761
ITH33,-0.022786273781578232,-0.03241541370943986,-0.020591682545294504,-0.010409783497479855,43,0.186
ITH34,-0.07751313185365502,-0.12493717167436201,-0.05711977265635974,-0.011907969181649488,84,0.583
ITH35,-0.07529732226944791,-0.10879028673420042,-0.05212470421052774,-0.013826232103321928,80,0.588
ITH36,-0.3128724107246583,-0.38870959214579337,-0.3440822521236279,-0.18921901986857362,46,0.87
ITH37,-0.10000394420890625,-0.17977274851421585,-0.06453767916616947,-0.011507634337625892,82,0.585
ITH41,-0.03703486938907509,-0.05783384198376543,-0.03175128725075639,-0.013914544331874822,90,0.489
ITH42,-0.0065220781843177075,-0.0065220781843177075,-0.0065220781843177075,-0.0065220781843177075,1,0.05
