NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
NL111,-0.020196693564253677,-0.03151757572495787,-0.009065817216614605,-0.0058071330011080485,9,0.222
NL112,-27.097006165944332,-27.097006165944332,-27.097006165944332,-27.097006165944332,1,1.0
NL113,-0.0387208406121351,-0.04967177370056196,-0.026070991179950726,-0.013218866563187272,112,0.393
NL124,0.0,0.0,0.0,0.0,0,0.05
NL125,-0.8078614942166862,-1.2140338908167834,-0.5538779053251058,-0.40018708862836533,17,0.941
NL126,-0.012164922074719297,-0.017528748165724493,-0.010504706949643505,-0.00322727325257909,46,0.087
NL131,-0.5062738647377197,-0.6742305729104128,-0.36196145778125116,-0.28024529635338796,27,0.963
NL132,-8.791153172491269,-12.098668444156832,-8.791153172491269,-5.4836379008257055,2,1.0
NL133,-28.211090967987776,-28.211090967987776,-28.211090967987776,-28.211090967987776,1,1.0
NL211,-0.019480241761083136,-0.029432420552287893,-0.01422134979131095,-0.004967607764253059,87,0.195
NL212,-10.967495418645846,-15.092181672258691,-10.967495418645846,-6.842809165033001,2,1.0
NL213,-1.6996649497821914,-2.679216581098452,-1.0689891326573215,-0.5603234417514027,10,1.0
NL221,0.0,0.0,0.0,0.0,0,0.05
NL224,-0.019673989538847823,-0.02595313430637894,-0.014073553308476214,-0.004135420228076976,63,0.19
NL225,-0.0036924790254698587,-0.0036924790254698587,-0.0036924790254698587,-0.0036924790254698587,1,0.05
NL226,0.0,0.0,0.0,0.0,0,0.05
NL230,-0.025027133888710622,-0.03531481982190723,-0.014449293835214809,-0.0065530208321414015,93,0.28
NL310,-0.01110125287019532,-0.013325836313802754,-0.01110125287019532,-0.008876669426587883,2,0.05
NL321,-0.011970675454297348,-0.01729764326010692,-0.011970675454297348,-0.006643707648487775,2,0.05
NL323,-0.013763410902766228,-0.019372330055343612,-0.010534480150775778,-0.005636214350284972,44,0.068
NL324,-0.3343883080564895,-0.41205199191235475,-0.22368923110876793,-0.09942369816212387,34,0.912
NL325,-0.9315503035261546,-1.1124603830623048,-0.604288035468015,-0.17971428028751613,15,0.933
NL327,-23.666547238778175,-23.666547238778175,-23.666547238778175,-23.666547238778175,1,1.0
NL328,-25.61317460340478,-25.61317460340478,-25.61317460340478,-25.61317460340478,1,1.0
NL329,-0.09148506315176476,-0.1236442865419196,-0.062395242461676534,-0.024825520633067893,76,0.645
NL332,-19.925036439847368,-19.925036439847368,-19.925036439847368,-19.925036439847368,1,1.0
NL333,-20.341922893821142,-20.341922893821142,-20.341922893821142,-20.341922893821142,1,1.0
NL337,-0.4128042429809391,-0.6107851845375754,-0.28605441166733564,-0.11469184167619086,30,0.9
NL33A,-5.589911082669924,-8.35847944102282,-2.005289440991594,-1.0290319034778643,3,1.0
NL33B,-0.14619779002523936,-0.22380449673170738,-0.1122454204741915,-0.04529342281181891,66,0.803
NL33C,-0.01567032980274649,-0.01842772197070712,-0.0131172085942112,-0.008411405378483568,12,0.083
NL341,-0.016507528798404628,-0.021332744561572817,-0.013166555922117304,-0.004826275064869489,55,0.127
NL342,-0.010516352684603953,-0.012727508625436321,-0.00977940780073143,-0.0034329439717973604,26,0.077
NL411,-0.019216229305625915,-0.021838693719153864,-0.019216229305625915,-0.016593764892097965,2,0.05
NL412,-0.008317496069700493,-0.01209520692181548,-0.002165432111326794,-0.001287964647278943,5,0.05
NL413,-6.595795589895402,-8.675068827242281,-5.2677716003845125,-3.8525103577930775,3,1.0
NL414,-0.033058154308797015,-0.05165706465286546,-0.018759416591879532,-0.007490323954675083,99,0.333
NL421,-0.05719890853256787,-0.08079564991410382,-0.04333818153836793,-0.012471502305143867,102,0.559
NL422,-0.33719417797562046,-0.35279862836195475,-0.29631451439920387,-0.21470444055843646,36,0.833
NL423,-0.9922590774853973,-1.4506177934338158,-0.7110686521264589,-0.39801530583255296,15,0.933
