NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
PL213,-0.07393257040035545,-0.10303041207029179,-0.06755131089696646,-0.026698330104465796,103,0.748
PL214,-0.06148367611623135,-0.09073583302811934,-0.04742988109841482,-0.027119515710043104,103,0.786
PL217,-0.04115436323807654,-0.050578568699465073,-0.03253603442988172,-0.014695550753157554,122,0.566
PL218,-0.040769283305290706,-0.05365418127658959,-0.0331463758635368,-0.015388759384812462,120,0.567
PL219,-0.05137210174518912,-0.07295730090454652,-0.04098733190154899,-0.022156607210048324,116,0.707
PL21A,-0.11910393032921278,-0.17691242499890703,-0.09819732690790792,-0.059004220261665914,86,0.942
PL224,-0.030342230183383386,-0.04730056551368908,-0.024904183425503552,-0.00976851482100596,104,0.49
PL225,-0.015429750061065757,-0.02292264585660955,-0.011242844841478354,-0.006009510459764447,49,0.204
PL227,-0.02412823007084833,-0.033443680057110535,-0.015369847325858528,-0.008971826515021961,126,0.333
PL228,-0.0091041089141647,-0.015027379367917749,-0.0039813744239077025,-0.002557413833718557,11,0.05
PL229,-0.5567581639727877,-0.5785693152846043,-0.3675508256190806,-0.1826404414966517,25,0.96
PL22A,-26.12001526273018,-26.12001526273018,-26.12001526273018,-26.12001526273018,1,1.0
PL22B,-3.086526107599862,-3.051947194737212,-2.117502692639236,-1.0412132906269118,6,1.0
PL22C,-1.208416337302986,-1.4539168674557175,-0.9649813809721581,-0.47053655276130546,15,1.0
PL411,0.0,0.0,0.0,0.0,0,0.05
PL414,-0.26016148772863096,-0.32792407252176226,-0.2252619978928702,-0.10151771313721548,44,0.977
PL415,-28.709942555138618,-28.709942555138618,-28.709942555138618,-28.709942555138618,1,1.0
PL416,-0.16077275561197354,-0.21282929198378037,-0.13939473155996862,-0.06130394491751612,61,0.918
PL417,-0.29930347331811963,-0.345796077681962,-0.28941699127546106,-0.1600596683603045,40,0.8
PL418,-0.5883631163586898,-0.6630440417408628,-0.337137709808156,-0.19908557417848216,21,1.0
PL424,-25.647478151541883,-25.647478151541883,-25.647478151541883,-25.647478151541883,1,1.0
PL426,-0.019634931362328446,-0.02683755904479812,-0.014080857810099975,-0.005555031060592262,39,0.282
PL427,-0.015682524745651943,-0.022375730402122644,-0.012124047674270748,-0.0067475620603249745,14,0.143
PL428,-0.009816922091531196,-0.01273934488286602,-0.007879629185458214,-0.004796806477998383,11,0.091
PL431,-0.11668099578757812,-0.1916903420448002,-0.13196894032057588,-0.017235100666788794,69,0.638
PL432,-0.015631093618520123,-0.023615160829894295,-0.012191048744589497,-0.005174343420320847,48,0.25
PL514,-31.605760135163152,-31.605760135163152,-31.605760135163152,-31.605760135163152,1,1.0
PL515,-0.08881780413176342,-0.14358025801760668,-0.07928599001182672,-0.013766172026683905,77,0.662
PL516,-0.3991037694152159,-0.6005998803559235,-0.28754696793227313,-0.1867446299983409,30,0.9
PL517,-0.0036904004540544706,-0.0054554649576995465,-0.0017936001476319,-0.0009769357971981087,3,0.05
PL518,-0.02268703746002446,-0.031611482387338144,-0.023045428452974904,-0.0078085294806854635,62,0.387
PL523,-0.039116941153409045,-0.05957480224760551,-0.023079939874357736,-0.0096120871763411,107,0.449
PL524,-0.0317477193516639,-0.04636887660149251,-0.022771899268879795,-0.012444315466148381,101,0.406
PL613,-0.07653495882993551,-0.12884470434672723,-0.05255174986410731,-0.016049916493826123,88,0.614
PL616,0.0,0.0,0.0,0.0,0,0.05
PL617,-0.156506401616534,-0.19351251689568322,-0.12149677245477641,-0.061729764976350396,60,0.9
PL618,-2.699568743784654,-4.191458346726954,-0.5204421828133335,-0.41799059948919115,6,1.0
PL619,-0.5129660640770233,-0.6657913204219517,-0.3078962403032944,-0.12168273018174358,24,1.0
PL621,-0.04169275615808059,-0.06709940411029022,-0.027427939326806837,-0.0065315510240067905,109,0.514
PL622,-0.018125741039463832,-0.024374313950550532,-0.01337712226443137,-0.003859781231281023,33,0.212
PL623,-2.667534268182307,-4.696795514049427,-0.8004415398016821,-0.4364478813799452,6,1.0
PL633,-22.87482171837625,-22.87482171837625,-22.87482171837625,-22.87482171837625,1,1.0
PL634,-0.22826585644410183,-0.3191689932815057,-0.26687999649339156,-0.05184036214384075,52,0.788
PL636,-0.028414368185488224,-0.03856016078118415,-0.022772971337858716,-0.009306917657051944,86,0.419
PL637,-0.13187624194986658,-0.22036100604134434,-0.1741291798948882,-0.013015133727698878,70,0.657
PL638,-1.838121619720843,-2.492773432854742,-1.2537589778781257,-0.47508472267332547,9,1.0
PL711,-30.20236461058564,-30.20236461058564,-30.20236461058564,-30.20236461058564,1,1.0
PL712,-0.013764686353363125,-0.01846170096636203,-0.010453999401962726,-0.004383892887891769,39,0.128
PL713,-0.025186106898582812,-0.03584525058890057,-0.015525984714635186,-0.00712563635026843,93,0.333
PL714,-0.08588623762389327,-0.16058144223933757,-0.06104243986803654,-0.013750363417338159,86,0.57
