NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
SE110,-0.029022750182573907,-0.04000830420379857,-0.022156351121788723,-0.010971822219807826,123,0.528
SE121,-0.04255698711279845,-0.05685059065717607,-0.02615680832465599,-0.013630336740386597,118,0.627
SE122,-0.03961412112388676,-0.04865676199992186,-0.030511158369411928,-0.014695587421881309,109,0.688
SE123,-0.025876426027162475,-0.03721451756817877,-0.01962206320751661,-0.010631991750428945,114,0.491
SE124,-0.03470387740374302,-0.04761192699749123,-0.024449838150529018,-0.013187627023668904,116,0.586
SE125,-22.473184634027824,-22.473184634027824,-22.473184634027824,-22.473184634027824,1,1.0
SE211,-0.012660632856331164,-0.015635805338746114,-0.013377352423753333,-0.010461733937065662,6,0.05
SE212,-0.024216261730712643,-0.032015234529371744,-0.01761973994920136,-0.010565043359122445,133,0.444
SE213,-0.04053661906075965,-0.051701742820552635,-0.030202318781078395,-0.015162901398887943,115,0.687
SE214,-26.259085387437388,-26.259085387437388,-26.259085387437388,-26.259085387437388,1,1.0
SE221,-0.017455724379019752,-0.022810518517332436,-0.012932998894541387,-0.005061164764800537,45,0.333
SE224,-0.010348591374776582,-0.013469749864269832,-0.008504739617021537,-0.005383581127528289,4,0.25
SE231,-0.05230343937385507,-0.08403848827293135,-0.038840057707877754,-0.013445859680277084,105,0.667
SE232,-0.0021403086763240337,-0.0026819251601586493,-0.0021403086763240337,-0.001598692192489418,2,0.05
SE311,-0.2324961344368909,-0.2956125000119875,-0.2571139800865922,-0.06155904615776684,47,0.936
SE312,-0.0183264835496999,-0.028691518320467877,-0.014099665527125592,-0.007300186867030999,66,0.364
SE313,-1.8391450218312213,-1.5331648704115248,-0.9597223597968282,-0.5178386432778078,8,1.0
SE321,-0.029080607233681395,-0.042812221193180344,-0.025404246654700095,-0.012295541739426206,106,0.575
SE322,-0.020193148788436945,-0.029428523454781502,-0.015895786393559593,-0.006287185747122561,111,0.414
SE331,-0.022372411029843442,-0.03326749150967928,-0.017939473197572837,-0.006443584447873309,105,0.448
SE332,-0.014556149019157302,-0.018416170822948403,-0.011201425301529951,-0.004416573100896963,103,0.223
