NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
SE110,-0.028008330884052902,-0.03936370002618549,-0.019565508126616452,-0.007402950767351752,96,0.479
SE121,-0.043500025343485973,-0.06439772711219774,-0.026911178830167404,-0.011599050197041976,97,0.567
SE122,-0.03572609886779588,-0.05628468490860161,-0.021367129469849602,-0.011596219770562565,99,0.505
SE123,-0.021845108270225715,-0.030758078018256897,-0.01487611100426842,-0.007002779719916818,110,0.427
SE124,-0.03284550387412137,-0.04323948362594934,-0.02122217704157967,-0.0105507346706701,103,0.505
SE125,-7.112165319733275,-9.692970558999399,-3.773230229931231,-2.861892535566129,3,1.0
SE211,-0.009193755550904868,-0.01247978982310603,-0.007985968253136345,-0.005383585931588352,9,0.05
SE212,-0.026687117047051317,-0.0323066402537272,-0.01873246339203411,-0.00904001203895533,114,0.465
SE213,-0.03580213135593542,-0.04754671306286634,-0.030836205109880874,-0.016750637040305064,110,0.682
SE214,-25.384118939585026,-25.384118939585026,-25.384118939585026,-25.384118939585026,1,1.0
SE221,-0.019420838332168115,-0.025185155075468094,-0.013278301733244275,-0.006768859388535163,41,0.341
SE224,-0.011784290937733791,-0.014090768261799815,-0.010286144075791783,-0.008728740182696763,3,0.05
SE231,-0.050750162997356095,-0.08969203385624991,-0.02295288859437358,-0.01127268151231733,109,0.541
SE232,0.0,0.0,0.0,0.0,0,0.05
SE311,-0.1393079630879503,-0.18206205086569197,-0.11601109842787646,-0.04994058617982764,65,0.923
SE312,-0.012065530742614934,-0.02038013189016332,-0.00782634702529672,-0.003644814045667555,35,0.257
SE313,-0.5883777883630334,-0.9748967027136034,-0.40747180039914105,-0.09046924905121895,22,0.909
SE321,-0.021755180963622174,-0.028295224623902118,-0.015476780026305929,-0.00895626158705995,95,0.358
SE322,-0.01313685792706034,-0.018072607082342002,-0.009606590284025324,-0.004595960727732732,104,0.231
SE331,-0.01632998237605636,-0.02333414352467636,-0.013292917193148306,-0.004967851867613425,81,0.296
SE332,-0.012296881850451703,-0.016105639374515278,-0.010749397550073966,-0.0040804038383140786,62,0.161
