NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
TR100,-0.07214418200450655,-0.10746499081575481,-0.04457846826153216,-0.027340964483000142,101,0.634
TR211,-0.07298736637893823,-0.10745858506681538,-0.06260654207210281,-0.025169028426990803,99,0.677
TR212,-0.08806269411818099,-0.11267681948303103,-0.06464219330474055,-0.030569632277305303,94,0.681
TR213,-0.04904513806425085,-0.06734513955155222,-0.03857743988031806,-0.01956371659247897,123,0.569
TR221,-0.0709315796241148,-0.09270094494557778,-0.056338179521889784,-0.03200503884201046,96,0.719
TR222,-0.07830807031778242,-0.10329013930342032,-0.06422696145322099,-0.029106936338727935,91,0.692
TR310,-0.07331578260105015,-0.09257435322726856,-0.07822231671826121,-0.044180937102593215,47,0.809
TR321,-0.14950917298087313,-0.19239834100495548,-0.1541205136473647,-0.12154132692533037,47,0.894
TR322,-0.02129223890431213,-0.02821314621484794,-0.01129072065943897,-0.005264314729235338,74,0.203
TR323,-0.09922350529445587,-0.13658881108537285,-0.08880806907556808,-0.05558232218367441,47,0.915
TR331,-0.041624044964920885,-0.06051591585296627,-0.028721196701887056,-0.01413410077559576,56,0.429
TR332,-0.05619648948904329,-0.08362680379215112,-0.03845645228536002,-0.023233235557888067,112,0.589
TR333,-1.5974564868300782,-1.6264131792047591,-1.030289438184323,-0.6266994328292929,13,1.0
TR334,-0.4187589241784367,-0.4936495277539869,-0.46530376952721947,-0.4106812014573657,45,0.956
TR411,-0.06848836306136437,-0.10715793708134294,-0.051788092874789485,-0.016599281256465117,94,0.628
TR412,-0.07390981185277369,-0.10894111252252463,-0.056751027690991315,-0.032970953945795925,79,0.734
TR413,-2.347609183966969,-3.538470912379673,-2.0039164527756466,-1.1825164912827621,10,0.9
TR421,-0.37642282009059735,-0.49992192030178717,-0.47763718213567996,-0.28348719446335446,52,0.788
TR422,-0.2523728946310052,-0.34361624050066064,-0.3127020609023386,-0.21459865780944706,53,0.887
TR423,-0.32685880270026496,-0.4245150560442117,-0.4061913614053362,-0.2975897984982949,51,0.882
TR424,-0.1793285606699295,-0.25131322131015904,-0.21684302796745328,-0.10001282733787774,53,0.906
TR425,-0.22228095504988013,-0.35970057218321594,-0.3024000613768546,-0.03812364667181149,69,0.754
TR510,0.0,0.0,0.0,0.0,0,0.05
TR521,-0.07380566610684418,-0.09944122761684204,-0.06350467430846611,-0.05574396727556076,40,0.85
TR522,-0.1497733303714451,-0.23880403456362936,-0.13224876297827093,-0.04328852694432383,77,0.792
TR611,-0.012278482166308268,-0.01947798644209044,-0.008216641026989744,-0.0014885919721082564,15,0.067
TR612,-0.006735787508802239,-0.006735787508802239,-0.006735787508802239,-0.006735787508802239,1,0.05
TR613,-0.07821092963450466,-0.10455441844016365,-0.07132095978301514,-0.03214928133341562,96,0.698
TR621,-0.05911469947226987,-0.07828625421198442,-0.043709993784079706,-0.02808648655658743,84,0.631
TR622,-0.04791607026947457,-0.0711716129589567,-0.03829251852033985,-0.016670784409454676,61,0.574
TR631,-0.11354673106315306,-0.16556635404282308,-0.0955397552467297,-0.04690761123945888,81,0.802
TR632,-0.02315808994716602,-0.0350750947336393,-0.00988409613015775,-0.003292975479545403,113,0.257
TR633,-0.5331209422078192,-0.5700070923720071,-0.4692404703304305,-0.39796692530635636,37,0.838
TR711,-1.132890705719905,-1.4431361243121847,-0.7241288441675447,-0.6905920922882721,25,0.88
TR712,-0.43411740870490717,-0.5653822593381894,-0.5357075802612191,-0.20493719444134834,51,0.765
TR713,-2.338081458272023,-3.070132618701974,-2.0963390903531045,-0.18845451433480828,9,0.778
TR714,-0.7707570701968295,-0.7681646324943499,-0.7526805188099759,-0.738819504584465,39,0.923
TR715,-2.855597942239822,-3.921194108450933,-3.816801246127003,-0.613629157804101,9,0.889
TR721,-0.09799646760800564,-0.14988208098245928,-0.08824800863605059,-0.028876382767485873,86,0.709
TR722,-0.04534330516179962,-0.06095765398047429,-0.045242673760204404,-0.022815246962710884,50,0.68
TR723,-0.03135700217347309,-0.04216360325530914,-0.029264509054692755,-0.017110690336341994,75,0.387
TR811,-0.4359002623040763,-0.5490965801112514,-0.3819871889224369,-0.20631130289065472,36,0.778
TR812,-0.5747825627419121,-0.7542682240353226,-0.480722055697017,-0.19435331029189418,26,0.923
TR813,-0.03625450787832132,-0.0565287900398982,-0.02722628331826568,-0.012848795558892987,114,0.421
TR821,-0.009422151535194573,-0.014374894533218729,-0.00633299129876818,-0.003274658762153413,14,0.05
TR822,-0.6884880865808967,-0.9107759352500174,-0.43445413545280204,-0.39510889361540424,24,0.958
TR823,-0.018914859259365036,-0.03132046257163101,-0.013633041579284093,-0.0064451685432478445,55,0.218
TR831,-0.015489370842779267,-0.020799252956198482,-0.010754704386676833,-0.006201820189920908,46,0.13
TR832,-0.03400862577163589,-0.04721646357064693,-0.028145634944062446,-0.013380753360532065,68,0.397
TR833,-6.002356059368513,-7.6470848839016075,-4.072171636904909,-3.3925350236036147,3,1.0
TR834,-29.928799595960562,-29.928799595960562,-29.928799595960562,-29.928799595960562,1,1.0
TR901,-0.22142309571427754,-0.27371383486092227,-0.25558011174933815,-0.22635188232703143,48,0.875
TR902,-0.6170891626533659,-0.6955733369343404,-0.6794185625831743,-0.6669475498897943,44,0.932
TR903,-0.174418917460628,-0.3154036375704165,-0.2650129606188679,-0.008200282248588073,72,0.569
TR904,-0.11300333294298014,-0.17189213948732882,-0.14420811652730953,-0.02282633535265788,60,0.667
TR905,-0.33184844514285133,-0.3876770276297073,-0.3662261692029075,-0.3281802734316223,44,0.932
TR906,-0.33131166424836733,-0.39522744938074655,-0.3796916840377938,-0.3541621805492866,46,0.891
TRA11,-0.01981029989925937,-0.023633892452396332,-0.012796064544757743,-0.006801116724286356,27,0.185
TRA12,-0.07740254286742283,-0.14522897576247806,-0.03177634943237454,-0.006847190177547624,90,0.478
TRA13,-0.23616380104931786,-0.35187972878743323,-0.3236636833777486,-0.016903519622884337,58,0.707
TRA21,-0.1567525200159668,-0.2225265907076002,-0.13211059254111523,-0.044068281564542025,61,0.852
TRA22,-0.141911908085945,-0.21945968243511937,-0.16642702129734283,-0.03896126257499411,65,0.785
TRA23,-31.341532728377633,-31.341532728377633,-31.341532728377633,-31.341532728377633,1,1.0
TRA24,-0.2784972691110601,-0.33560292755726184,-0.3109706494354272,-0.27929115001994187,45,0.978
TRB11,-0.27066661096955913,-0.39000894786573637,-0.33429689055551265,-0.07288067261102546,58,0.81
TRB12,-0.18810350785550004,-0.22241106955518994,-0.1942024566625166,-0.17120069320428632,43,0.93
TRB13,-0.1890905023763832,-0.23680764691867587,-0.21188003858239454,-0.18189522833391514,47,0.851
TRB14,-0.3698063737744523,-0.4522733185406748,-0.41997529434707204,-0.36718196071756937,47,0.872
TRB21,-0.06555507304527051,-0.09497648170426884,-0.067820454594049,-0.03030123156159812,58,0.724
TRB22,-0.14405428514501473,-0.2292927478838009,-0.17505897801044834,-0.024846909887287803,61,0.721
TRB23,-0.1287533903805134,-0.1619782521045729,-0.14334557938640002,-0.11405309381721979,46,0.87
TRB24,-0.2639199136365842,-0.3813372711360595,-0.33345759833747923,-0.0412316420245938,57,0.772
TRC11,-0.28795897626335437,-0.3881067295589352,-0.3452608133301083,-0.29812137928777926,51,0.804
TRC12,-0.30538122178197774,-0.3771271787103298,-0.3426911756513965,-0.29936186636048145,46,0.87
TRC13,-31.626736557522833,-31.626736557522833,-31.626736557522833,-31.626736557522833,1,1.0
TRC21,-0.2750782653855315,-0.43987423129265113,-0.38678985394632925,-0.01717507301644004,64,0.672
TRC22,-0.19893492267547777,-0.23135670762400712,-0.19968576105137534,-0.1771991949755857,41,0.976
TRC31,-13.521215400315384,-18.93801584866854,-13.521215400315384,-8.104414951962227,2,1.0
TRC32,-0.31802635056928996,-0.3724704899079348,-0.3131059889733102,-0.25611092938929725,43,0.86
