NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw
UKC11,0.0,0.0,0.0,0.0,0,0.05
UKC12,-0.37262658969853324,-0.3923552265659618,-0.2495509838997325,-0.14267460758862766,32,1.0
UKC13,-30.999531735425283,-30.999531735425283,-30.999531735425283,-30.999531735425283,1,1.0
UKC14,0.0,0.0,0.0,0.0,0,0.05
UKC21,-0.011699958558852806,-0.018039326827795688,-0.008395748050742913,-0.0034794303895032998,25,0.05
UKC22,-22.21430520704984,-22.21430520704984,-22.21430520704984,-22.21430520704984,1,1.0
UKC23,-0.02427564878466012,-0.0367068350558163,-0.01673821896463608,-0.008406667989207757,127,0.213
UKD11,-0.024759811115353376,-0.039569599523710725,-0.020503858387308234,-0.006534968920764583,65,0.231
UKD12,0.0,0.0,0.0,0.0,0,0.05
UKD33,-0.11440119328172776,-0.1856524480578629,-0.13897662870739969,-0.023366958020486626,71,0.606
UKD34,-0.14829864281562918,-0.24069307015921199,-0.1895662888794317,-0.019773175515371597,67,0.627
UKD35,-19.016554485601922,-19.016554485601922,-19.016554485601922,-19.016554485601922,1,1.0
UKD36,-22.382776533503158,-22.382776533503158,-22.382776533503158,-22.382776533503158,1,1.0
UKD37,-0.07220055081658007,-0.1157701250991096,-0.056313207485220326,-0.022119836853915317,85,0.6
UKD41,-1.0229326628943782,-1.3030404318091988,-0.9050707722235093,-0.2649995899802676,13,0.923
UKD42,-33.50441294538177,-33.50441294538177,-33.50441294538177,-33.50441294538177,1,1.0
UKD44,-0.018549548875534977,-0.025244114941253407,-0.018549548875534977,-0.011854982809816547,2,0.05
UKD45,-0.058469246907152286,-0.09853228973603115,-0.05497413490351488,-0.01822002819440932,79,0.519
UKD46,-0.2888240151642644,-0.39059726225201097,-0.21885405615178555,-0.08913761432188647,38,0.895
UKD47,-0.019747592482538174,-0.028866046804779732,-0.012898660122955465,-0.006936069272758236,75,0.147
UKD61,-0.039438496691247146,-0.06445281759630499,-0.02429801991001435,-0.008901860991853739,104,0.356
UKD62,-0.016375145821185207,-0.019618353453404215,-0.013990418926159796,-0.004250724288477977,23,0.13
UKD63,-0.017960967054149016,-0.02504370269007114,-0.014631805621871101,-0.0058195700657063445,28,0.107
UKD71,0.0,0.0,0.0,0.0,0,0.05
UKD72,-0.022017505824148416,-0.026356486631911258,-0.015077369137861164,-0.0067096502669100255,85,0.188
UKD73,-0.02639794833354903,-0.037921986799963794,-0.019884703134400078,-0.009815171706283403,56,0.232
UKD74,-31.897914447155326,-31.897914447155326,-31.897914447155326,-31.897914447155326,1,1.0
UKE11,-29.590092084997718,-29.590092084997718,-29.590092084997718,-29.590092084997718,1,1.0
UKE12,-0.0138700669840771,-0.01454722307604646,-0.005491822273280916,-0.004814666181311556,4,0.05
UKE13,-0.017310531516061208,-0.0240775268823825,-0.012257369761837344,-0.004595602609970165,88,0.091
UKE21,-30.02211741167986,-30.02211741167986,-30.02211741167986,-30.02211741167986,1,1.0
UKE22,0.0,0.0,0.0,0.0,0,0.05
UKE31,-0.01414659839735642,-0.015296273572415012,-0.010662320536460353,-0.005456261571084484,50,0.05
UKE32,-0.012125924139113172,-0.011553565093710009,-0.004254348346755436,-0.0036504371412542955,5,0.05
UKE41,-0.42986291628096673,-0.6057651043006125,-0.277297578335463,-0.17378334272036816,27,0.926
UKE42,-0.025225038677013582,-0.035638365469489106,-0.0183042029353071,-0.010776541837526842,78,0.205
UKE44,-0.013960786168575148,-0.01997329622402936,-0.010862450585495767,-0.005187335661757442,69,0.05
UKE45,-27.424402824127025,-27.424402824127025,-27.424402824127025,-27.424402824127025,1,1.0
UKF11,-36.05251206620402,-36.05251206620402,-36.05251206620402,-36.05251206620402,1,1.0
UKF12,-0.022493159233084405,-0.029552730247615296,-0.018031513003495203,-0.006885666358701845,104,0.154
