0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
2.94e-05,5.95e-05,0.000111167,7.7e-05,0.000145378,0.000122546,6.03e-05,6.04e-05,0.000102296,5.49e-05,0.000119866,5.73e-05,4.97e-05,8.4e-05,0.000113564,8.78e-05,5.16e-05,6.42e-05,6.38e-05,3.59e-05,0.00011125,6.36e-05,0.000103695,0.000116108,0.000128908,6.55e-05,5.82e-05,0.000115668,0.000130748,0.000103365,0.000159754,0.000139784,5.68e-05,0.000136083,0.000136083,7.18e-05,0.000152769,7.19e-05,0.00019383,0.000161253,0.000111186,0.000159761,0.000140767,6.86e-05
2.67e-05,5.04e-05,0.000106667,7.73e-05,0.000132923,0.000103357,5.32e-05,4.76e-05,9.56e-05,4.14e-05,9.66e-05,4.88e-05,4.28e-05,7.66e-05,0.000102029,7.4e-05,4.91e-05,6.05e-05,4.98e-05,2.4e-05,9.86e-05,4.88e-05,9.25e-05,9.69e-05,0.000101593,5.5e-05,5.09e-05,0.000102652,0.000105288,8.54e-05,0.000152308,0.000125565,5.21e-05,0.000137123,0.000137123,6.26e-05,0.000154723,6.66e-05,0.000191715,0.000146668,9.94e-05,0.00014327,0.000118083,5.57e-05
2.28e-05,4.52e-05,8.95e-05,6.64e-05,0.000129373,0.000106188,5.47e-05,4.38e-05,9.29e-05,5.02e-05,8.32e-05,4.05e-05,4.36e-05,6.56e-05,9.81e-05,6.56e-05,4.25e-05,5.16e-05,4.55e-05,1.91e-05,7.09e-05,3.84e-05,7.92e-05,9.26e-05,0.000104008,5.39e-05,4.94e-05,8.3e-05,9.58e-05,7.97e-05,0.000127583,0.000117135,5.43e-05,0.000116314,0.000116314,5.68e-05,0.000119507,6e-05,0.00014646,0.00012023,8.99e-05,0.000121809,0.000124478,6.11e-05
2.12e-05,4.08e-05,8.18e-05,6.34e-05,9.82e-05,8.29e-05,5.2e-05,4.03e-05,7.23e-05,3.44e-05,7.07e-05,4.09e-05,4.02e-05,5.63e-05,8.23e-05,5.81e-05,3.71e-05,4.11e-05,3.99e-05,1.89e-05,7.89e-05,3.61e-05,8.09e-05,0.000109439,8.89e-05,5.63e-05,4.13e-05,8.31e-05,0.000108454,6.47e-05,0.000151871,0.00010956,4.7e-05,0.000118048,0.000118048,5.54e-05,0.000115944,5.08e-05,0.000145634,0.00011184,8.97e-05,0.000145408,0.000103584,5.98e-05
2.78e-05,4.9e-05,0.000102305,7.37e-05,0.000132609,0.000107055,6.03e-05,4.28e-05,8.73e-05,4.62e-05,8.75e-05,4.7e-05,4.64e-05,7.47e-05,0.000103348,7.14e-05,4.77e-05,4.83e-05,4.93e-05,2.25e-05,0.000100332,4.82e-05,9.4e-05,0.000102936,0.000103158,5.7e-05,4.81e-05,0.000103924,9.73e-05,7.24e-05,0.000151592,0.000126509,5.4e-05,0.000130949,0.000130949,6.14e-05,0.000135499,6.8e-05,0.00015101,0.000119689,8.85e-05,0.000146087,0.000111702,4.84e-05
2.86e-05,5.61e-05,0.000107723,8.96e-05,0.000138254,0.000118911,6.06e-05,5.89e-05,0.000109184,6.08e-05,0.000127319,6.38e-05,5.51e-05,8.13e-05,0.000115673,8.44e-05,5.42e-05,5.85e-05,6.25e-05,3.21e-05,0.000116935,6.27e-05,9.79e-05,0.000113867,0.00012291,6.1e-05,5.71e-05,0.000116993,0.000117252,9.07e-05,0.00016462,0.000133329,5.79e-05,0.000137923,0.000137923,6.04e-05,0.000116501,6.43e-05,0.00014784,0.000122972,9.53e-05,0.000156467,0.000126091,5.51e-05
3.05e-05,5.67e-05,0.000119305,9.83e-05,0.000157527,0.000132545,7.44e-05,6.3e-05,0.000124465,6.42e-05,0.000134956,6.35e-05,6.07e-05,9.72e-05,0.000127385,9.51e-05,5.93e-05,6.18e-05,6.55e-05,3.25e-05,0.000124145,6.95e-05,0.00011068,0.000126204,0.000129443,6.05e-05,6.47e-05,0.000132483,0.000127297,0.000103501,0.000154811,0.000133068,6.14e-05,0.000143494,0.000143494,5.74e-05,0.000146095,7.54e-05,0.000164968,0.000114568,0.000105198,0.000169687,0.000131954,6.78e-05
3.35e-05,6.51e-05,0.0001462,0.00011029,0.000163596,0.000146135,7.1e-05,6.97e-05,0.000153925,6.74e-05,0.000132959,5.93e-05,7.71e-05,0.000107362,0.000142654,8.89e-05,5.72e-05,5.6e-05,5.15e-05,2.84e-05,0.000116801,6.51e-05,0.000107906,0.000133939,0.000118785,6.98e-05,7.35e-05,0.000124907,0.000143334,0.000122707,0.000200075,0.00014404,7.13e-05,0.000151066,0.000151066,5.98e-05,0.000173687,8.28e-05,0.000191084,0.000151927,0.000113781,0.000181354,0.00016899,7.52e-05
3.66e-05,8.13e-05,0.000147897,0.000100921,0.000166668,0.000137186,7.47e-05,6.73e-05,0.000131186,5.54e-05,0.000130524,6.16e-05,6.37e-05,9.95e-05,0.000150335,8.11e-05,5.48e-05,5.76e-05,5.78e-05,2.89e-05,0.000108384,5.36e-05,0.000114961,0.000116486,0.000115276,6.03e-05,5.99e-05,0.000116666,0.000117547,7.31e-05,0.000175205,0.000149667,8.01e-05,0.000168047,0.000168047,5.22e-05,0.000125894,7.14e-05,0.000144172,0.000111556,9.02e-05,0.000180801,0.000109727,5.08e-05
2.78e-05,6.34e-05,0.00010803,7.69e-05,0.000162272,0.000137225,7.24e-05,5.96e-05,0.000128701,6.96e-05,0.000139785,6.43e-05,6.95e-05,8.54e-05,0.000104529,0.000117645,6.85e-05,8.52e-05,6.41e-05,3.8e-05,0.000149978,7.79e-05,0.000153932,0.000106534,0.000123211,5.7e-05,5.85e-05,0.000119092,0.000106251,9.64e-05,0.000164766,0.000146644,6.77e-05,0.000131827,0.000131827,6.08e-05,0.000140648,7.6e-05,0.000180283,0.000147759,0.000103386,0.000154872,0.000136676,5.84e-05
3.08e-05,6.1e-05,0.000120099,8.68e-05,0.000133008,0.000111161,5.36e-05,6.23e-05,0.000127091,6.91e-05,0.000137019,6.65e-05,6.54e-05,9.27e-05,0.000115717,0.000102922,5.93e-05,8.05e-05,6.59e-05,2.61e-05,0.000139252,7.14e-05,0.000137358,0.00012621,0.000128439,6.3e-05,6.27e-05,0.000137226,0.000121943,0.000101582,0.000154512,0.000113066,5.51e-05,0.00012862,0.00012862,6.53e-05,0.000141535,6.69e-05,0.000173248,0.000139479,0.000105315,0.00015633,0.0001221,6.43e-05
4.12e-05,7.6e-05,0.000138349,0.000112714,0.000177092,0.000127638,6.83e-05,8.35e-05,0.000150678,8.57e-05,0.000157317,8.28e-05,7.18e-05,0.00011432,0.000146325,0.000122922,7.92e-05,0.000101286,8.24e-05,3.7e-05,0.00015944,8.8e-05,0.000153654,0.000167999,0.000156723,8.7e-05,7.78e-05,0.000158275,0.000165048,0.000145728,0.000222919,0.000151196,6.8e-05,0.000156043,0.000156043,0.000100612,0.000208232,9.98e-05,0.000290136,0.000222183,0.000159713,0.000240472,0.000210307,7.95e-05
