Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
ES: Girona,ES512,0.773,0.52,0.272,0.109,1
ES: Mallorca,ES532,0.776,1.0,0.42,0.326,2
ES: Menorca,ES533,0.761,1.0,0.492,0.374,2
ES: Barcelona,ES511,0.77,1.0,0.254,0.196,1
ES: Badajoz,ES431,0.733,0.488,1.0,0.358,2
ES: Valencia/València,ES523,0.733,0.832,0.636,0.388,2
ES: Córdoba,ES613,0.787,0.86,0.964,0.652,4
ES: Tarragona,ES514,0.716,1.0,0.252,0.18,1
ES: Alicante/Alacant,ES521,0.803,1.0,0.829,0.666,4
ES: Cáceres,ES432,0.712,0.327,0.99,0.23,2
ES: Almería,ES611,0.777,0.659,0.826,0.423,3
ES: Cádiz,ES612,0.782,0.848,0.9,0.597,3
ES: Castellón/Castelló,ES522,0.82,0.683,0.573,0.321,2
ES: Eivissa y Formentera,ES531,0.806,1.0,0.468,0.377,2
ES: Lleida,ES513,0.774,1.0,0.24,0.186,1
ES: Toledo,ES425,0.812,0.692,0.699,0.393,2
ES: Huesca,ES241,0.75,0.637,0.342,0.163,1
ES: Asturias,ES120,0.793,0.204,0.635,0.103,1
ES: Burgos,ES412,0.822,0.677,0.285,0.159,1
ES: Pontevedra,ES114,0.797,0.704,0.72,0.404,3
ES: Ourense,ES113,0.76,0.555,0.828,0.349,2
ES: Zamora,ES419,0.776,0.522,0.804,0.326,2
ES: A Coruña,ES111,0.828,0.27,0.561,0.125,1
ES: Soria,ES417,0.782,0.632,0.532,0.263,2
ES: Lugo,ES112,0.855,0.346,0.773,0.229,2
ES: Zaragoza,ES243,0.791,0.602,0.331,0.158,1
ES: León,ES413,0.862,0.427,0.687,0.253,2
ES: Madrid,ES300,0.929,1.0,0.052,0.048,1
ES: Jaén,ES616,0.882,0.761,1.0,0.671,4
ES: Málaga,ES617,0.877,0.878,0.864,0.665,4
ES: Ávila,ES411,0.841,0.503,0.581,0.246,2
ES: Navarra,ES220,0.87,0.53,0.163,0.075,1
ES: Sevilla,ES618,0.759,1.0,0.835,0.634,4
ES: Bizkaia,ES213,0.897,0.817,0.058,0.043,1
ES: Cuenca,ES423,0.877,0.844,0.814,0.603,4
ES: Murcia,ES620,0.844,1.0,0.755,0.637,4
ES: Granada,ES614,0.789,0.794,0.968,0.606,4
ES: Huelva,ES615,0.818,0.514,0.898,0.378,2
ES: Valladolid,ES418,0.729,1.0,0.384,0.28,2
ES: Salamanca,ES415,0.705,0.515,0.79,0.287,2
ES: Palencia,ES414,0.801,0.904,0.554,0.401,3
ES: Araba/Álava,ES211,0.794,0.536,0.018,0.008,1
ES: Gipuzkoa,ES212,0.82,0.552,0.018,0.008,1
ES: Cantabria,ES130,0.869,0.205,0.55,0.098,1
ES: La Rioja,ES230,0.858,0.535,0.315,0.145,1
ES: Albacete,ES421,0.774,0.899,0.841,0.585,3
ES: Guadalajara,ES424,0.92,0.59,0.6,0.326,2
ES: Teruel,ES242,0.859,0.39,0.395,0.132,1
ES: Ciudad Real,ES422,0.869,0.602,0.866,0.453,3
ES: Segovia,ES416,0.859,0.773,0.563,0.374,2
