Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
ES: Girona,ES512,0.649,0.457,0.871,0.258,2
ES: Mallorca,ES532,0.633,1.0,0.905,0.573,3
ES: Menorca,ES533,0.647,1.0,0.859,0.556,3
ES: Barcelona,ES511,0.65,0.61,0.99,0.393,2
ES: Badajoz,ES431,0.615,0.876,0.125,0.067,1
ES: Valencia/València,ES523,0.615,0.675,0.895,0.372,2
ES: Córdoba,ES613,0.648,0.641,0.389,0.162,1
ES: Tarragona,ES514,0.665,0.371,0.797,0.197,1
ES: Alicante/Alacant,ES521,0.665,1.0,0.917,0.61,4
ES: Cáceres,ES432,0.611,0.553,0.01,0.003,1
ES: Almería,ES611,0.743,0.992,0.592,0.436,3
ES: Cádiz,ES612,0.683,0.92,0.539,0.339,2
ES: Castellón/Castelló,ES522,0.789,0.164,0.872,0.113,1
ES: Eivissa y Formentera,ES531,0.767,0.933,0.921,0.659,4
ES: Lleida,ES513,0.758,0.453,0.631,0.217,2
ES: Toledo,ES425,0.762,0.925,0.834,0.588,3
ES: Huesca,ES241,0.658,0.495,0.521,0.17,1
ES: Asturias,ES120,0.649,0.162,0.791,0.083,1
ES: Burgos,ES412,0.696,0.792,0.801,0.442,3
ES: Pontevedra,ES114,0.714,0.463,0.735,0.243,2
ES: Ourense,ES113,0.734,0.262,0.392,0.075,1
ES: Zamora,ES419,0.732,0.72,0.307,0.162,1
ES: A Coruña,ES111,0.751,0.31,0.721,0.168,1
ES: Soria,ES417,0.678,0.702,0.298,0.142,1
ES: Lugo,ES112,0.791,0.408,0.296,0.096,1
ES: Zaragoza,ES243,0.836,0.587,0.727,0.357,2
ES: León,ES413,0.841,0.322,0.596,0.161,1
ES: Madrid,ES300,0.786,1.0,1.0,0.786,4
ES: Jaén,ES616,0.812,0.568,0.425,0.196,1
ES: Málaga,ES617,0.851,0.969,0.762,0.628,4
ES: Ávila,ES411,0.748,0.54,0.248,0.1,1
ES: Navarra,ES220,0.77,0.579,0.813,0.362,2
ES: Sevilla,ES618,0.812,0.858,0.729,0.508,3
ES: Bizkaia,ES213,0.701,0.75,0.987,0.519,3
ES: Cuenca,ES423,0.793,0.939,0.09,0.067,1
ES: Murcia,ES620,0.845,1.0,0.704,0.595,3
ES: Granada,ES614,0.805,0.935,0.623,0.469,3
ES: Huelva,ES615,0.829,0.432,0.67,0.24,2
ES: Valladolid,ES418,0.873,1.0,0.736,0.643,4
ES: Salamanca,ES415,0.815,0.504,0.532,0.219,2
ES: Palencia,ES414,0.772,1.0,0.708,0.547,3
ES: Araba/Álava,ES211,0.812,0.536,0.918,0.4,2
ES: Gipuzkoa,ES212,0.831,0.375,0.966,0.301,2
ES: Cantabria,ES130,0.807,0.19,0.897,0.138,1
ES: La Rioja,ES230,0.731,0.322,0.749,0.176,1
ES: Albacete,ES421,0.794,0.995,0.034,0.027,1
ES: Guadalajara,ES424,0.822,0.831,0.766,0.523,3
ES: Teruel,ES242,0.789,0.458,0.181,0.065,1
ES: Ciudad Real,ES422,0.797,0.64,0.222,0.113,1
ES: Segovia,ES416,0.833,0.887,0.727,0.537,3
