Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
AL: Berat,AL031,-0.08862311993479663,-0.12175565601096139,-0.06718920260225053,-0.034931976825729044,110,0.791,0.435,0.832,0.286,2
AL: Fier,AL032,-0.09886289762093445,-0.149426307617145,-0.06926851802584034,-0.03146867184892445,109,0.78,1.0,0.892,0.696,4
AL: Vlorë,AL035,-0.09738064270512431,-0.13829352157258207,-0.06550382711121382,-0.0255835206621988,110,0.736,0.603,0.793,0.352,2
AL: Tiranë,AL022,-0.09582395909534307,-0.12801271740213513,-0.06902930165473192,-0.03474134883100005,108,0.787,1.0,0.124,0.098,1
AL: Korcë,AL034,-0.09763556334890787,-0.12747391124740848,-0.06518166574224094,-0.034585533402225574,118,0.797,0.3,0.94,0.225,2
AL: Lezhë,AL014,-0.07863255977938322,-0.10286068256694914,-0.053408995184492075,-0.027082170799508348,117,0.726,0.906,0.948,0.624,4
AL: Gjirokastër,AL033,-0.09342885727204871,-0.12676356484114826,-0.06467987348479307,-0.027880280960155913,111,0.739,0.219,0.895,0.145,1
AL: Kukës,AL013,-0.09240519180619713,-0.1208946947180264,-0.059557943335924,-0.03204362835935975,110,0.8,0.051,0.01,0.0,0
AL: Shkodër,AL015,-0.08260010646126482,-0.11122915961345427,-0.04834197537463694,-0.02086503566698146,116,0.681,0.185,0.455,0.057,1
AL: Dibër,AL011,-0.09888450001137106,-0.13967936899989034,-0.059198723279275584,-0.029916949458419877,114,0.754,0.432,1.0,0.326,2
AL: Durrës,AL012,-0.0871441456506529,-0.10994164922240365,-0.0608464927434124,-0.025966321846088533,114,0.728,1.0,0.459,0.334,2
AL: Elbasan,AL021,-0.08579983882750052,-0.11697891195368626,-0.055920745478631836,-0.021314917159314398,115,0.687,0.691,0.912,0.433,3
