Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
AL: Berat,AL031,-0.04338381135179023,-0.05619323122547931,-0.030156589935767,-0.01417824817175603,114,0.772,0.399,0.813,0.25,2
AL: Fier,AL032,-0.05124979448144964,-0.07047501988026837,-0.03203897862224534,-0.01424533026700319,113,0.77,1.0,0.992,0.764,4
AL: Vlorë,AL035,-0.04167975191069777,-0.05346682653292962,-0.02840942574288783,-0.015592689182212599,109,0.78,0.469,0.602,0.22,2
AL: Tiranë,AL022,-0.04677913043770634,-0.055961572063712176,-0.029406477119509895,-0.01539718338981656,111,0.784,1.0,1.0,0.784,4
AL: Korcë,AL034,-0.043523345213380575,-0.0565176418957775,-0.02856227675791894,-0.014675962643111084,114,0.754,0.18,0.668,0.091,1
AL: Lezhë,AL014,-0.04737213065147759,-0.062447105442114514,-0.03220343339216293,-0.014026070745598447,110,0.745,0.452,0.769,0.259,2
AL: Gjirokastër,AL033,-0.042889584720837017,-0.06536821469611327,-0.030735414819181496,-0.013373458777536157,116,0.741,0.148,0.01,0.001,1
AL: Kukës,AL013,-0.042213596481659676,-0.057646687510437604,-0.030189675666629414,-0.012892525211037167,117,0.718,0.141,0.645,0.065,1
AL: Shkodër,AL015,-0.041347341663800476,-0.05596590319094682,-0.024769066101121374,-0.013275779972960594,121,0.719,0.179,0.324,0.042,1
AL: Dibër,AL011,-0.03677283643507409,-0.05147603448504563,-0.023420305162594135,-0.009486345361304535,119,0.647,0.306,0.8,0.158,1
AL: Durrës,AL012,-0.04086847516373976,-0.04698476566411651,-0.026164319215072254,-0.014164876548891148,117,0.752,1.0,0.984,0.74,4
AL: Elbasan,AL021,-0.039305599480933866,-0.0518365208439321,-0.023990754822433034,-0.011790001028595166,122,0.713,0.476,0.931,0.316,2
