NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
AT111,-0.08815596484611068,-0.16075087577703057,-0.04737413550661688,-0.013409587952949128,92,0.707,0.318,0.904,0.203,2
AT112,-0.09695779657062331,-0.17653620561072356,-0.05612970578525124,-0.016861844066941658,84,0.75,0.184,0.339,0.047,1
AT113,-0.08799019833440229,-0.1570089409409407,-0.056101011786673746,-0.01705949522560397,86,0.756,0.657,0.904,0.449,3
AT121,-0.05745303695655974,-0.10178111217749555,-0.038495527575801644,-0.010085368295512681,107,0.664,0.428,0.908,0.258,2
AT122,-0.07182301448563218,-0.13424680079524806,-0.03637695500034681,-0.012030567378112821,90,0.667,0.105,0.61,0.043,1
AT123,-0.06108797291992972,-0.10388315001147108,-0.033988517928374165,-0.01460013605521211,102,0.706,0.172,0.937,0.114,1
AT124,-0.07059855012538517,-0.12917879044962324,-0.03937993124115572,-0.012705919721722341,92,0.707,0.171,0.88,0.106,1
AT125,-0.0852517854830568,-0.16334513016252059,-0.03683873965232704,-0.015416091732225447,97,0.732,0.206,0.887,0.134,1
AT126,-0.08317095085860393,-0.15450438480493864,-0.041748728248968456,-0.013648046587065891,102,0.725,0.4,0.529,0.153,1
AT127,-0.07684142639356493,-0.13805873957555342,-0.042408985941951,-0.013236848706801517,96,0.708,0.228,0.823,0.133,1
AT130,-0.08594210239601298,-0.1511707043095303,-0.055449511965265555,-0.020483500124505487,100,0.77,0.308,0.01,0.002,1
AT211,-0.052728045314754425,-0.07483905736635758,-0.041544326372925156,-0.01943386448406202,95,0.789,0.188,0.462,0.069,1
AT212,-0.04066932298839472,-0.06308314208786295,-0.027882362547949607,-0.01133155787404593,98,0.673,0.201,0.852,0.115,1
AT213,-0.05111708813045968,-0.08014408351578066,-0.02925092057923043,-0.014521810185479402,98,0.714,0.672,0.907,0.435,3
AT221,-0.07223308586791499,-0.114072182373779,-0.03933350034985654,-0.014048660044203912,87,0.701,0.229,0.603,0.097,1
AT222,-0.05063566202765414,-0.1010702650788709,-0.023892686856610338,-0.008152305804081255,100,0.56,0.618,0.903,0.313,2
AT223,-0.059401634922179515,-0.09276032007521293,-0.03505468008475298,-0.015513502525715728,96,0.729,0.562,0.797,0.327,2
AT224,-0.0692529997044972,-0.11702333377450627,-0.03597962182035816,-0.012423488072917396,93,0.699,0.155,0.868,0.094,1
AT225,-0.06761598261962015,-0.11427180928479172,-0.03682246181630347,-0.013849855609693668,90,0.7,0.587,0.733,0.301,2
AT226,-0.05120147372512606,-0.08269848084424249,-0.026599278238112055,-0.008824199174575841,86,0.628,0.867,0.991,0.54,3
AT311,-0.04010117821081073,-0.07327319584596292,-0.020664329927422807,-0.00717667059112082,106,0.575,0.168,0.753,0.073,1
AT312,-0.05149012309180532,-0.10050698840437675,-0.02325322073778853,-0.008341909276001234,103,0.573,0.379,0.786,0.171,1
AT313,-0.06392521775566946,-0.1346368823468403,-0.023598623250841076,-0.00958334131012591,111,0.595,0.385,0.85,0.195,1
AT314,-0.06132728786829774,-0.11686426162217631,-0.028267720735569754,-0.007410399696803693,94,0.649,0.79,0.862,0.442,3
AT315,-0.047104850891860825,-0.08758886247937211,-0.025424288629041336,-0.009277013559632674,99,0.566,0.853,0.903,0.436,3
AT321,-0.0414404797532568,-0.06434298376844903,-0.028902670222635846,-0.008806480002475484,100,0.61,0.904,0.789,0.435,3
AT322,-0.04104611753323221,-0.06440750597755651,-0.02987733271589644,-0.008948295400737298,100,0.6,0.917,0.987,0.543,3
AT323,-0.04453368064099224,-0.07962100226906424,-0.021818621518951874,-0.009989282200548276,112,0.652,0.232,0.815,0.123,1
AT331,-0.057684812460920824,-0.08351413413608973,-0.05404620160242431,-0.023889870526526136,101,0.792,0.337,0.959,0.256,2
AT332,-0.0488854886335401,-0.07191586528334436,-0.035236161576408194,-0.012936091086494897,108,0.694,0.08,0.459,0.025,1
AT333,-0.040030825386939126,-0.05949158446623751,-0.031247524209508902,-0.010238815238563886,107,0.626,1.0,1.0,0.626,4
AT334,-0.05754366793514554,-0.07806935906147283,-0.038933955915389375,-0.02115265801091645,97,0.804,0.286,0.59,0.136,1
AT335,-0.03797133130753013,-0.061139253620900405,-0.023728143680626132,-0.01012995554027786,106,0.594,1.0,0.988,0.587,3
AT341,-0.05321975621299612,-0.0680655958405294,-0.04150673854005699,-0.022151785686565804,101,0.802,1.0,0.907,0.727,4
AT342,-0.0654315618400827,-0.10767969007508954,-0.0443369056055136,-0.01534130310714988,92,0.728,0.231,0.857,0.144,1
