Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
BE: Arr. Philippeville,BE353,-0.0268514184133073,-0.03559680495963603,-0.022032313107735468,-0.012001185264428841,116,0.75,0.558,0.908,0.38,2
BE: Arr. Antwerpen,BE211,-0.02682235948856856,-0.03435043308851406,-0.020604100168069184,-0.011320828060510293,119,0.739,0.575,0.971,0.413,3
BE: Arr. Verviers — communes francophones,BE335,-0.026519330883028075,-0.033560531385398946,-0.02140023899980977,-0.011524036947488747,115,0.739,0.245,0.968,0.175,1
BE: Bezirk Verviers — Deutschsprachige Gemeinschaft,BE336,-0.02686207151277904,-0.03285189248629478,-0.022131400345292783,-0.012221446109417165,114,0.754,0.158,0.882,0.105,1
BE: Arr. Brugge,BE251,-0.02520356802070054,-0.030987722426799043,-0.020133770173235997,-0.010809798182652364,119,0.714,1.0,0.962,0.687,4
BE: Arr. Waremme,BE334,-0.024880848403951952,-0.03342631950891917,-0.02075366419108206,-0.012821619091405027,118,0.763,0.639,0.988,0.482,3
BE: Arr. de Bruxelles-Capitale/Arr. Brussel-Hoofdstad,BE100,-0.02455021674256899,-0.03162516574263895,-0.020205597534458282,-0.01007258471988998,123,0.707,1.0,1.0,0.707,4
BE: Arr. Mechelen,BE212,-0.026288743528027285,-0.03489517525956711,-0.021173239069146376,-0.010742578949849542,119,0.706,1.0,0.974,0.688,4
BE: Arr. Turnhout,BE213,-0.027934173939999554,-0.035543697104137975,-0.02102101587545484,-0.011498984291436939,117,0.744,0.973,0.945,0.684,4
BE: Arr. Hasselt,BE224,-0.02886193410750591,-0.03698240615532421,-0.01957368194148536,-0.009154408243602833,121,0.702,0.9,0.958,0.605,4
BE: Arr. Maaseik,BE225,-0.0301869330998137,-0.036158679587488494,-0.019793177792573002,-0.010733249523620642,118,0.737,0.891,0.889,0.584,3
BE: Arr. Tongeren,BE223,-0.02820369759918588,-0.03768383771708475,-0.021202169137351075,-0.009329268655959419,116,0.707,0.665,0.987,0.464,3
BE: Arr. Ieper,BE253,-0.026894135059856994,-0.034198240704067046,-0.019144145853881467,-0.009214772511662694,121,0.694,1.0,0.991,0.688,4
BE: Arr. Kortrijk,BE254,-0.028164286179216062,-0.03642354677832457,-0.02222005583075188,-0.011666042841050925,117,0.744,1.0,0.996,0.741,4
BE: Arr. Oostende,BE255,-0.025729199746027512,-0.03268096430095636,-0.021524417802274917,-0.011898455163885472,113,0.752,1.0,0.954,0.717,4
BE: Arr. Roeselare,BE256,-0.025926865421897094,-0.03633731229020903,-0.018056891531081535,-0.009027975210713983,123,0.659,1.0,0.995,0.656,4
BE: Arr. Tielt,BE257,-0.026380539469451538,-0.0363533416736596,-0.019289691733949562,-0.008997418602680399,119,0.689,1.0,0.992,0.683,4
BE: Arr. Veurne,BE258,-0.026132271700169282,-0.03488169961198994,-0.021403457309370634,-0.007576205951183829,123,0.667,1.0,0.964,0.643,4
BE: Arr. Marche-en-Famenne,BE343,-0.02631594515603642,-0.039203007996082576,-0.021228406945393775,-0.008448064504443674,122,0.713,0.059,0.01,0.0,0
BE: Arr. Eeklo,BE233,-0.028083490912010706,-0.04050059794486144,-0.01982406472766358,-0.00933853304528344,124,0.677,1.0,0.902,0.611,4
BE: Arr. Gent,BE234,-0.026586125556484198,-0.038798786761754224,-0.01840431635590562,-0.009532413548044244,118,0.686,1.0,0.923,0.633,4
BE: Arr. Oudenaarde,BE235,-0.02838793005143521,-0.035572698038885686,-0.02048266752841006,-0.010130036465433024,117,0.709,1.0,0.977,0.693,4
BE: Arr. Sint-Niklaas,BE236,-0.026036651720722438,-0.03550340409738739,-0.019672579498142585,-0.008011904277527182,127,0.638,1.0,0.96,0.612,4
BE: Arr. Neufchâteau,BE344,-0.02667188310018157,-0.03427342428935777,-0.021997723108051224,-0.01053479700380096,116,0.724,0.057,0.426,0.018,1
BE: Arr. Virton,BE345,-0.027634849764553198,-0.03303489031945316,-0.0223594786227045,-0.011383471798518537,114,0.746,0.067,0.643,0.032,1
BE: Arr. Arlon,BE341,-0.02717890808388796,-0.03684563248052832,-0.020818376337641033,-0.010113258040278216,118,0.72,0.424,0.786,0.24,2
BE: Arr. Thuin,BE32D,-0.025072633366322653,-0.03301529948762968,-0.02130115929297001,-0.008359473255283204,116,0.664,0.367,0.941,0.229,2
BE: Arr. Huy,BE331,-0.027035498348856348,-0.03615213240592123,-0.021754610397980413,-0.00998774510257956,121,0.678,0.658,0.895,0.399,2
BE: Arr. Liège,BE332,-0.02640298757650514,-0.035182300801819416,-0.021420598563626117,-0.009593427331513528,114,0.711,0.344,0.989,0.242,2
BE: Arr. Dendermonde,BE232,-0.02679387446872449,-0.03369401276505294,-0.021541657371303508,-0.011198360252205872,113,0.743,1.0,0.971,0.721,4
BE: Arr. Nivelles,BE310,-0.025560919956835782,-0.033596750123267606,-0.020442374528642608,-0.007763957097952044,116,0.647,1.0,0.998,0.646,4
BE: Arr. Ath,BE32A,-0.025105380373475265,-0.03278233782698335,-0.020604180621702002,-0.010221210875344864,113,0.717,1.0,0.98,0.703,4
BE: Arr. Charleroi,BE32B,-0.02442751499259095,-0.03220121118827346,-0.020528652775681604,-0.010038282292112498,118,0.678,0.568,0.967,0.372,2
BE: Arr. Mons,BE323,-0.02612623789449683,-0.033125527075282206,-0.022216553622412597,-0.01127542027073938,116,0.724,1.0,0.97,0.702,4
BE: Arr. Diksmuide,BE252,-0.02440660163085699,-0.034537470263025324,-0.02025999235754892,-0.010611851705383207,122,0.697,1.0,0.978,0.682,4
BE: Arr. Soignies,BE32C,-0.02440660163085699,-0.034537470263025324,-0.02025999235754892,-0.010611851705383207,122,0.697,1.0,0.994,0.693,4
BE: Arr. Aalst,BE231,-0.025613746127424186,-0.033169641631386214,-0.019965215815110276,-0.010109313001483372,119,0.689,1.0,0.987,0.68,4
BE: Arr. Tournai-Mouscron,BE328,-0.023329962377690215,-0.0316214296445622,-0.019192801127369725,-0.009262127586817586,126,0.683,1.0,0.992,0.678,4
BE: Arr. Dinant,BE351,-0.024078277826272972,-0.030445118663935636,-0.02030495306307712,-0.010203722795963608,121,0.702,0.239,0.696,0.117,1
BE: Arr. Namur,BE352,-0.0248088902893398,-0.0348787689789801,-0.0199733100052817,-0.009110615452294676,120,0.667,0.643,0.924,0.396,2
BE: Arr. Halle-Vilvoorde,BE241,-0.02608349567832126,-0.032027898143801706,-0.02068365459734526,-0.009368926532279713,117,0.692,1.0,0.996,0.689,4
BE: Arr. Leuven,BE242,-0.025905667601302206,-0.03528718419514484,-0.0204113856917213,-0.009784071209072685,116,0.698,1.0,0.984,0.687,4
BE: Arr. Bastogne,BE342,-0.026048475280282625,-0.033918443743017036,-0.021084504515622646,-0.008571376559422493,114,0.693,0.105,0.568,0.041,1
BE: Arr. La Louvière,BE329,-0.02495464514173467,-0.033172945108049454,-0.020317146074138065,-0.009259532337127925,113,0.673,1.0,0.972,0.654,4
