Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
BE: Arr. Philippeville,BE353,-0.02951778129037386,-0.03848977174628525,-0.026033829721436738,-0.012332570781364837,117,0.752,0.505,0.916,0.348,2
BE: Arr. Antwerpen,BE211,-0.02929364334097352,-0.0402027815913847,-0.023951555120444088,-0.01211600615288487,120,0.742,0.513,0.977,0.372,2
BE: Arr. Verviers — communes francophones,BE335,-0.028965987820824667,-0.039350422435275915,-0.025421363525561503,-0.010712800046256219,121,0.694,0.236,0.966,0.158,1
BE: Bezirk Verviers — Deutschsprachige Gemeinschaft,BE336,-0.02626113601828321,-0.03861155461308712,-0.019509214630789674,-0.008573309870986704,121,0.678,0.143,0.859,0.083,1
BE: Arr. Brugge,BE251,-0.02546701023576143,-0.03493617886273964,-0.022889224562731212,-0.00960457624440041,123,0.683,1.0,0.954,0.652,4
BE: Arr. Waremme,BE334,-0.024369466765174944,-0.03419614646513579,-0.01975334672830182,-0.009021061065366705,126,0.683,0.395,0.992,0.268,2
BE: Arr. de Bruxelles-Capitale/Arr. Brussel-Hoofdstad,BE100,-0.0247097801969528,-0.03279504973968048,-0.02071883252877669,-0.009594601703049804,121,0.669,1.0,1.0,0.669,4
BE: Arr. Mechelen,BE212,-0.02678568188612734,-0.035838393313329595,-0.021204651422132573,-0.010085549238437597,120,0.7,1.0,0.98,0.686,4
BE: Arr. Turnhout,BE213,-0.027750451089464286,-0.03892780124032935,-0.02356515505427599,-0.011305182444600369,117,0.718,0.949,0.973,0.663,4
BE: Arr. Hasselt,BE224,-0.029970245171265352,-0.04153495069238417,-0.021958072175947665,-0.012055173206955774,119,0.739,0.896,0.982,0.65,4
BE: Arr. Maaseik,BE225,-0.031057096059484177,-0.041839647318840545,-0.021716098522363232,-0.012209607948656533,120,0.75,0.604,0.957,0.434,3
BE: Arr. Tongeren,BE223,-0.029748497052522575,-0.03826036859563767,-0.0208275276530399,-0.011370457446932587,118,0.72,0.637,0.994,0.456,3
BE: Arr. Ieper,BE253,-0.033044749979300854,-0.048331746365438175,-0.026519938995253928,-0.012940340981244115,115,0.765,1.0,0.993,0.76,4
BE: Arr. Kortrijk,BE254,-0.02974381642861678,-0.04086489628582042,-0.025020971456908882,-0.01241035585672175,115,0.748,1.0,0.998,0.747,4
BE: Arr. Oostende,BE255,-0.02646153946233614,-0.036692807127001806,-0.021228775659869803,-0.009182427275120893,122,0.68,1.0,0.966,0.657,4
BE: Arr. Roeselare,BE256,-0.029112144736461055,-0.03805587862442114,-0.022301667842151977,-0.010439518551110666,124,0.702,1.0,0.995,0.698,4
BE: Arr. Tielt,BE257,-0.03043873452672396,-0.04397738751397193,-0.02275929611227262,-0.01040226982127939,125,0.68,1.0,0.992,0.675,4
BE: Arr. Veurne,BE258,-0.030209190216170013,-0.045001833574930865,-0.021603979966200348,-0.010015772511526489,121,0.669,1.0,0.985,0.659,4
BE: Arr. Marche-en-Famenne,BE343,-0.03010421771940498,-0.04228929427403463,-0.020439006126343657,-0.01083371141684146,125,0.664,0.06,0.01,0.0,0
