NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
BE100,-0.05344259109695387,-0.08331714265670075,-0.03633809962641804,-0.013808669390691227,105,0.61,0.288,0.908,0.16,1
BE211,-0.054716673406177786,-0.0868863313940715,-0.03857721785019633,-0.010936705428631973,106,0.623,0.515,0.97,0.311,2
BE212,-0.05377579037329643,-0.09333462836033261,-0.027472531864209393,-0.01167393841311017,102,0.539,0.241,0.967,0.126,1
BE213,-0.05749402799597016,-0.10777523499248037,-0.028666369381939484,-0.012023657877584732,103,0.583,0.154,0.882,0.079,1
BE223,-24.185063721478226,-24.185063721478226,-24.185063721478226,-24.185063721478226,1,1.0,1.0,0.961,0.961,5
BE224,-0.02740580924743969,-0.04403754653798126,-0.01940168392157062,-0.008552591105181293,78,0.436,0.419,0.99,0.181,1
BE225,-0.009622582198658603,-0.013866079324996762,-0.006705621900697953,-0.0024029271627962925,15,0.067,1.0,1.0,0.067,1
BE231,-0.058226107624124133,-0.09381866697009945,-0.03745342232631578,-0.01635416922455627,95,0.663,1.0,0.973,0.645,4
BE232,-0.05395109155750168,-0.0961880402664882,-0.025848680681667843,-0.008680182264583548,99,0.545,0.957,0.943,0.492,3
BE233,-0.04125540411891356,-0.06490398687377318,-0.030907434238342912,-0.012728905522517157,114,0.579,0.929,0.958,0.515,3
BE234,-0.05835558790205683,-0.09614617261391256,-0.03979773502656727,-0.015802998881699778,88,0.682,0.453,0.889,0.275,2
BE235,-0.04725122889628364,-0.07023590400194486,-0.0327810383708632,-0.014138080800132029,104,0.625,0.637,0.988,0.393,2
BE236,-0.05595831055416377,-0.09440995355273907,-0.03557663070802973,-0.012487510777920846,95,0.537,1.0,0.991,0.532,3
BE241,-0.049783277428616296,-0.08322847419474591,-0.030563634715375536,-0.009829400653354362,105,0.571,1.0,0.996,0.569,3
BE242,-0.057249481494776384,-0.10349219592691093,-0.029352706970103972,-0.011235275703283766,101,0.604,1.0,0.955,0.577,3
BE251,-0.041090785749790734,-0.05748847728597196,-0.033275872313504186,-0.012354295120827195,116,0.595,1.0,0.995,0.592,3
BE252,-0.03768806948865224,-0.05155115419099035,-0.02936980362142059,-0.012944591569570289,118,0.559,1.0,0.992,0.555,3
BE253,-0.03926180356963678,-0.05477751053845542,-0.03207733713975146,-0.014296579040425876,117,0.581,1.0,0.967,0.562,3
BE254,-0.04094132707399903,-0.0621648781983834,-0.030879624061473925,-0.01250757406110082,108,0.556,0.07,0.01,0.0,0
BE255,-0.0639179327944468,-0.08663572938789846,-0.05366095968979587,-0.03126229708379339,102,0.804,1.0,0.902,0.725,4
BE256,-0.040114374708234146,-0.05398679504580177,-0.030153131156935284,-0.012414464550838989,111,0.586,1.0,0.924,0.541,3
BE257,-0.05023845503201598,-0.07494085693022293,-0.03914584199499502,-0.01663647739719459,99,0.657,1.0,0.978,0.643,4
BE258,-0.03360120146161254,-0.048454527191852906,-0.022282950032823254,-0.010337810501420675,110,0.464,1.0,0.959,0.445,3
BE310,-0.046729626603237026,-0.06521569809598544,-0.03088649865935657,-0.015976058320915913,106,0.623,0.068,0.469,0.02,1
BE323,-21.433000489488354,-21.433000489488354,-21.433000489488354,-21.433000489488354,1,1.0,0.077,0.707,0.054,1
BE328,-0.010723406834055621,-0.01277753445046111,-0.004743927232862521,-0.004196354132293415,12,0.167,0.406,0.86,0.058,1
BE329,-0.04789554816429063,-0.0832245787854193,-0.028309124067748756,-0.009594762625423163,85,0.553,0.285,0.94,0.148,1
BE32A,-0.04833231548607229,-0.06949875568287658,-0.03222212617148055,-0.011667147645887907,101,0.604,0.33,0.893,0.178,1
BE32B,-20.4932543527037,-20.4932543527037,-20.4932543527037,-20.4932543527037,1,1.0,0.34,0.989,0.336,2
BE32C,-0.022044377156931107,-0.030188892789080705,-0.017036939656614077,-0.008334107786561042,82,0.366,1.0,0.971,0.355,2
BE32D,-4.4416191997890895,-7.810482982916761,-4.255585451286232,-0.8867216681585606,4,1.0,1.0,0.998,0.998,5
BE331,-0.025651327482746778,-0.03550578262849097,-0.01938236762009433,-0.008863704449682087,80,0.375,1.0,0.981,0.368,2
BE332,-0.007271593778754401,-0.009854597253991529,-0.0052031143662620944,-0.0021724902961055468,7,0.0,0.46,0.967,0.0,0
BE334,-24.560194717382902,-24.560194717382902,-24.560194717382902,-24.560194717382902,1,1.0,1.0,0.971,0.971,5
BE335,-0.0634346214915902,-0.11411410359878499,-0.04155149094920205,-0.015715392466945772,88,0.602,1.0,0.979,0.589,3
BE336,-0.006870953589556993,-0.006870953589556993,-0.006870953589556993,-0.006870953589556993,1,0.0,1.0,0.994,0.0,0
BE341,-22.482649100973255,-22.482649100973255,-22.482649100973255,-22.482649100973255,1,1.0,1.0,0.988,0.988,5
BE342,-0.013739376813398966,-0.021635597627105985,-0.011684627287952264,-0.006262805998948148,6,0.333,1.0,0.992,0.33,2
BE343,-25.11232169989747,-25.11232169989747,-25.11232169989747,-25.11232169989747,1,1.0,0.162,0.691,0.112,1
BE344,-0.013740479119533496,-0.020049708638101123,-0.00994667559423731,-0.005213016116662592,88,0.216,0.324,0.924,0.065,1
BE345,-0.017657510580031184,-0.02573719614741211,-0.014057483202954755,-0.005212232754612606,69,0.261,1.0,0.996,0.26,2
BE351,-1.4835085578411833,-2.0988488576318236,-1.1863840032252322,-0.815672754379798,11,1.0,1.0,0.984,0.984,5
BE352,-0.022270744657851175,-0.03155487690342975,-0.018442762873155355,-0.007703634039448803,113,0.389,0.115,0.623,0.028,1
BE353,-0.012470299340471882,-0.013289979327269632,-0.011773469934025301,-0.007588482697335471,6,0.167,0.859,0.972,0.139,1
