NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
CZ010,-0.030417769900800747,-0.04483994785746196,-0.0212188326421706,-0.01117758155012634,115,0.696,1.0,0.999,0.695,4
CZ020,-0.02968918852984357,-0.046351658064120095,-0.023940535016465352,-0.008495307696277094,111,0.613,1.0,0.814,0.499,3
CZ031,-0.046194863455398916,-0.08160455557539104,-0.025035662951622347,-0.008556604837462707,113,0.673,0.738,0.812,0.403,3
CZ032,-0.03369299723534432,-0.045101624504093364,-0.02380131431712345,-0.01405522154449091,122,0.779,0.568,0.826,0.365,2
CZ041,-0.03755868243003279,-0.05629113916942993,-0.021657489248548656,-0.011981896326321836,114,0.728,0.789,0.774,0.445,3
CZ042,-0.036182669979347944,-0.058528504677379245,-0.02108829354957801,-0.008771196454842974,108,0.667,0.551,0.01,0.004,1
CZ051,-0.03771913114345246,-0.05288665058308802,-0.023080346293568366,-0.012135430280261136,114,0.719,0.718,0.525,0.271,2
CZ052,-0.039002924955317465,-0.052693464758381645,-0.02712945508095671,-0.01319845222533525,124,0.75,1.0,1.0,0.75,4
CZ053,-0.02948373980750614,-0.042719831755050994,-0.019968303431069093,-0.010562618161764377,111,0.712,0.875,0.772,0.481,3
CZ063,-0.03638195957251722,-0.06521501620546269,-0.019205589268087388,-0.007472677747975385,116,0.612,0.541,0.67,0.222,2
CZ064,-0.032641784132943816,-0.04676723018410638,-0.022387108988530014,-0.009171315524903918,103,0.65,0.789,0.128,0.066,1
CZ071,-0.03872425343478917,-0.055477624147849056,-0.026182374669636178,-0.010792188098392781,110,0.7,1.0,0.792,0.554,3
CZ072,-0.030224553080900548,-0.03925740263258311,-0.02328667772374502,-0.009503682779601813,115,0.678,0.472,0.11,0.035,1
CZ080,-0.03342582391327488,-0.04789242062451883,-0.020887006159037054,-0.01134300146670514,122,0.705,0.939,0.913,0.604,4
