NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
CZ010,-0.030425013825752568,-0.03597089226132723,-0.018537488483372513,-0.012213706213434622,114,0.719,1.0,1.0,0.719,4
CZ020,-0.026713258241840208,-0.03583048069769504,-0.01877343444603255,-0.00933120934709419,122,0.664,1.0,0.816,0.542,3
CZ031,-0.04623013323733623,-0.08091643094993932,-0.020383787291677124,-0.008413627079051446,113,0.628,0.807,0.847,0.429,3
CZ032,-0.03618915511524023,-0.04968110559020768,-0.025616274255989807,-0.014187988298942078,113,0.805,0.655,0.78,0.411,3
CZ041,-0.0395316385132833,-0.05765704454703279,-0.026694897525067554,-0.014264012086365383,108,0.787,0.881,0.683,0.474,3
CZ042,-0.0327940232835226,-0.03998988837696389,-0.019053009085956106,-0.008003524246423177,117,0.667,0.538,0.01,0.004,1
CZ051,-0.03773460920691128,-0.050017116997358724,-0.02590925314585789,-0.013815422283232383,117,0.752,0.905,0.414,0.282,2
CZ052,-0.03986827282957738,-0.05027388559628273,-0.029542783620506607,-0.018627895883527687,122,0.811,1.0,0.982,0.796,4
CZ053,-0.02766061731234666,-0.03509086863532349,-0.018855264548161523,-0.009069749140233094,122,0.672,0.868,0.677,0.395,2
CZ063,-0.04007049711461876,-0.06492752341560333,-0.020066850581345035,-0.011758014364698779,107,0.72,0.66,0.68,0.323,2
CZ064,-0.03383755512934114,-0.043669632791662735,-0.021054057047860328,-0.010638934397386512,104,0.673,0.838,0.116,0.065,1
CZ071,-0.03977269871779714,-0.06029216562359177,-0.02452968824890063,-0.01055563682128319,112,0.705,1.0,0.608,0.429,3
CZ072,-0.031629035650123184,-0.04189503019758605,-0.025037527011513946,-0.01144223299627168,116,0.733,0.494,0.154,0.056,1
CZ080,-0.03751250695432845,-0.05049153009812549,-0.026079349113913703,-0.014426453537962191,115,0.774,0.937,0.771,0.559,3
