Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
CZ: Hlavní město Praha,CZ010,-0.03244720201863667,-0.04116224112114969,-0.022346588922071347,-0.011343863296990836,121,0.736,1.0,1.0,0.736,4
CZ: Středočeský kraj,CZ020,-0.029925422817195423,-0.03792137255032577,-0.02151073892071018,-0.011657930162151598,121,0.744,1.0,0.795,0.591,3
CZ: Ústecký kraj,CZ042,-0.026359396494527933,-0.034475596230738495,-0.018588192076911078,-0.011380229834067387,118,0.737,0.73,0.62,0.334,2
CZ: Liberecký kraj,CZ051,-0.026308671917445108,-0.03327887497153586,-0.017690671260594436,-0.009159045521814428,118,0.661,0.514,0.666,0.226,2
CZ: Královéhradecký kraj,CZ052,-0.028833446389449312,-0.04172638613097463,-0.01905713600326453,-0.008759775155419406,120,0.675,1.0,0.536,0.362,2
CZ: Jihočeský kraj,CZ031,-0.02645043708447559,-0.03257359984220661,-0.021084055919008547,-0.011924557379465572,124,0.75,0.663,0.01,0.005,1
CZ: Pardubický kraj,CZ053,-0.02902651267955673,-0.03653069078272357,-0.022708162148464772,-0.01167397149075804,122,0.746,1.0,0.284,0.212,2
CZ: Moravskoslezský kraj,CZ080,-0.02915041979618552,-0.03781865339862858,-0.02135255359528968,-0.011562626839491667,119,0.748,0.908,0.864,0.587,3
CZ: Olomoucký kraj,CZ071,-0.029692785084162666,-0.03509577523532977,-0.019277204823331614,-0.012597983817585496,117,0.786,0.846,0.426,0.283,2
CZ: Karlovarský kraj,CZ041,-0.026197338660906056,-0.03230985696413946,-0.019459449165060948,-0.009187702482301427,127,0.654,0.404,0.442,0.117,1
CZ: Kraj Vysočina,CZ063,-0.030250863264316488,-0.03895443428478336,-0.02239164597192661,-0.010618549543394912,118,0.72,1.0,0.096,0.069,1
CZ: Jihomoravský kraj,CZ064,-0.025936575708865258,-0.03261427016641062,-0.018971884897838576,-0.009854808848511996,122,0.672,1.0,0.473,0.318,2
CZ: Plzeňský kraj,CZ032,-0.02999096738260152,-0.039640434353955895,-0.023477906420711837,-0.011890413702302875,114,0.763,0.601,0.202,0.093,1
CZ: Zlínský kraj,CZ072,-0.02884656639688036,-0.03615232359630727,-0.021778216318526472,-0.012487452074457546,113,0.761,0.953,0.532,0.386,2
