Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
DE: Harburg,DE933,-0.08007281000571327,-0.10509229369488002,-0.0508458035826531,-0.03179684520270948,113,0.779,0.352,0.437,0.12,1
DE: Lüchow-Dannenberg,DE934,-0.08687919621536251,-0.10760375113216344,-0.05427858073657884,-0.032704929742414235,106,0.811,0.476,0.881,0.34,2
"DE: Lüneburg, Landkreis",DE935,-0.11525199643912135,-0.1789081533958274,-0.06469305059602057,-0.034577320146148935,101,0.842,0.38,0.867,0.277,2
DE: Siegen-Wittgenstein,DEA5A,-0.08808459172002961,-0.1277155465037339,-0.06262729124236253,-0.040902919212491506,111,0.856,0.184,0.694,0.109,1
DE: Soest,DEA5B,-0.08769262340819908,-0.1269443785501856,-0.04693624749527658,-0.028849608282997315,119,0.756,0.609,0.692,0.319,2
DE: Hamburg,DE600,-0.08655963538781548,-0.11725413712987481,-0.05746612916632032,-0.03551094197133594,109,0.835,0.334,0.01,0.003,1
"DE: Darmstadt, Kreisfreie Stadt",DE711,-0.08777509899868792,-0.1154404478998314,-0.06342778827580987,-0.03500277111585725,108,0.815,0.291,0.371,0.088,1
"DE: Frankfurt am Main, Kreisfreie Stadt",DE712,-0.09717222697026191,-0.136575085016384,-0.07125490375579903,-0.044338164615413615,106,0.858,0.83,0.373,0.266,2
"DE: Offenbach am Main, Kreisfreie Stadt",DE713,-0.08578914645476356,-0.1277023774905492,-0.04570011846627006,-0.03001748344408807,111,0.784,1.0,0.373,0.292,2
"DE: Wiesbaden, Kreisfreie Stadt",DE714,-0.07824549017315308,-0.10685581182879107,-0.056504800813638796,-0.03412434710658324,115,0.817,0.378,0.463,0.143,1
DE: Bergstraße,DE715,-0.0872490260273651,-0.12530803351404635,-0.06606702809265648,-0.03544438968293083,112,0.821,0.342,0.486,0.136,1
DE: Unna,DEA5C,-0.0864234161769373,-0.1287451984635083,-0.0675416133162612,-0.0377720870678617,117,0.829,0.614,0.695,0.354,2
"DE: Koblenz, Kreisfreie Stadt",DEB11,-0.08828492604567251,-0.1265744751749417,-0.06807730756414528,-0.03532155948017328,111,0.82,0.165,0.869,0.118,1
DE: Osterholz,DE936,-0.08084324760297536,-0.119458458268867,-0.05954023723607753,-0.03695058087336395,117,0.795,0.461,0.461,0.169,1
DE: Vorpommern-Rügen,DE80L,-0.08744520418771101,-0.11801549845598089,-0.06545184408320223,-0.03679900075744333,114,0.816,0.534,0.967,0.421,3
DE: Schaumburg,DE928,-0.08225743751572111,-0.11657438169066076,-0.0622000738279808,-0.03820598006644518,113,0.814,0.816,0.818,0.543,3
DE: Region Hannover,DE929,-0.06712667367132412,-0.0849881287756174,-0.047649546967075046,-0.024141723649092534,126,0.706,0.614,0.862,0.374,2
"DE: Osnabrück, Kreisfreie Stadt",DE944,-0.07453291464131574,-0.10549943883277217,-0.05226871893538563,-0.033509700176366855,123,0.772,0.941,0.865,0.628,4
"DE: Wilhelmshaven, Kreisfreie Stadt",DE945,-0.08239927895688387,-0.1130773470512585,-0.0615928715781738,-0.03799742788903179,115,0.817,0.578,0.862,0.407,3
DE: Celle,DE931,-0.06921758482715641,-0.08980291410213419,-0.04846171319783227,-0.027100068147154585,124,0.726,0.472,0.861,0.295,2
DE: Hildesheim,DE925,-0.07802138120271329,-0.11134860183588066,-0.053599489125718186,-0.02437328851703784,115,0.713,0.836,0.86,0.513,3
DE: Werra-Meißner-Kreis,DE737,-0.0611325188756786,-0.08110226246056873,-0.04030597127387807,-0.02385186150482712,130,0.669,0.499,0.508,0.17,1
"DE: Rostock, Kreisfreie Stadt",DE803,-0.06306582663695448,-0.07665345702362725,-0.044736145758496715,-0.028909883284565174,132,0.765,0.866,0.963,0.638,4
"DE: Schwerin, Kreisfreie Stadt",DE804,-0.0611325188756786,-0.08110226246056873,-0.04030597127387807,-0.02385186150482712,130,0.669,0.969,0.965,0.626,4
DE: Hameln-Pyrmont,DE923,-0.07184332580718582,-0.09399923195721895,-0.04944143372009594,-0.022774958183918333,121,0.719,0.685,0.843,0.415,3
DE: Holzminden,DE926,-0.07280090282727489,-0.09176764076977904,-0.0511047754811119,-0.02156094084105488,120,0.717,0.626,0.775,0.348,2
DE: Nienburg (Weser),DE927,-0.08569026368517842,-0.11875431965019223,-0.057731879693874624,-0.03305376717074569,118,0.814,0.851,0.832,0.576,3
DE: Cuxhaven,DE932,-0.10399044396579946,-0.14577739512448998,-0.060142508871369876,-0.03190167861872663,106,0.783,0.268,0.717,0.15,1
DE: Mecklenburgische Seenplatte,DE80J,-0.10589636446432092,-0.13716127124807145,-0.07095445555321447,-0.038086297245312005,100,0.82,0.532,0.957,0.417,3
"DE: Osnabrück, Landkreis",DE94E,-0.07711768616390494,-0.09680743337492267,-0.05275754039529276,-0.036058088971144264,117,0.829,0.821,0.833,0.567,3
DE: Vechta,DE94F,-0.08201999687618453,-0.11719292706030941,-0.05182503475133289,-0.030261787325472078,114,0.781,0.994,0.86,0.668,4
DE: Wesermarsch,DE94G,-0.07610166778244731,-0.09914682421695933,-0.05306520778588296,-0.02655876107540268,122,0.73,0.656,0.743,0.356,2
DE: Olpe,DEA59,-0.08421474081660694,-0.11390878278858754,-0.06034556223817611,-0.03348527478633023,118,0.814,0.128,0.692,0.072,1
DE: Landkreis Rostock,DE80K,-0.08159266686405457,-0.1055637963957024,-0.05472336728923709,-0.02877428202249339,117,0.769,0.606,0.96,0.447,3
"DE: Oldenburg, Landkreis",DE94D,-0.07841863421012762,-0.11201787522218246,-0.05658993746842578,-0.028308408232692157,117,0.769,0.831,0.861,0.55,3
