NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
DE111,-27.912865044598288,-27.912865044598288,-27.912865044598288,-27.912865044598288,1,1.0,0.53,0.949,0.503,3
DE112,-0.1762422929032446,-0.23228307316649427,-0.14408717134592092,-0.05066468776081458,53,0.887,0.679,0.105,0.063,1
DE113,-0.0087328901054943,-0.0087328901054943,-0.0087328901054943,-0.0087328901054943,1,0.0,0.61,0.894,0.0,0
DE114,,,,,0,0.0,0.123,0.983,0.0,0
DE115,-23.795617084704585,-23.795617084704585,-23.795617084704585,-23.795617084704585,1,1.0,0.472,0.994,0.469,3
DE116,-0.28283829619761697,-0.34391133942539354,-0.26921925280197984,-0.16913434504793215,39,0.821,0.336,0.986,0.272,2
DE117,-33.478760030848754,-33.478760030848754,-33.478760030848754,-33.478760030848754,1,1.0,0.225,1.0,0.225,2
DE118,-0.21711840697941545,-0.27225126835587077,-0.25582573912644263,-0.18056677229781182,49,0.816,0.741,1.0,0.605,4
DE119,-29.707469915104276,-29.707469915104276,-29.707469915104276,-29.707469915104276,1,1.0,1.0,1.0,1.0,5
DE11A,-0.1685312429415176,-0.24086612041625166,-0.19307856158179248,-0.08390916948443713,53,0.774,0.235,1.0,0.182,1
DE11B,-0.01146153524707425,-0.01146153524707425,-0.01146153524707425,-0.01146153524707425,1,0.0,0.265,1.0,0.0,0
DE11C,,,,,0,0.0,0.19,1.0,0.0,0
DE11D,,,,,0,0.0,0.139,0.978,0.0,0
DE121,-24.262746552489155,-24.262746552489155,-24.262746552489155,-24.262746552489155,1,1.0,0.541,0.965,0.522,3
DE122,-17.21167071839672,-17.21167071839672,-17.21167071839672,-17.21167071839672,1,1.0,1.0,0.71,0.71,4
DE123,-0.006082500609653008,-0.006082500609653008,-0.006082500609653008,-0.006082500609653008,1,0.0,1.0,0.99,0.0,0
DE124,-0.5643753566335026,-0.8566016800134821,-0.36269348597161566,-0.23798265631567278,23,1.0,1.0,0.964,0.964,5
DE125,-4.415624136925771,-6.578938807548708,-3.7696063774413697,-1.6062917068184333,4,1.0,0.59,0.994,0.586,3
DE126,-17.822738783571292,-17.822738783571292,-17.822738783571292,-17.822738783571292,1,1.0,0.457,0.969,0.443,3
DE127,-3.118042752195157,-4.259054768579807,-3.87165721786763,-1.6560867175752105,5,1.0,0.635,0.696,0.442,3
DE128,-0.4426469532378123,-0.6255949831757162,-0.35902911832558604,-0.28797007038472483,30,1.0,1.0,0.992,0.992,5
DE129,-29.148625475943994,-29.148625475943994,-29.148625475943994,-29.148625475943994,1,1.0,0.604,0.965,0.583,3
DE12A,-0.017086876419983407,-0.02545424115834939,-0.0122325297860618,-0.007036551164693252,84,0.131,0.626,0.936,0.077,1
DE12B,-0.07105859119519806,-0.10369122674211464,-0.058370814639798166,-0.02631295224384015,94,0.649,0.102,0.804,0.053,1
DE12C,-0.03405048709816416,-0.04431602738724341,-0.023837685368883407,-0.010503724527029787,96,0.344,1.0,0.991,0.341,2
DE131,-0.02032733365827312,-0.027747271618022817,-0.01635708655770049,-0.007367658144111546,83,0.181,0.734,0.973,0.129,1
DE132,-0.017181633452517924,-0.02046540859428452,-0.013433066420161538,-0.009966552761286001,16,0.125,1.0,0.845,0.106,1
DE133,-0.015435024247688951,-0.019724009162151626,-0.013115258836989215,-0.004380250341916615,31,0.065,0.555,0.897,0.032,1
DE134,-0.03423598181976586,-0.06124298812062042,-0.02320360815246277,-0.005727429213445274,72,0.403,0.894,0.286,0.103,1
DE135,-9.36767915253249,-13.587777728289602,-9.36767915253249,-5.14758057677538,2,1.0,1.0,0.943,0.943,5
DE136,-0.021198686931206894,-0.03217247019629506,-0.018256959831876977,-0.008250592044517965,54,0.222,1.0,0.839,0.186,1
DE137,-2.1413456529586914,-2.450330343507711,-0.9313222237421164,-0.43016819703431936,8,1.0,0.361,0.964,0.348,2
DE138,-4.780187706093111,-5.280818264738223,-1.467746548323896,-0.9671159896787827,4,1.0,0.113,0.995,0.112,1
DE139,-0.14922987109217747,-0.24108517023964668,-0.1804863351081564,-0.0270423762087229,68,0.706,1.0,0.567,0.4,2
DE13A,-0.012592751762050618,-0.017247896380019397,-0.009183711022215147,-0.006688692977035002,18,0.056,1.0,0.879,0.049,1
DE141,-0.24181341444715457,-0.322970685418476,-0.28792200919687283,-0.22683280611351359,50,0.84,0.647,0.837,0.455,3
DE142,-0.13909916144575915,-0.20905551512170062,-0.1616911312924636,-0.046635366818685915,59,0.78,1.0,0.67,0.523,3
DE143,-0.02151241571634922,-0.02890483740186295,-0.015892637571782074,-0.008084259195919014,98,0.163,0.326,0.996,0.053,1
DE144,-28.84088410083705,-28.84088410083705,-28.84088410083705,-28.84088410083705,1,1.0,0.197,0.845,0.166,1
DE145,,,,,0,0.0,0.364,0.89,0.0,0
DE146,,,,,0,0.0,1.0,0.601,0.0,0
DE147,-0.013015914439553874,-0.01753483839773658,-0.0170381914884729,-0.010508129005830678,3,0.0,0.697,0.883,0.0,0
DE148,-0.010926809763101605,-0.014478065304983188,-0.012698875429395958,-0.008261587054367199,3,0.0,0.467,1.0,0.0,0
