Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
DE: Harburg,DE933,-0.03055007818941212,-0.038649978334545275,-0.02190328674551773,-0.010811356671835757,114,0.728,0.842,0.782,0.479,3
DE: Lüchow-Dannenberg,DE934,-0.030354852057852804,-0.0400180533398386,-0.022139046921337103,-0.01180410979678044,111,0.757,0.958,0.01,0.007,1
"DE: Lüneburg, Landkreis",DE935,-0.030563505515011778,-0.04175447466299765,-0.021174206093064484,-0.012648977247083394,103,0.816,0.917,0.68,0.509,3
DE: Siegen-Wittgenstein,DEA5A,-0.03074057770143004,-0.04034011011430914,-0.021317453976758723,-0.01185318952318481,106,0.755,0.13,0.84,0.082,1
DE: Soest,DEA5B,-0.03091985969716865,-0.03984759899358713,-0.021436732391841143,-0.00893341205721867,109,0.697,1.0,0.901,0.628,4
DE: Hamburg,DE600,-0.028976975597145776,-0.04118661615393719,-0.01848472957024163,-0.007781987008623006,110,0.655,0.397,0.889,0.231,2
"DE: Darmstadt, Kreisfreie Stadt",DE711,-0.02937377936033605,-0.04189179331360485,-0.01829707498878002,-0.008119744793799906,109,0.661,0.243,0.969,0.156,1
"DE: Frankfurt am Main, Kreisfreie Stadt",DE712,-0.03114842068343471,-0.04182329200645829,-0.022147552706393035,-0.009364309210369237,109,0.706,0.82,1.0,0.579,3
"DE: Offenbach am Main, Kreisfreie Stadt",DE713,-0.029360619870597644,-0.04034812961806237,-0.01943358037944526,-0.00806327814627356,114,0.667,1.0,1.0,0.667,4
"DE: Wiesbaden, Kreisfreie Stadt",DE714,-0.028180551777104983,-0.03985222826691203,-0.01710496834589589,-0.006370076747925256,113,0.664,0.5,0.99,0.329,2
DE: Bergstraße,DE715,-0.031332327561235815,-0.040572473669704276,-0.02045771254742066,-0.00985774513369182,103,0.699,0.325,0.978,0.222,2
DE: Unna,DEA5C,-0.029603175051716873,-0.03884272150264331,-0.02355968941593689,-0.011904010352032137,108,0.769,0.426,0.966,0.316,2
"DE: Koblenz, Kreisfreie Stadt",DEB11,-0.02885113488498865,-0.04212898163428088,-0.018841137988889447,-0.009414971520450151,113,0.673,0.24,0.694,0.112,1
DE: Osterholz,DE936,-0.031125626542441845,-0.0415153098059453,-0.020772439000531013,-0.010056137959592629,110,0.709,0.507,0.885,0.318,2
DE: Vorpommern-Rügen,DE80L,-0.03125440120377351,-0.041247568143881065,-0.021957118173427305,-0.011008263622008026,108,0.722,1.0,0.639,0.461,3
DE: Schaumburg,DE928,-0.03146241363257153,-0.04180728706476017,-0.022399651039421185,-0.009709470041757979,109,0.725,1.0,0.874,0.634,4
DE: Region Hannover,DE929,-0.029207724861848916,-0.04311071729476532,-0.018724959234667576,-0.010733246549863611,111,0.748,0.807,0.895,0.54,3
"DE: Osnabrück, Kreisfreie Stadt",DE944,-0.031941315310773606,-0.04105112684169426,-0.02043606637059462,-0.01017085045514998,110,0.709,0.733,0.796,0.414,3
"DE: Wilhelmshaven, Kreisfreie Stadt",DE945,-0.030901768628226765,-0.04084417314309099,-0.02104935973342694,-0.00855145352652527,113,0.681,0.406,0.882,0.244,2
DE: Celle,DE931,-0.03139082242861872,-0.04154614640346033,-0.019832347092354957,-0.008396554799125204,109,0.679,0.646,0.401,0.176,1
DE: Hildesheim,DE925,-0.030852848666583752,-0.04350543945664352,-0.021433397946446404,-0.0066606980319957295,113,0.655,0.859,0.909,0.511,3
DE: Werra-Meißner-Kreis,DE737,-0.02985628068929441,-0.04174625909518433,-0.019427427157055158,-0.009534045894879129,114,0.711,0.577,0.432,0.177,1
"DE: Rostock, Kreisfreie Stadt",DE803,-0.0282896625014638,-0.04033275620796026,-0.019072592158210944,-0.00971642377641094,112,0.714,0.68,0.904,0.439,3
"DE: Schwerin, Kreisfreie Stadt",DE804,-0.03206156039107056,-0.042525036348016756,-0.02036401451906214,-0.008815807362857486,108,0.741,0.42,0.753,0.234,2
DE: Hameln-Pyrmont,DE923,-0.027717988721300543,-0.0420686867633582,-0.01975127841039672,-0.01131695710632114,109,0.734,0.992,0.851,0.62,4
