NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
DK011,-0.08472508395191208,-0.11869709238130291,-0.0645933014354067,-0.029996319470003686,113,0.788,0.849,0.915,0.612,4
DK012,-0.08472508395191208,-0.11869709238130291,-0.0645933014354067,-0.029996319470003686,113,0.788,1.0,0.826,0.651,4
DK013,-0.07032024322125184,-0.10046959005475455,-0.0521725434490993,-0.02754568482104198,118,0.763,0.767,0.052,0.03,1
DK014,-0.06284327800829875,-0.08622406639004149,-0.045311203319502065,-0.02535269709543568,120,0.733,0.611,1.0,0.448,3
DK021,-0.07586090390823921,-0.10274884661009133,-0.05634208365909044,-0.028887163942110126,121,0.793,1.0,0.545,0.432,3
DK022,-0.06395483298256353,-0.08377590050600837,-0.0491831595512187,-0.02582757124643052,129,0.744,0.696,0.872,0.452,3
DK031,-0.07177985469875135,-0.1054158419019698,-0.04860572859267502,-0.02719572869967152,120,0.775,1.0,0.01,0.008,1
DK032,-0.07139064894397919,-0.11250067467549545,-0.05267751430024955,-0.019119844187283033,122,0.697,0.971,0.055,0.037,1
DK041,-0.08135052199827596,-0.11227433035090395,-0.059121427350650575,-0.03545191663127065,104,0.817,0.669,0.872,0.477,3
DK042,-0.06798087977964014,-0.10073803676453276,-0.052133089481633484,-0.02334318722778661,124,0.726,0.763,0.239,0.132,1
DK050,-0.07054702448242407,-0.10622937128798911,-0.05800815911194117,-0.03130430061959255,110,0.773,0.911,0.872,0.614,4
