NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
DK011,-0.04080484720301069,-0.06302405086201601,-0.031785335821349375,-0.012868075066208727,116,0.741,1.0,0.664,0.492,3
DK012,-0.04080484720301069,-0.06302405086201601,-0.031785335821349375,-0.012868075066208727,116,0.741,1.0,0.01,0.007,1
DK013,-0.029521752264019367,-0.044185593393203326,-0.021262138923384955,-0.007316042185713271,119,0.672,1.0,0.994,0.668,4
DK014,-0.026323106352644964,-0.037885670515873326,-0.017930300229647315,-0.010592173959033903,120,0.675,1.0,0.351,0.237,2
DK021,-0.03994893729669776,-0.05587580759125767,-0.02889124622476585,-0.012031814084763002,108,0.731,1.0,0.987,0.721,4
DK022,-0.030697783342745397,-0.04249273793234429,-0.02486329391100168,-0.010029194837200954,123,0.699,1.0,0.798,0.558,3
DK031,-0.03402024425370042,-0.04395170917828828,-0.027351105891056163,-0.01203294648873862,121,0.719,1.0,1.0,0.719,4
DK032,-0.04419431599520906,-0.056786909972266535,-0.03101459816692678,-0.015034408523304727,109,0.826,1.0,0.999,0.825,5
DK041,-0.03776251282366206,-0.04841595028021273,-0.027383735478973395,-0.01653788238213127,117,0.812,0.933,0.01,0.008,1
DK042,-0.03391756164623822,-0.047875098547948323,-0.02927207635948955,-0.013633367910573133,121,0.752,1.0,0.884,0.665,4
DK050,-0.02908377254850963,-0.038001763102974914,-0.021589307021873637,-0.010545637800343314,125,0.704,1.0,0.216,0.152,1
