,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,DK011,-0.03101519574622837,-0.03745073296484808,-0.02284688578440941,-0.011936719684953467,105,0.743,1.0,0.708,0.526,3
1,DK012,-0.03101519574622837,-0.03745073296484808,-0.02284688578440941,-0.011936719684953467,105,0.743,0.993,0.145,0.107,1
2,DK013,-0.031235682176257894,-0.03987992371662475,-0.02290705789071794,-0.012620103928878707,108,0.75,0.943,0.993,0.702,4
3,DK014,-0.02944279330848403,-0.03853246738658919,-0.022257116478742362,-0.011876440634126592,113,0.717,1.0,0.442,0.317,2
4,DK021,-0.02862789686067791,-0.0335997409482497,-0.020794511681121616,-0.011056446985455621,115,0.73,1.0,0.987,0.721,4
5,DK022,-0.02798505039041118,-0.03517802586071475,-0.021317418571962857,-0.01066941199641758,116,0.724,1.0,0.794,0.575,3
6,DK031,-0.03071659675808885,-0.03983320074212255,-0.02370035032979785,-0.011156863264394665,119,0.731,1.0,1.0,0.731,4
7,DK032,-0.028919880893897746,-0.037348906313495696,-0.020928437200223887,-0.00989626341146769,118,0.703,0.962,0.999,0.676,4
8,DK041,-0.03030011464754412,-0.03947996603977687,-0.023521018148786876,-0.011983489563672494,110,0.745,0.823,0.01,0.006,1
9,DK042,-0.029424470656961136,-0.03723566796219694,-0.021763923493818227,-0.009645714209467294,116,0.69,0.974,0.9,0.605,4
10,DK050,-0.030300792732025853,-0.04116808465998141,-0.019912961485793013,-0.011392275240398163,116,0.724,0.941,0.221,0.151,1
