NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
DEE01,-0.0893250149379635,-0.11384397736459173,-0.06386418755052545,-0.036176232821341955,115,0.861,0.118,0.871,0.088,1
DEE02,-0.0908043022999259,-0.11661964261722425,-0.061937390837028095,-0.03439473330646244,109,0.817,0.329,1.0,0.269,2
DEE03,-0.08810357516294626,-0.11177439275421985,-0.06916426512968299,-0.03931659118979003,113,0.85,0.376,0.01,0.003,1
DEE04,-0.08133990349360609,-0.11238313522110027,-0.06113706482060757,-0.030819623992791426,113,0.779,0.077,0.881,0.053,1
DEE05,-0.08073038863595122,-0.10384855035766549,-0.05736175494099216,-0.035570409085490556,119,0.832,0.346,0.91,0.262,2
DEE06,-0.08335886944418384,-0.10655429888823213,-0.06084837893783933,-0.03713906507377658,115,0.843,0.699,0.232,0.137,1
DEE07,-0.08399740602254784,-0.11135012403426586,-0.05377092860139442,-0.03548023632812046,113,0.814,1.0,0.234,0.19,1
DEE08,-0.0759507910689861,-0.09274419453128817,-0.05118941124029114,-0.029511259830980408,112,0.759,1.0,0.234,0.178,1
EE001,-0.0635898486006467,-0.08369489332764629,-0.04045951064577483,-0.019072059166740436,122,0.607,0.926,0.225,0.126,1
EE004,-0.06283115014945115,-0.077759935048676,-0.04349522987984387,-0.01947731063055979,118,0.619,0.789,0.227,0.111,1
EE009,-0.06862322575486411,-0.07484060185898879,-0.04005165952623623,-0.02019351804922627,122,0.615,1.0,0.23,0.141,1
EE00A,-0.07798546931340855,-0.09367840028247293,-0.05127259125016703,-0.02343362130095559,116,0.69,1.0,0.23,0.159,1
EE008,-0.0681708823620142,-0.0727381195146811,-0.04218991339858013,-0.025324599640150623,114,0.675,1.0,0.229,0.155,1
DEE09,-0.08052011694518033,-0.10718201121917129,-0.053834010745813655,-0.029944335821934176,113,0.77,1.0,0.225,0.173,1
DEE0A,-0.08456442512608496,-0.11070504149304185,-0.06034713168631316,-0.03238008660600799,112,0.804,1.0,0.231,0.186,1
DEE0B,-0.08365282807119337,-0.10771939772510926,-0.0617785884007111,-0.033897330741024925,114,0.789,1.0,0.231,0.182,1
DEE0C,-0.08476238442997448,-0.11264524948735478,-0.05734791524265208,-0.03345864661654136,114,0.833,1.0,0.231,0.192,1
DEE0D,-0.07833050671445739,-0.10820163137260141,-0.053310548239862685,-0.032954027231861714,118,0.805,1.0,0.23,0.185,1
DEE0E,-0.08310482076970103,-0.10700560406890619,-0.06649471187213193,-0.032696271895749814,121,0.835,0.598,0.227,0.113,1
