,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
0,DEE01,-0.03711370644029757,-0.053340241138458186,-0.023772327280618694,-0.010071331715854125,99,0.707,0.61,0.592,0.255,2
1,DEE02,-0.03468511323141095,-0.05126748986811344,-0.018007790169369903,-0.008896858590342682,102,0.667,0.359,0.431,0.103,1
2,DEE03,-0.03480121140021865,-0.04966355624729582,-0.024699739532867214,-0.009747915727755716,99,0.697,0.299,0.983,0.205,2
3,DEE04,-0.03525020055503697,-0.04906241561480028,-0.02556186353008758,-0.013637789951144367,97,0.814,0.358,1.0,0.291,2
4,DEE05,-0.032964664179483766,-0.045732165395739016,-0.020604223412148813,-0.009591226698080348,105,0.695,0.69,0.822,0.394,2
5,DEE06,-0.03547255792283082,-0.05296109626232187,-0.024507120373824857,-0.012299411964257174,95,0.768,0.647,0.723,0.359,2
6,DEE07,-0.03441366612719774,-0.0504097405628559,-0.024029339674832242,-0.010081675771621425,95,0.705,1.0,0.775,0.546,3
7,DEE08,-0.03380982421522929,-0.04769501677464662,-0.01894918427498515,-0.00955104493147785,100,0.68,0.676,0.962,0.442,3
8,DEE09,-0.03671127703523867,-0.052484089875012394,-0.026360200523486095,-0.011775297750786975,100,0.75,1.0,0.01,0.008,1
9,DEE0A,-0.034701218523648984,-0.05052412354296061,-0.02286515291671335,-0.008088474704638105,102,0.686,1.0,0.575,0.394,2
10,DEE0B,-0.03245347017109934,-0.045751434063860806,-0.019068203023916375,-0.008206108394904897,106,0.67,0.73,0.672,0.329,2
11,DEE0C,-0.031979764267127356,-0.04594392201637198,-0.02075288932605633,-0.008700271411878882,104,0.663,1.0,0.547,0.363,2
12,DEE0D,-0.033089030620726434,-0.04970339246688879,-0.0221992704118011,-0.01154743915654981,99,0.747,1.0,0.842,0.629,4
13,DEE0E,-0.034396910473020584,-0.048827147630019246,-0.023245942376637328,-0.01140294871917491,104,0.74,1.0,0.197,0.146,1
14,EE001,-0.024970707590636215,-0.034529289985291284,-0.01962670392253467,-0.009640341103676417,117,0.735,1.0,0.243,0.179,1
15,EE004,-0.02521238621095547,-0.034795409763114675,-0.019893782415102226,-0.010788427445033147,107,0.72,1.0,0.735,0.529,3
16,EE008,-0.026780128319016376,-0.03435137707070074,-0.021599373879455284,-0.009822483182013658,110,0.7,1.0,0.405,0.284,2
17,EE009,-0.02338556179600968,-0.030472846165692936,-0.019515159378728317,-0.008398205672127153,116,0.707,1.0,0.424,0.3,2
18,EE00A,-0.025641350281756785,-0.03592618478052823,-0.020519496188544626,-0.012182295913895873,117,0.761,0.695,0.197,0.104,1
