Location,NUTS_ID,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
"EL: Ithaki, Kefallinia",EL623,0.912,0.211,0.034,0.007,1
EL: Lefkada,EL624,0.912,0.195,0.011,0.002,1
EL: Imathia,EL521,0.912,1.0,0.878,0.801,5
"EL: Magnisia, Sporades",EL613,0.912,0.56,0.916,0.468,3
EL: Irakleio,EL431,0.913,0.666,0.644,0.392,2
EL: Thesprotia,EL542,0.901,0.408,0.955,0.351,2
EL: Ioannina,EL543,0.843,0.824,0.903,0.627,4
"EL: Peiraias, Nisoi",EL307,0.833,0.297,0.012,0.003,1
EL: Chania,EL434,0.835,0.488,0.641,0.261,2
EL: Evros,EL511,0.856,0.802,0.959,0.658,4
EL: Xanthi,EL512,0.833,0.53,0.958,0.423,3
EL: Kerkyra,EL622,0.911,0.242,0.044,0.01,1
EL: Kilkis,EL523,0.842,1.0,0.931,0.784,4
EL: Pella,EL524,0.859,0.817,0.879,0.617,4
EL: Pieria,EL525,0.879,0.912,0.881,0.706,4
EL: Serres,EL526,0.906,0.787,1.0,0.713,4
EL: Lasithi,EL432,0.826,0.436,0.643,0.232,2
EL: Korinthia,EL652,0.83,0.336,0.924,0.258,2
EL: Rethymni,EL433,0.842,0.761,0.642,0.411,3
"EL: Argolida, Arkadia",EL651,0.84,0.239,0.922,0.185,1
EL: Evvoia,EL642,0.836,0.32,0.01,0.003,1
"EL: Lakonia, Messinia",EL653,0.853,0.217,0.935,0.173,1
EL: Fokida,EL645,0.821,0.213,0.046,0.008,1
EL: Chalkidiki,EL527,0.828,0.361,0.897,0.268,2
"EL: Grevena, Kozani",EL531,0.867,0.412,0.854,0.305,2
EL: Larisa,EL612,0.923,1.0,0.922,0.851,5
EL: Zakynthos,EL621,0.797,0.271,0.01,0.002,1
EL: Florina,EL533,0.812,0.441,0.963,0.345,2
EL: Thessaloniki,EL522,0.822,0.906,0.877,0.653,4
EL: Aitoloakarnania,EL631,0.829,0.356,0.767,0.226,2
"EL: Karditsa, Trikala",EL611,0.833,0.823,0.927,0.636,4
"EL: Lesvos, Limnos",EL411,0.825,0.433,0.365,0.13,1
EL: Kastoria,EL532,0.829,0.372,0.999,0.308,2
EL: Achaia,EL632,0.848,0.294,0.922,0.23,2
EL: Ileia,EL633,0.808,0.412,0.936,0.312,2
EL: Kentrikos Tomeas Athinon,EL303,0.839,0.909,0.01,0.008,1
"EL: Thasos, Kavala",EL515,0.825,0.5,0.922,0.38,2
EL: Voiotia,EL641,0.841,0.699,0.01,0.006,1
EL: Evrytania,EL643,0.784,0.241,0.094,0.018,1
EL: Fthiotida,EL644,0.783,0.484,0.063,0.024,1
"EL: Arta, Preveza",EL541,0.779,0.843,0.858,0.563,3
EL: Rodopi,EL513,0.784,0.591,0.943,0.437,3
EL: Drama,EL514,0.811,0.323,0.955,0.25,2
EL: Voreios Tomeas Athinon,EL301,0.826,1.0,0.01,0.008,1
EL: Dytikos Tomeas Athinon,EL302,0.831,1.0,0.01,0.008,1
EL: Notios Tomeas Athinon,EL304,0.784,0.694,0.01,0.005,1
EL: Chios,EL413,0.843,0.424,0.362,0.129,1
EL: Anatoliki Attiki,EL305,0.814,0.805,0.01,0.007,1
EL: Dytiki Attiki,EL306,0.857,0.584,0.01,0.005,1
"EL: Ikaria, Samos",EL412,0.826,0.424,0.366,0.128,1
"EL: Kalymnos, Karpathos, Kasos, Kos, Rodos",EL421,0.835,0.416,0.393,0.137,1
"EL: Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros,  Syros, Tinos",EL422,0.861,0.419,0.369,0.133,1
