Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
"EL: Ithaki, Kefallinia",EL623,-0.047669850118193656,-0.06353933748054072,-0.029853805185749066,-0.01157605392515959,119,0.706,0.506,0.01,0.004,1
EL: Lefkada,EL624,-0.047669850118193656,-0.06353933748054072,-0.029853805185749066,-0.01157605392515959,119,0.706,0.258,0.099,0.018,1
EL: Imathia,EL521,-0.047669850118193656,-0.06353933748054072,-0.029853805185749066,-0.01157605392515959,119,0.706,0.709,0.905,0.453,3
"EL: Magnisia, Sporades",EL613,-0.047669850118193656,-0.06353933748054072,-0.029853805185749066,-0.01157605392515959,119,0.706,0.54,0.545,0.208,2
EL: Irakleio,EL431,-0.04742579657845217,-0.05664727636269626,-0.025020748382402397,-0.015424595129660065,115,0.8,0.443,0.918,0.325,2
EL: Thesprotia,EL542,-0.05644516883515817,-0.0704933064503551,-0.036042788179572044,-0.02052770239925013,108,0.824,0.483,0.218,0.087,1
EL: Ioannina,EL543,-0.04366897168627537,-0.05262038083521508,-0.026737927312679367,-0.014837533787464085,112,0.768,0.186,0.473,0.068,1
"EL: Peiraias, Nisoi",EL307,-0.04658277693467985,-0.05742828937920609,-0.031904504572469544,-0.014697026761977868,109,0.789,0.401,0.974,0.308,2
EL: Chania,EL434,-0.04165246414195963,-0.04930057389253334,-0.028255091786341516,-0.008597684392517619,108,0.685,0.441,0.613,0.185,1
EL: Evros,EL511,-0.04978211497076294,-0.05883022454115475,-0.03076950387642089,-0.014293414873821603,108,0.769,0.798,0.637,0.391,2
EL: Xanthi,EL512,-0.04133112690892675,-0.05761592070311493,-0.023118633369398147,-0.009435208831288126,110,0.691,0.726,0.727,0.365,2
EL: Kerkyra,EL622,-0.04589680332441931,-0.07211296520096022,-0.028738840099329085,-0.012145684252298866,107,0.72,0.259,0.88,0.164,1
EL: Kilkis,EL523,-0.04818248349341474,-0.06875803029741002,-0.030284604509484926,-0.014461431674383749,113,0.779,1.0,0.936,0.729,4
EL: Pella,EL524,-0.04362623018759746,-0.054605799054805976,-0.03138786351009294,-0.013528539815046939,117,0.761,0.561,0.875,0.374,2
EL: Pieria,EL525,-0.048614350738679174,-0.06732052049155608,-0.03252214720088124,-0.015625474673877045,108,0.778,0.855,0.787,0.524,3
EL: Serres,EL526,-0.047673400265547776,-0.06811296449247257,-0.03211833212088457,-0.01461149968362075,109,0.771,0.72,0.511,0.284,2
EL: Lasithi,EL432,-0.0376429281873739,-0.04732391099948377,-0.027956962643954628,-0.010437585179315301,121,0.719,0.441,0.805,0.255,2
EL: Korinthia,EL652,-0.04567970929307587,-0.05700392392110066,-0.03447616799313225,-0.015448386672863856,112,0.795,0.258,0.699,0.143,1
EL: Rethymni,EL433,-0.04057479172810113,-0.053231595044319735,-0.033157180886150786,-0.014805353213350761,110,0.773,0.441,0.669,0.228,2
"EL: Argolida, Arkadia",EL651,-0.04521652347469711,-0.053434152234468554,-0.027437691444012875,-0.01627117433765647,116,0.828,0.307,0.531,0.135,1
EL: Evvoia,EL642,-0.042760278627412635,-0.04845792815878848,-0.028168427479719385,-0.015106586004239385,121,0.785,0.447,0.924,0.324,2
"EL: Lakonia, Messinia",EL653,-0.04283069751785729,-0.05638177520829742,-0.030831547625240922,-0.01326255456404137,124,0.742,0.64,0.301,0.143,1
EL: Fokida,EL645,-0.044873106356325174,-0.058022318465569295,-0.030845128333581585,-0.015725638311403937,116,0.81,0.258,0.5,0.104,1
EL: Chalkidiki,EL527,-0.040646962330871166,-0.0522595666922175,-0.027830623848607825,-0.015283277996281229,121,0.818,0.401,0.136,0.045,1
"EL: Grevena, Kozani",EL531,-0.04294401225367532,-0.05413948540953947,-0.027642724321855744,-0.013821345833421518,120,0.758,0.527,0.428,0.171,1
EL: Larisa,EL612,-0.044348673635076837,-0.05224912524530146,-0.03396974378057475,-0.016561090444806303,110,0.773,1.0,0.656,0.507,3
EL: Zakynthos,EL621,-0.04269609168819495,-0.05672527708321028,-0.02735436901004916,-0.015015594121302791,122,0.77,0.258,0.813,0.162,1
EL: Florina,EL533,-0.04269016743431731,-0.05178590420664583,-0.03280375725897517,-0.01366870539857868,121,0.752,0.64,0.361,0.174,1
EL: Thessaloniki,EL522,-0.039430028628161494,-0.04540937489180448,-0.024088834790305665,-0.010760953956541391,117,0.701,0.747,0.936,0.49,3
EL: Aitoloakarnania,EL631,-0.04242608940231365,-0.04829184594615604,-0.02743795530682413,-0.014187610386488782,118,0.771,0.458,0.576,0.203,2
"EL: Karditsa, Trikala",EL611,-0.04000850765245041,-0.050322514196040675,-0.02479043391627766,-0.01305992898851235,119,0.731,0.899,0.585,0.384,2
"EL: Lesvos, Limnos",EL411,-0.038521832050155226,-0.04981942378226332,-0.024121739229078232,-0.010958144681092581,116,0.707,0.496,0.478,0.168,1
EL: Kastoria,EL532,-0.03939861967581173,-0.052026110601426576,-0.024334582469026433,-0.011868384899316176,121,0.719,0.273,0.045,0.009,1
EL: Achaia,EL632,-0.0393885361771678,-0.047917617500664735,-0.023528963104343274,-0.009820589349889917,120,0.667,0.398,0.778,0.207,2
EL: Ileia,EL633,-0.03757117975364023,-0.0476919888089824,-0.024685630669465566,-0.009493811613170963,114,0.667,0.653,0.703,0.306,2
EL: Kentrikos Tomeas Athinon,EL303,-0.04352651912590542,-0.05721198994648181,-0.03144763351903607,-0.011307114989266126,113,0.726,0.574,0.998,0.416,3
"EL: Thasos, Kavala",EL515,-0.045445897458110805,-0.05422719687463885,-0.03730232166344029,-0.016693540603364827,111,0.784,0.601,0.675,0.318,2
EL: Voiotia,EL641,-0.03827781112991211,-0.04952999900399798,-0.022536912202449997,-0.00944068430447861,117,0.692,0.627,0.938,0.407,3
EL: Evrytania,EL643,-0.03938452828540928,-0.053982428038150454,-0.025138852122900048,-0.01137221414566374,122,0.73,0.277,0.291,0.059,1
EL: Fthiotida,EL644,-0.0353833645925028,-0.04522419341719234,-0.02266570910889335,-0.009257016507654287,124,0.653,0.588,0.163,0.063,1
"EL: Arta, Preveza",EL541,-0.036729021684232074,-0.04768361925796932,-0.027708988846168493,-0.009639961740042512,116,0.707,0.489,0.252,0.087,1
EL: Rodopi,EL513,-0.035855698400501124,-0.04595672640733896,-0.02312816033731169,-0.008695920709584207,115,0.678,0.814,0.422,0.233,2
EL: Drama,EL514,-0.04124254017658261,-0.04894669353926243,-0.025521620351206864,-0.012277865174393348,108,0.741,0.39,0.708,0.205,2
EL: Voreios Tomeas Athinon,EL301,-0.04170640607025676,-0.04921491827781528,-0.02545183441888587,-0.00834944560511372,116,0.664,0.96,0.997,0.636,4
EL: Dytikos Tomeas Athinon,EL302,-0.05378149273990985,-0.06559666974515863,-0.03503089438869572,-0.01746585677091618,108,0.824,1.0,0.998,0.822,5
EL: Notios Tomeas Athinon,EL304,-0.047574507844430694,-0.057282428880580966,-0.031197428696493924,-0.011123759142224656,115,0.73,0.791,1.0,0.577,3
EL: Chios,EL413,-0.03958262695432003,-0.05127893700926509,-0.025872847749997513,-0.011086598290478847,112,0.688,0.441,0.911,0.276,2
EL: Anatoliki Attiki,EL305,-0.0439925225307932,-0.052180050280602665,-0.02997784652542748,-0.012588880929646582,116,0.733,0.541,0.997,0.395,2
EL: Dytiki Attiki,EL306,-0.0403677099399192,-0.0503835086648705,-0.025698465355442065,-0.010340378281784609,114,0.719,0.391,0.97,0.273,2
"EL: Ikaria, Samos",EL412,-0.04717567496167023,-0.057972166306209015,-0.026178485938998047,-0.013665471777209602,112,0.759,0.441,0.762,0.255,2
"EL: Kalymnos, Karpathos, Kasos, Kos, Rodos",EL421,-0.05305673171082942,-0.060812591928585784,-0.035624758725241956,-0.015492698451866483,108,0.806,0.431,0.751,0.261,2
"EL: Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros,  Syros, Tinos",EL422,-0.048363887935349716,-0.05442121501804875,-0.03211817072294296,-0.013348554350609875,111,0.748,0.438,0.494,0.162,1
