Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
ES: Girona,ES512,-0.11623984532480885,-0.16327432523886087,-0.07514605685007203,-0.03952912719580937,100,0.77,0.52,0.272,0.109,1
ES: Mallorca,ES532,-0.11346533693125509,-0.14702058056655792,-0.06954826189503957,-0.0308931548292252,100,0.7,1.0,0.42,0.294,2
ES: Menorca,ES533,-0.12370183548418456,-0.16604434519801775,-0.08043230013403618,-0.03631333833925334,100,0.79,1.0,0.492,0.389,2
ES: Barcelona,ES511,-0.11775343691397476,-0.1387584962370368,-0.06642856049310893,-0.03446090533353549,103,0.748,1.0,0.254,0.19,1
ES: Badajoz,ES431,-0.10970533074558272,-0.16265029345458767,-0.09513119795059725,-0.03965478828769872,87,0.805,0.488,1.0,0.393,2
ES: Valencia/València,ES523,-0.10467834403752536,-0.16922494090149545,-0.0805977384419115,-0.03408453763874508,96,0.75,0.832,0.636,0.397,2
ES: Córdoba,ES613,-0.09326654102291582,-0.12961887074933726,-0.07575834874983312,-0.03755983826979192,110,0.764,0.86,0.964,0.633,4
ES: Tarragona,ES514,-0.09601013126997662,-0.13126850926793127,-0.0802959102375361,-0.03997918183921402,118,0.797,1.0,0.252,0.201,2
ES: Alicante/Alacant,ES521,-0.10304318008327507,-0.1478817021723388,-0.07837483554272805,-0.03448322846406225,107,0.748,1.0,0.829,0.62,4
ES: Cáceres,ES432,-0.09508607350931061,-0.13862227231832575,-0.07136503923422229,-0.03555795715996023,101,0.762,0.327,0.99,0.247,2
ES: Almería,ES611,-0.15450249911858654,-0.22179813962575234,-0.11855937394727448,-0.061494461693800545,79,0.899,0.659,0.826,0.489,3
ES: Cádiz,ES612,-0.10083974156821841,-0.13653270368972611,-0.07800025159703806,-0.038568782398623526,104,0.779,0.848,0.9,0.595,3
ES: Castellón/Castelló,ES522,-0.13151114754947252,-0.18376238623738933,-0.11052149067517539,-0.043951893954980004,102,0.804,0.683,0.573,0.315,2
ES: Eivissa y Formentera,ES531,-0.11622811452102592,-0.1591953847199565,-0.08753443900670654,-0.03673214609389161,96,0.802,1.0,0.468,0.375,2
ES: Lleida,ES513,-0.1404346956412553,-0.1957750146241212,-0.10387771483302582,-0.05236890826100359,95,0.842,1.0,0.24,0.202,2
ES: Toledo,ES425,-0.15614676727489396,-0.19490760257516726,-0.11955072141558934,-0.05591298927561799,94,0.84,0.692,0.699,0.406,3
ES: Huesca,ES241,-0.11550711185378304,-0.15345889411007618,-0.08973051698025497,-0.053904410225953964,94,0.83,0.637,0.342,0.181,1
