Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
ES: Girona,ES512,-0.0447990328579212,-0.06597998085252302,-0.027503756172328395,-0.017442226695004066,106,0.774,0.519,0.935,0.376,2
ES: Mallorca,ES532,-0.035616251979577636,-0.04866111295593379,-0.025768627211003953,-0.013031242691202434,116,0.655,1.0,0.999,0.654,4
ES: Menorca,ES533,-0.04013620559947034,-0.05761228313547882,-0.02732873788413668,-0.012567590795336252,116,0.698,1.0,0.956,0.667,4
ES: Barcelona,ES511,-0.038792553915615584,-0.057419960864292144,-0.025138739254477557,-0.012355193965720974,118,0.712,0.675,0.996,0.479,3
ES: Badajoz,ES431,-0.030774008159912825,-0.04297021807633798,-0.02428964981343488,-0.012105321811017047,114,0.684,0.648,0.261,0.116,1
ES: Valencia/València,ES523,-0.031070910488489017,-0.04274073612558753,-0.02359170668807585,-0.009302572034966126,115,0.6,0.702,0.95,0.4,2
ES: Córdoba,ES613,-0.034818303876655486,-0.05092821514138171,-0.026016139216671487,-0.010391743141585549,113,0.637,0.644,0.767,0.315,2
ES: Tarragona,ES514,-0.03055963029628295,-0.041465858866485086,-0.022037062481270277,-0.008749459566877997,111,0.568,0.375,0.866,0.184,1
ES: Alicante/Alacant,ES521,-0.03433116259509382,-0.04752863831754987,-0.027091190551747933,-0.010693488893722434,112,0.616,1.0,0.994,0.612,4
ES: Cáceres,ES432,-0.03448300451963749,-0.055906683721722306,-0.023122126165075845,-0.011581383686418915,112,0.625,0.478,0.087,0.026,1
ES: Almería,ES611,-0.036845281760045666,-0.05335255784138029,-0.026517736753849608,-0.011303253079622834,112,0.679,0.985,0.742,0.496,3
ES: Cádiz,ES612,-0.033473650715833296,-0.05093431496456896,-0.023312822905684212,-0.012445084734180614,120,0.65,0.841,0.941,0.514,3
ES: Castellón/Castelló,ES522,-0.058459543308901456,-0.07161242566179729,-0.042598873808837694,-0.02197753364581667,107,0.804,0.23,0.902,0.167,1
