NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
ES111,-0.12263476708232475,-0.15708452890782998,-0.08991031547594933,-0.04259852148466038,68,0.838,0.394,0.911,0.301,2
ES112,-0.09125054598819111,-0.11441266989706204,-0.05772862040304165,-0.03229245644487332,88,0.795,1.0,0.995,0.791,4
ES113,-0.10080446965671512,-0.12225481183038597,-0.07140470157413735,-0.03565912778840416,85,0.8,1.0,0.944,0.755,4
ES114,-0.09783276484458384,-0.1197105640692777,-0.06475405850162008,-0.0292501260639055,86,0.744,0.611,0.994,0.452,3
ES120,-0.08795916482731349,-0.12283122511012816,-0.06939402521393287,-0.025800699493163992,77,0.727,0.703,0.262,0.134,1
ES130,-0.09205169063497592,-0.1334470024904595,-0.07162112665142668,-0.032770400314035456,81,0.778,0.696,0.944,0.511,3
ES211,-0.06982135732501023,-0.09643847120818476,-0.06024517901040375,-0.028688291705962838,115,0.748,0.635,0.763,0.362,2
ES212,-0.09578693110011284,-0.13500716653474254,-0.07392706786126774,-0.02883048829000773,90,0.744,0.318,0.838,0.198,1
ES213,-0.08859918979929524,-0.1233169520294892,-0.07206758430703929,-0.03363180516893764,95,0.779,1.0,0.99,0.771,4
ES220,-0.09539270602590674,-0.14774435805090258,-0.0712666886961538,-0.026523914892666714,80,0.725,0.498,0.086,0.031,1
ES230,-0.1529436865777843,-0.20845173576797527,-0.1253478324013089,-0.05466344646190652,67,0.851,0.99,0.662,0.558,3
ES241,-0.11242423433939254,-0.1489651051818507,-0.08004442604313683,-0.04406825774521569,72,0.847,0.592,0.913,0.458,3
ES242,-0.13330948990814773,-0.18154701167512216,-0.08671471019683315,-0.03394343579190872,77,0.792,0.212,0.883,0.148,1
ES243,-0.10705876098825319,-0.158770860351799,-0.07639614319936108,-0.0238469565372485,77,0.714,1.0,0.947,0.676,4
ES300,-0.1058063140620791,-0.1426997309296842,-0.06477766453734768,-0.036268370568601355,92,0.761,0.542,0.707,0.292,2
ES411,-0.15258405753993293,-0.20646969578637278,-0.10345567698455327,-0.04256516225132009,73,0.836,0.86,0.866,0.623,4
ES412,-0.09240352900551398,-0.12252089407578279,-0.06683904384023746,-0.037682839181254923,95,0.789,0.721,0.43,0.245,2
ES413,-0.12174994622520785,-0.16614430148773213,-0.0698268317346665,-0.0373620467893022,73,0.836,0.168,0.826,0.116,1
ES414,-0.18718109956470344,-0.2716850823100986,-0.109105626587475,-0.04524068366311803,55,0.855,0.836,0.758,0.542,3
ES415,-0.18631367671793772,-0.27029468159980335,-0.13200764808532858,-0.06695305754955215,62,0.952,0.373,0.928,0.33,2
