Location,NUTS_ID,wasp_raw_mean,wasp_raw_q25,wasp_raw_median,wasp_raw_q75,wasp_raw_count,hazard_raw,exposure_raw,vulnerability_raw,risk_raw,risk_cat
FI: Åland,FI200,-0.026439590315405086,-0.030549275403930213,-0.018246294420651878,-0.011118555994519675,121,0.736,0.357,0.883,0.232,2
FI: Kanta-Häme,FI1C2,-0.029360588468115612,-0.037638297631593674,-0.02195582478268488,-0.011100585272307529,116,0.741,0.671,0.99,0.492,3
FI: Päijät-Häme,FI1C3,-0.02944744987707367,-0.03985614698931741,-0.022150107237588805,-0.010029616323291237,112,0.688,0.685,0.963,0.454,3
FI: Satakunta,FI196,-0.026237568708502097,-0.03789763003635268,-0.019246270632254956,-0.008986522652432334,125,0.672,0.919,0.982,0.606,4
FI: Keski-Suomi,FI193,-0.027738210042283426,-0.03541739916328683,-0.019407342145270793,-0.010348334221085815,119,0.714,0.23,0.816,0.134,1
FI: Pirkanmaa,FI197,-0.030815853716062342,-0.04387555134519554,-0.02075341465498128,-0.009822272136322975,121,0.719,0.665,0.97,0.464,3
FI: Pohjanmaa,FI195,-0.02439237878689795,-0.033641571347707025,-0.01672401804015508,-0.00917592175473095,127,0.677,1.0,0.979,0.663,4
FI: Helsinki-Uusimaa,FI1B1,-0.02768893165944383,-0.03771538958174228,-0.018899400969580055,-0.009875764081679964,117,0.718,1.0,1.0,0.718,4
FI: Kymenlaakso,FI1C4,-0.02845579237572105,-0.036888091565156406,-0.019542942508128734,-0.009987562703750502,124,0.718,0.657,0.965,0.455,3
FI: Etelä-Pohjanmaa,FI194,-0.03274555349113564,-0.04137391443789409,-0.02388268764359235,-0.01221276626509807,113,0.779,1.0,0.933,0.727,4
FI: Varsinais-Suomi,FI1C1,-0.02594642754933148,-0.0356738374731779,-0.02033224910731464,-0.009229453461402169,120,0.692,1.0,0.992,0.686,4
FI: Lappi,FI1D7,-0.02625113443671868,-0.03363481462153691,-0.01930375985358717,-0.009420621728944823,121,0.694,0.047,0.294,0.01,1
FI: Etelä-Savo,FI1D1,-0.02486345716460967,-0.03224998965624204,-0.016832957031658345,-0.010479065237467378,122,0.705,0.086,0.731,0.044,1
FI: Pohjois-Karjala,FI1D3,-0.02482217492795376,-0.03660615151147972,-0.018194357227002314,-0.008040221797062867,120,0.658,0.181,0.578,0.069,1
FI: Kainuu,FI1D8,-0.02812089802472965,-0.03620370672133798,-0.02031291057473042,-0.01070699674106999,119,0.723,0.042,0.01,0.0,0
FI: Pohjois-Savo,FI1D2,-0.024171834524989118,-0.03389188395617848,-0.016178570120576795,-0.008350728373506658,111,0.649,0.43,0.73,0.204,2
FI: Keski-Pohjanmaa,FI1D5,-0.02699252172540848,-0.03723178720921402,-0.017513719249262504,-0.008604357795835047,116,0.698,0.771,0.856,0.461,3
FI: Pohjois-Pohjanmaa,FI1D9,-0.026435124244099325,-0.03899632676752581,-0.016647099494729138,-0.008385738045841477,119,0.655,0.364,0.76,0.181,1
FI: Etelä-Karjala,FI1C5,-0.026641124975579175,-0.033013145656701486,-0.0187804846946638,-0.010205968592301422,128,0.711,0.233,0.858,0.142,1
